party,party_votes,vote_share
Bharatiya Janata Party,29224804,45.84062226336708177300
All India Trinamool Congress,26013377,40.80333229442911533500
Communist Party of India (Marxist),2839067,4.45322397807666360200
Indian National Congress,1890858,2.96590893583634482200
All India Secular Front,972280,1.52507165537283145700
Independent,780340,1.22400380091499907400
None of the Above,494932,0.77632653611818223000
Aam Janata Unnayan party,470649,0.73823738997980803100
All India Forward Bloc,176980,0.27760231781779293100
Bharatiya Gorkha Prajatantrik Morcha,176716,0.27718822011238047000
Socialist Unity Centre Of India (COMMUNIST),162529,0.25493517410220401900
Bahujan Samaj Party,117166,0.18378095360741059200
Communist Party of India,99223,0.15563642660659322000
Revolutionary Socialist Party,64209,0.10071514987435114900
All India Majlis-E-Ittehadul Muslimeen,57253,0.08980430275749858000
Communist Party of India (Marxist-Leninist) (Liberation),46399,0.07277924027815444800
Social Democratic Party Of India,42495,0.06665561360417623800
Jatiya Unnayan Party,17157,0.02691164519606663600
Amra Bangalee,14472,0.02270008330579217600
Jharkhand Loktantrik Krantikari Morcha,10909,0.01711133283463839500
Ambedkarite Party of India,8374,0.01313505373153010500
Kamatapur Peoples Party (United),7090,0.01112103307338768200
Rashtriya Lok Janshakti Party,6906,0.01083241952113051200
Mulnibasi Party of India,6704,0.01051557203441340200
Rashtriya Secular Majlis Party,6297,0.009877171405235857661400
Bharatiya Nyay-Adhikar Raksha Party,5521,0.008659975119629533134600
Gondvana Gantantra Party,4072,0.006387143395604321486000
Indian Union Muslim League,4013,0.006294598832652294234600
Rastriya Aam Jan Seva Party,3000,0.004705655743323419562400
Gana Suraksha Party,2073,0.003251608118636482917600
Akhil Bharatiya Gorkha League,1961,0.003075930304219075253900
Bhartiya Lokmat Rashtrawadi Party,1840,0.002886135522571697331600
North Bengal Peoples Party,1805,0.002831236205566257436700
Welfare Party Of India,1725,0.002705752052410966248400
Indian National League,1593,0.002498703199704735787600
Swaraj India,1471,0.002307339866142916725400
Bharatiya National Janata Dal,1247,0.001955984237308101398100
Magadh Congress of India,1192,0.001869713882013838706100
Bahujan Mukti Party,1111,0.001742661176944106377900
Peoples Party of India (Democratic),1063,0.001667370685050931664900
Jan Sangh Party,1063,0.001667370685050931664900
Bharateeya Manavadhikar party,900,0.001411696722997025868700
National Republic Party Of India,833,0.001306603744729469498500
Indian National Socialistic Action Forces,789,0.001237587460494059344900
Socialist Party (India),781,0.001225039045178530226100
Guruchand Sena Dal,749,0.001174845383916413750700
West Bengal Socialist Party,748,0.001173276832001972610900
Vikas India Party,735,0.001152885657114237792800
Indian Unity Centre,718,0.001126220274568738415300
Nationalist Conservative Party,565,0.000886231831659244017600
Hindu Samaj Party,561,0.000879957624001479458200
Bharatiya Rashtriya Forward Bloc,555,0.000870546312514832619000
Prajashakti Party Samdarshi,552,0.000865840656771509199500
All India Majlis-E-Inquilab-E-Millat,545,0.000854860793370421220500
Party for Democratic Socialism,510,0.000799961476364981325600
Justice and Development Party,381,0.000597618279402074284400
Bhartiya Rashtriya Dal,296,0.000464291366674577396800
Samata Party,277,0.000434488880300195739600
Jamat-E-Seratul Mustakim,209,0.000327827350118198229500
Mera Bharat Mahan Party,177,0.000277633688856081754200
Right to Recall Party,111,0.000174109262502966523800
Bhumiputra United Party,88,0.000138032568470820307200
Independent Nationalist Front,54,0.000084701803379821552100
