candidate,party,constituency,runner_up_vote_percentage
ASHUTOSH BARMA,Bharatiya Janata Party,SITAI,47.290
PABITRA KAR,All India Trinamool Congress,NANDIGRAM,46.550
BANKIM CHANDRA HAZRA,All India Trinamool Congress,SAGAR,46.460
SHYAMALI ROY BAGDI,All India Trinamool Congress,INDUS,46.400
PIJUS KANTI PANDA,All India Trinamool Congress,PATASHPUR,46.340
SOMASHREE BETAL,All India Trinamool Congress,SATGACHHIA,46.210
ABHIJIT SINHA (RANA),All India Trinamool Congress,LABPUR,46.120
TAPAN BHUYA,Bharatiya Janata Party,KHARAGPUR,45.770
ANANDA SARKAR,All India Trinamool Congress,HINGALGANJ,45.770
MANIK MAITI,All India Trinamool Congress,DANTAN,45.740
ASIT KUMAR HALDAR,Bharatiya Janata Party,PATHARPRATIMA,45.640
DULAL MURMU,All India Trinamool Congress,NAYAGRAM,45.460
MANAS RANJAN BHUNIA,All India Trinamool Congress,SABANG,45.330
NARENDRANATH CHAKRABORTY,All India Trinamool Congress,PANDABESWAR,45.280
MANTURAM PAKHIRA,All India Trinamool Congress,KAKDWIP,45.230
UDAYAN GUHA,All India Trinamool Congress,DINHATA,45.090
CHANDAN MONDAL,All India Trinamool Congress,MOYNA,45.030
KARABI MANNA,All India Trinamool Congress,HARIPAL,44.650
DEBABRATA MAJUMDER,Bharatiya Janata Party,HARIRAMPUR,44.650
BARNALI DAS,Bharatiya Janata Party,DHANEKHALI,44.570
ARINDAM GUIN (BUBAI),All India Trinamool Congress,CHAMPDANI,44.360
ATIN GHOSH,All India Trinamool Congress,KASHIPUR-BELGACHHIA,44.320
MANAB KUMAR PARUA,All India Trinamool Congress,BHAGABANPUR,44.300
REKHA ROY,All India Trinamool Congress,KUSHMANDI,44.290
KHOKAN DAS,Bharatiya Janata Party,NANOOR,44.160
SRIKANTA MAHATA,All India Trinamool Congress,SALBONI,44.140
DEBASIS BHUNYA,All India Trinamool Congress,KANTHI UTTAR,44.120
MOLOY GHATAK,All India Trinamool Congress,ASANSOL UTTAR,44.110
VIJAY UPADHYAY,All India Trinamool Congress,JORASANKO,44.050
MANDIRA DALUI,All India Trinamool Congress,RAINA,44.010
PALASH RANA,Bharatiya Janata Party,RAIDIGHI,43.850
PROBHAKAR PANDIT,Bharatiya Janata Party,UDAYNARAYANPUR,43.810
BIMAL KUMAR DAS,All India Trinamool Congress,ULUBERIA UTTAR,43.810
SUBHENDU SARKAR,Bharatiya Janata Party,KUMARGANJ,43.770
SNEHASIS CHAKRABORTY,All India Trinamool Congress,JANGIPARA,43.720
SUBRATA MONDAL,All India Trinamool Congress,GOSABA,43.720
UTTAM BARIK,All India Trinamool Congress,CHANDIPUR,43.720
RAMJIBAN MANDI,All India Trinamool Congress,KESHIARY,43.700
RASH BIHARI  HALDER,All India Trinamool Congress,MEMARI,43.660
AJIT MAITY,All India Trinamool Congress,PINGLA,43.550
TARUN KUMAR MAITY,All India Trinamool Congress,EGRA,43.430
NILABATI SAHA,All India Trinamool Congress,SAINTHIA,43.430
BIDHAN UPADHYAY,All India Trinamool Congress,BARABANI,43.210
SUBIR CHATTERJEE (TINKAI),All India Trinamool Congress,JAGATBALLAVPUR,43.140
ALOK KUMAR MAJHI,All India Trinamool Congress,GALSI,43.100
SATYAJIT BARMAN,All India Trinamool Congress,HEMTABAD,43.100
BULU CHIK BARAIK,All India Trinamool Congress,MAL,43.040
MALLIKA PAIK W/O - ASHOK PAIK,Bharatiya Janata Party,MANDIRBAZAR,43.000
KONER SHANTANU,All India Trinamool Congress,BHATAR,42.990
GOUTAM DHARA,Bharatiya Janata Party,KHANDAGHOSH,42.960
PRAMANSHU RANA,Bharatiya Janata Party,BAGNAN,42.920
FIRDOUSI BEGAM,All India Trinamool Congress,SONARPUR UTTAR,42.900
SWAPAN DEBNATH,All India Trinamool Congress,PURBASTHALI DAKSHIN,42.870
SANJOY DAS,Bharatiya Janata Party,BARDHAMAN UTTAR,42.850
AKHIL GIRI,All India Trinamool Congress,RAMNAGAR,42.830
KABITA MANDAL,All India Trinamool Congress,MANIKCHAK,42.680
HARIHAR DAS,All India Trinamool Congress,SITALKUCHI,42.560
SANAT DEY,All India Trinamool Congress,NAIHATI,42.530
PRATIBHA MAITI,All India Trinamool Congress,NARAYANGARH,42.420
GAUTAM CHOWDHURY,All India Trinamool Congress,HOWRAH UTTAR,42.300
SUKANTA KUMAR PAUL,All India Trinamool Congress,AMTA,42.280
NADEBASI JANA,All India Trinamool Congress,SHYAMPUR,42.260
MAMATA BANERJEE,All India Trinamool Congress,BHABANIPUR,42.190
SHYAMA PRASANNA LOHAR,All India Trinamool Congress,AUSGRAM,42.130
TAPASH CHATTERJEE,All India Trinamool Congress,RAJARHAT NEW TOWN,42.070
SHYAMAL KUMAR HATI,Bharatiya Janata Party,HOWRAH DAKSHIN,41.750
APURBA CHOWDHURY (ACHAL),All India Trinamool Congress,MANGALKOT,41.640
SHIBSANKAR PAUL,All India Trinamool Congress,TUFANGANJ,41.620
SWAPNA BARMAN,All India Trinamool Congress,RAJGANJ,41.530
AVIJIT DE BHOWMIK,All India Trinamool Congress,COOCHBEHAR DAKSHIN,41.480
JHARNA SARDAR,All India Trinamool Congress,SANDESHKHALI,41.480
ASHIM KUMAR MAJI,All India Trinamool Congress,PANSKURA PURBA,41.390
BHUTNATH MALIK,All India Trinamool Congress,JAMALPUR,41.330
TANMOY GHOSH,All India Trinamool Congress,SREERAMPUR,41.310
DILIP GHOSH,Bharatiya Janata Party,BOLPUR,41.300
BIPLAB KUMAR MANDAL,Bharatiya Janata Party,HOWRAH MADHYA,41.280
DR. SOURYA BANERJEE,Bharatiya Janata Party,BASIRHAT DAKSHIN,41.280
AJIT MAHATA,All India Trinamool Congress,GOPIBALLAVPUR,41.240
BECHARAM MANNA,All India Trinamool Congress,SINGUR,41.140
SAMIR CHAKRABORTY,All India Trinamool Congress,PANDUA,41.130
RABIN CHANDRA MANDAL,All India Trinamool Congress,KHEJURI,41.120
ADHIKARY PARESH CHANDRA,All India Trinamool Congress,MEKLIGANJ,40.910
SWAMI MANGALANANDA PURI,Bharatiya Janata Party,ULUBERIA DAKSHIN,40.860
NARESH CHANDRA BAURI,All India Trinamool Congress,DUBRAJPUR,40.780
SIRAJ KHAN,All India Trinamool Congress,PANSKURA PASCHIM,40.770
TARUN KUMAR JANA,All India Trinamool Congress,KANTHI DAKSHIN,40.760
DR. RANA CHATTERJEE,All India Trinamool Congress,SHIBPUR,40.570
KALOBARAN MONDAL,All India Trinamool Congress,RANIGANJ,40.530
ABHIJIT GHATAK,All India Trinamool Congress,KULTI,40.510
BIRBAHA HANSDA,All India Trinamool Congress,BINPUR,40.490
SUKUMAR DE,All India Trinamool Congress,NANDAKUMAR,40.460
DOLOI SURJYA KANTA,All India Trinamool Congress,CHANDRAKONA,40.440
RAJ CHAKRABORTY (RAJU),All India Trinamool Congress,BARRACKPUR,40.440
KALLOL KHAN,All India Trinamool Congress,NAKASHIPARA,40.440
SUBODH ADHIKARY,All India Trinamool Congress,BIJPUR,40.350
DR. RAJIB BISWAS.,All India Trinamool Congress,HARINGHATA,40.350
ABHIJIT ROY,All India Trinamool Congress,MAYURESWAR,40.310
SHRREYA PANDE,All India Trinamool Congress,MANIKTALA,40.290
RUDRA PROSAD BANERJEE,Bharatiya Janata Party,ULUBERIA PURBA,40.280
BIDESH RANJAN BOSE,All India Trinamool Congress,SAPTAGRAM,40.250
SOUMEN BELTHARIA,All India Trinamool Congress,KASHIPUR,40.240
ANINDYA BANERJEE,Bharatiya Janata Party,MADHYAMGRAM,40.180
BANERJEE SANDIP,Bharatiya Janata Party,KASBA,40.180
SOMENATH SHYAM ICHINI,All India Trinamool Congress,JAGATDAL,40.090
UJJAL CHATTERJEE,All India Trinamool Congress,SURI,40.070
AROOP BISWAS,All India Trinamool Congress,TOLLYGANJ,40.060
ASHIS HUDAIT,All India Trinamool Congress,DASPUR,40.050
CHOWDHURI SIDDIQULLAH,All India Trinamool Congress,MONTESWAR,40.050
TILAK KUMAR CHAKRABORTY,All India Trinamool Congress,MAHISADAL,40.030
PUNDARIKAKSHYA SAHA,All India Trinamool Congress,NABADWIP,39.960
ARUP CHOUDHURY (PULAK),Bharatiya Janata Party,KAMARHATI,39.910
MADHUPARNA THAKUR,All India Trinamool Congress,BAGDA,39.910
BAG MITA,All India Trinamool Congress,ARAMBAG,39.870
Goutam Das,All India Trinamool Congress,GANGARAMPUR,39.800
NARAYAN GOSWAMI,All India Trinamool Congress,ASHOKNAGAR,39.770
SAILENDRA NATH BARMA,All India Trinamool Congress,NATABARI,39.660
DIPENDRA NARAYAN ROY,All India Trinamool Congress,TAMLUK,39.640
SOHAM CHAKRABORTY,All India Trinamool Congress,KARIMPUR,39.450
UTTARA SINGHA (HAZRA),All India Trinamool Congress,GARBETA,39.420
SANDHYA RANI TUDU,All India Trinamool Congress,MANBAZAR,39.420
RAJIB BANERJEE,All India Trinamool Congress,DEBRA,39.420
THAKURMANI SAREN,All India Trinamool Congress,RAIPUR,39.340
