constituency,candidate,party,runner_up_vote_pct,party_avg_vote_pct,overperformance_pct,total_constested_at
SAMSERGANJ,MD NAJME ALAM,Indian National Congress,34.96,3.04,31.92,292
BAHARAMPUR,ADHIR RANJAN CHOWDHURY,Indian National Congress,32.79,3.04,29.75,292
HARIHARPARA,BIJOY SEKH,Aam Janata Unnayan party,28.76,1.43,27.33,143
LALGOLA,TOUHIDUR RAHAMAN SUMAN,Indian National Congress,27.19,3.04,24.15,292
RAGHUNATHGANJ,NASIR SAIKH,Indian National Congress,24.83,3.04,21.79,292
DEGANGA,MD MOFIDUL HOQUE SAHAJI MINTU,All India Secular Front,35.68,14.07,21.61,30
MURARAI,SANJIBUR RAHAMAN (BAPPA),Indian National Congress,24.37,3.04,21.33,292
SUJAPUR,ABDUL HANNAN,Indian National Congress,23.12,3.04,20.08,292
JALANGI,IANUS ALI SARKAR,Communist Party of India (Marxist),26.52,6.63,19.89,196
MALATIPUR,MAUSAM B NOOR,Indian National Congress,21.96,3.04,18.92,292
BHAGAWANGOLA,MAHAMUDAL HASAN,Communist Party of India (Marxist),22.73,6.63,16.10,196
HAROA,PIYARUL ISLAM,All India Secular Front,28.74,14.07,14.67,30
BASIRHAT UTTAR,MD. MUSA KAREMULLA,All India Secular Front,24.41,14.07,10.34,30
CANNING PURBA,ARABUL ISLAM,All India Secular Front,23.48,14.07,9.41,30
NANDIGRAM,PABITRA KAR,All India Trinamool Congress,46.55,41.19,5.36,290
