constituency_code,candidate,party,constituency,state,votes
S2525,ANANDAMAY BARMAN,Bharatiya Janata Party,MATIGARA-NAXALBARI,WEST BENGAL,166905
S2519,SIKHA CHATTERJEE,Bharatiya Janata Party,DABGRAM-FULBARI,WEST BENGAL,166300
S2534,UTPAL BRAHMACHARO,Bharatiya Janata Party,KALIAGANJ,WEST BENGAL,158349
S253,SUKUMAR RAY,Bharatiya Janata Party,COOCHBEHAR UTTAR,WEST BENGAL,155327
S2551,AMLAN BHADURI (BURO),Bharatiya Janata Party,ENGLISH BAZAR,WEST BENGAL,154096
S25139,MD BAHARUL ISLAM,All India Trinamool Congress,CANNING PURBA,WEST BENGAL,148687
S2516,DALIM CHANDRA ROY,Bharatiya Janata Party,MAYNAGURI,WEST BENGAL,147403
S25129,GANESH CHANDRA MONDAL,All India Trinamool Congress,KULTALI,WEST BENGAL,146435
S255,SABITRI BARMAN,Bharatiya Janata Party,SITALKUCHI,WEST BENGAL,144367
S252,NISHITH PRAMANIK,Bharatiya Janata Party,MATHABHANGA,WEST BENGAL,143340
S2512,PARITOSH DAS,Bharatiya Janata Party,ALIPURDUARS,WEST BENGAL,143242
S25235,SEULI SAHA,All India Trinamool Congress,KESHPUR,WEST BENGAL,143123
S2510,MANOJ KUMAR ORAON,Bharatiya Janata Party,KUMARGRAM,WEST BENGAL,143044
S2517,ANANTA DEB ADHIKARY,Bharatiya Janata Party,JALPAIGURI,WEST BENGAL,142987
S25218,ADHIKARI DIBYENDU,Bharatiya Janata Party,EGRA,WEST BENGAL,142670
S2543,JOYEL MURMU,Bharatiya Janata Party,HABIBPUR,WEST BENGAL,142062
S25232,SUKANTA DOLUI,Bharatiya Janata Party,CHANDRAKONA,WEST BENGAL,140517
S2590,ASHIM KUMAR BISWAS,Bharatiya Janata Party,RANAGHAT DAKSHIN,WEST BENGAL,140010
S2588,SUKANTA BISWAS,Bharatiya Janata Party,KRISHNAGANJ,WEST BENGAL,139838
S25199,BIMAN GHOSH,Bharatiya Janata Party,PURSURAH,WEST BENGAL,138821
S257,AJAY RAY,Bharatiya Janata Party,DINHATA,WEST BENGAL,138255
S25205,SINTU SENAPATI,Bharatiya Janata Party,PANSKURA PASCHIM,WEST BENGAL,137919
S25190,SUBIR NAG,Bharatiya Janata Party,CHUNCHURA,WEST BENGAL,137704
S25252,NILADRI SEKHAR DANA,Bharatiya Janata Party,BANKURA,WEST BENGAL,136992
S25203,HARE KRISHNA BERA,Bharatiya Janata Party,TAMLUK,WEST BENGAL,136566
S2515,NARESH ROY,Bharatiya Janata Party,DHUPGURI,WEST BENGAL,134798
S25201,PRASANTA DIGAR,Bharatiya Janata Party,GOGHAT,WEST BENGAL,134498
S2513,DIPAK BARMAN,Bharatiya Janata Party,FALAKATA,WEST BENGAL,134370
S25238,LABSEN BASKEY,Bharatiya Janata Party,BANDWAN,WEST BENGAL,134080
S25184,TAPAS MAITY,All India Trinamool Congress,DOMJUR,WEST BENGAL,134036
S2583,TARAK NATH CHATTERJEE,Bharatiya Janata Party,KRISHNANAGAR UTTAR,WEST BENGAL,133211
S25230,TAPAN KUMAR DUTTA,Bharatiya Janata Party,DASPUR,WEST BENGAL,133071
S25236,SANKAR KUMAR GUCHHAIT,Bharatiya Janata Party,MEDINIPUR,WEST BENGAL,133041
S25234,BIMAN MAHATA,Bharatiya Janata Party,SALBONI,WEST BENGAL,132856
S25146,DILIP MONDAL,All India Trinamool Congress,BISHNUPUR,WEST BENGAL,132647
S25209,PRADIP KUMAR BIJALI,Bharatiya Janata Party,HALDIA,WEST BENGAL,132183
S25217,DR. CHANDRA SEKHAR MONDAL,Bharatiya Janata Party,RAMNAGAR,WEST BENGAL,131808
S25231,SITAL KAPAT,Bharatiya Janata Party,GHATAL,WEST BENGAL,131550
S2544,CHINMOY DEB BARMAN,Bharatiya Janata Party,GAZOLE,WEST BENGAL,131541
S25207,KHANRA NIRMAL,Bharatiya Janata Party,NANDAKUMAR,WEST BENGAL,131476
S25249,KSHUDIRAM TUDU,Bharatiya Janata Party,RANIBANDH,WEST BENGAL,131145
S25214,SANTANU PRAMANIK,Bharatiya Janata Party,BHAGABANPUR,WEST BENGAL,130586
S25213,SUMITA SINHA,Bharatiya Janata Party,KANTHI UTTAR,WEST BENGAL,130088
S25215,SUBRATA PAIK,Bharatiya Janata Party,KHEJURI,WEST BENGAL,129875
S2587,PARTHA SARATHI CHATTERJEE(BABU),Bharatiya Janata Party,RANAGHAT UTTAR PASCHIM,WEST BENGAL,129046
S25147,RUPA GANGULY,Bharatiya Janata Party,SONARPUR DAKSHIN,WEST BENGAL,128970
S25242,SUDIP KUMAR MUKHERJEE,Bharatiya Janata Party,PURULIA,WEST BENGAL,128454
S25254,AMARNATH SHAKHA,Bharatiya Janata Party,ONDA,WEST BENGAL,128296
S256,SANGITA ROY,All India Trinamool Congress,SITAI,WEST BENGAL,128188
S2545,PRASUN BANERJEE,All India Trinamool Congress,CHANCHAL,WEST BENGAL,128014
S25132,SUMANTA MANDAL,Bharatiya Janata Party,SAGAR,WEST BENGAL,127802
S25226,AMAL KUMAR PANDA,Bharatiya Janata Party,SABANG,WEST BENGAL,127783
S25246,MAMONI BAURI,Bharatiya Janata Party,RAGHUNATHPUR,WEST BENGAL,127628
S25128,NILIMA MISTRY BISHAL,All India Trinamool Congress,BASANTI,WEST BENGAL,127495
S25210,ADHIKARI SUVENDU,Bharatiya Janata Party,NANDIGRAM,WEST BENGAL,127301
S25206,ASHOKE DINDA,Bharatiya Janata Party,MOYNA,WEST BENGAL,127166
S25156,ASHOK KUMAR DEB,All India Trinamool Congress,BUDGE BUDGE,WEST BENGAL,127091
S258,GIRIJA SHANKAR RAY,Bharatiya Janata Party,NATABARI,WEST BENGAL,126911
S25202,SUSANTA GHOSH,Bharatiya Janata Party,KHANAKUL,WEST BENGAL,126729
