party
Aam Janata Unnayan party
Akhil Bharatiya Gorkha League
All India Forward Bloc
All India Majlis-E-Inquilab-E-Millat
All India Majlis-E-Ittehadul Muslimeen
All India Secular Front
All India Trinamool Congress
Ambedkarite Party of India
Amra Bangalee
Bahujan Mukti Party
Bahujan Samaj Party
Bharateeya Manavadhikar party
Bharatiya Gorkha Prajatantrik Morcha
Bharatiya Janata Party
Bharatiya National Janata Dal
Bharatiya Nyay-Adhikar Raksha Party
Bharatiya Rashtriya Forward Bloc
Bhartiya Lokmat Rashtrawadi Party
Bhartiya Rashtriya Dal
Bhumiputra United Party
Communist Party of India
Communist Party of India (Marxist)
Communist Party of India (Marxist-Leninist) (Liberation)
Gana Suraksha Party
Gondvana Gantantra Party
Guruchand Sena Dal
Hindu Samaj Party
Independent
Independent Nationalist Front
Indian National Congress
Indian National League
Indian National Socialistic Action Forces
Indian Union Muslim League
Indian Unity Centre
Jamat-E-Seratul Mustakim
Jan Sangh Party
Jatiya Unnayan Party
Jharkhand Loktantrik Krantikari Morcha
Justice and Development Party
Kamatapur Peoples Party (United)
Magadh Congress of India
Mera Bharat Mahan Party
Mulnibasi Party of India
Nationalist Conservative Party
National Republic Party Of India
None of the Above
North Bengal Peoples Party
Party for Democratic Socialism
Peoples Party of India (Democratic)
Prajashakti Party Samdarshi
Rashtriya Lok Janshakti Party
Rashtriya Secular Majlis Party
Rastriya Aam Jan Seva Party
Revolutionary Socialist Party
Right to Recall Party
Samata Party
Social Democratic Party Of India
Socialist Party (India)
Socialist Unity Centre Of India (COMMUNIST)
Swaraj India
Vikas India Party
Welfare Party Of India
West Bengal Socialist Party
