party,total_cost,party_votes,cost_per_vote
Bharatiya Janata Party,1172000000,29224804,40.1029207928990730
All India Trinamool Congress,1160000000,26013377,44.5924418040764181
Bharatiya Gorkha Prajatantrik Morcha,12000000,176716,67.9055659928925508
Social Democratic Party Of India,4000000,42495,94.1287210260030592
All India Secular Front,120000000,972280,123.4212366807915415
Communist Party of India (Marxist),784000000,2839067,276.1470581708709234
All India Forward Bloc,96000000,176980,542.4341733529212340
Indian National Congress,1168000000,1890858,617.7089977142651643
Communist Party of India,68000000,99223,685.3249750561865696
Jharkhand Loktantrik Krantikari Morcha,8000000,10909,733.3394444953707948
All India Majlis-E-Ittehadul Muslimeen,48000000,57253,838.3840148114509283
Communist Party of India (Marxist-Leninist) (Liberation),40000000,46399,862.0875449901937542
Revolutionary Socialist Party,72000000,64209,1121.3381301686679437
Aam Janata Unnayan party,572000000,470649,1215.3430688262378120
Jatiya Unnayan Party,24000000,17157,1398.8459520895261409
Akhil Bharatiya Gorkha League,4000000,1961,2039.7756246812850586
None of the Above,1172000000,494932,2368.0020689710909782
Swaraj India,4000000,1471,2719.2386131883072740
Ambedkarite Party of India,24000000,8374,2866.0138524002866014
Indian Union Muslim League,12000000,4013,2990.2815848492399701
Peoples Party of India (Democratic),4000000,1063,3762.9350893697083725
Bharateeya Manavadhikar party,4000000,900,4444.4444444444444444
Indian National Socialistic Action Forces,4000000,789,5069.7084917617237009
Rashtriya Secular Majlis Party,32000000,6297,5081.7849769731618231
Bahujan Samaj Party,600000000,117166,5120.9395217042486728
Rashtriya Lok Janshakti Party,36000000,6906,5212.8583840139009557
Independent,4080000000,780340,5228.4901453212702155
West Bengal Socialist Party,4000000,748,5347.5935828877005348
Socialist Unity Centre Of India (COMMUNIST),916000000,162529,5635.9172824542081721
Gondvana Gantantra Party,24000000,4072,5893.9096267190569745
Mulnibasi Party of India,44000000,6704,6563.2458233890214797
Rastriya Aam Jan Seva Party,20000000,3000,6666.6666666666666667
Magadh Congress of India,8000000,1192,6711.4093959731543624
Nationalist Conservative Party,4000000,565,7079.6460176991150442
Bahujan Mukti Party,8000000,1111,7200.7200720072007201
Prajashakti Party Samdarshi,4000000,552,7246.3768115942028986
Kamatapur Peoples Party (United),52000000,7090,7334.2736248236953456
All India Majlis-E-Inquilab-E-Millat,4000000,545,7339.4495412844036697
Indian National League,12000000,1593,7532.9566854990583804
Gana Suraksha Party,16000000,2073,7718.2826821032320309
Amra Bangalee,132000000,14472,9121.0613598673300166
Bharatiya National Janata Dal,12000000,1247,9623.0954290296712109
Socialist Party (India),8000000,781,10243.277848911652
Guruchand Sena Dal,8000000,749,10680.907877169559
Bhartiya Lokmat Rashtrawadi Party,20000000,1840,10869.565217391304
Vikas India Party,8000000,735,10884.353741496599
North Bengal Peoples Party,20000000,1805,11080.332409972299
Indian Unity Centre,8000000,718,11142.061281337047
Welfare Party Of India,20000000,1725,11594.202898550725
Bhartiya Rashtriya Dal,4000000,296,13513.513513513514
Bharatiya Nyay-Adhikar Raksha Party,76000000,5521,13765.622169896758
Hindu Samaj Party,8000000,561,14260.249554367201
Bharatiya Rashtriya Forward Bloc,8000000,555,14414.414414414414
Jan Sangh Party,16000000,1063,15051.740357478833
Party for Democratic Socialism,8000000,510,15686.274509803922
Jamat-E-Seratul Mustakim,4000000,209,19138.755980861244
Justice and Development Party,8000000,381,20997.375328083990
Mera Bharat Mahan Party,4000000,177,22598.870056497175
National Republic Party Of India,20000000,833,24009.603841536615
Samata Party,8000000,277,28880.866425992780
Right to Recall Party,4000000,111,36036.036036036036
Bhumiputra United Party,4000000,88,45454.545454545455
Independent Nationalist Front,4000000,54,74074.074074074074
