party,no_of_candidates
Independent,1020
Bharatiya Janata Party,293
Indian National Congress,292
All India Trinamool Congress,290
Socialist Unity Centre Of India (COMMUNIST),229
Communist Party of India (Marxist),196
Bahujan Samaj Party,150
Aam Janata Unnayan party,143
Amra Bangalee,33
All India Secular Front,30
All India Forward Bloc,24
Bharatiya Nyay-Adhikar Raksha Party,19
Revolutionary Socialist Party,18
Communist Party of India,17
Kamatapur Peoples Party (United),13
All India Majlis-E-Ittehadul Muslimeen,12
Mulnibasi Party of India,11
Communist Party of India (Marxist-Leninist) (Liberation),10
Rashtriya Lok Janshakti Party,9
Rashtriya Secular Majlis Party,8
Ambedkarite Party of India,6
Jatiya Unnayan Party,6
Gondvana Gantantra Party,6
National Republic Party Of India,5
Bhartiya Lokmat Rashtrawadi Party,5
Welfare Party Of India,5
North Bengal Peoples Party,5
Rastriya Aam Jan Seva Party,5
Jan Sangh Party,4
Gana Suraksha Party,4
Indian National League,3
Bharatiya Gorkha Prajatantrik Morcha,3
Indian Union Muslim League,3
Bharatiya National Janata Dal,3
Justice and Development Party,2
Jharkhand Loktantrik Krantikari Morcha,2
Hindu Samaj Party,2
Samata Party,2
Magadh Congress of India,2
Indian Unity Centre,2
Socialist Party (India),2
Party for Democratic Socialism,2
Bharatiya Rashtriya Forward Bloc,2
Vikas India Party,2
Guruchand Sena Dal,2
Bahujan Mukti Party,2
Social Democratic Party Of India,1
Mera Bharat Mahan Party,1
Jamat-E-Seratul Mustakim,1
Right to Recall Party,1
Bhumiputra United Party,1
Prajashakti Party Samdarshi,1
West Bengal Socialist Party,1
Swaraj India,1
Peoples Party of India (Democratic),1
Independent Nationalist Front,1
All India Majlis-E-Inquilab-E-Millat,1
Akhil Bharatiya Gorkha League,1
Nationalist Conservative Party,1
Indian National Socialistic Action Forces,1
Bhartiya Rashtriya Dal,1
Bharateeya Manavadhikar party,1
