party,seats_participated,seats_won,success_ratio
Communist Party of India (Marxist),196,1,0.51020408163265306100
Indian National Congress,291,2,0.68728522336769759500
Aam Janata Unnayan party,143,2,1.39860139860139860100
All India Secular Front,30,1,3.33333333333333333300
All India Trinamool Congress,289,80,27.68166089965397923900
Bharatiya Janata Party,292,206,70.54794520547945205500
