constituency_code,state,constituency,winner,winner_party,winner_votes,runner_up,runner_up_party,runner_up_votes,vote_difference
S25115,WEST BENGAL,RAJARHAT NEW TOWN,PIYUSH KANODIA,Bharatiya Janata Party,106564,TAPASH CHATTERJEE,All India Trinamool Congress,106248,316
S25145,WEST BENGAL,SATGACHHIA,AGNISWAR NASKAR,Bharatiya Janata Party,111023,SOMASHREE BETAL,All India Trinamool Congress,110622,401
S25261,WEST BENGAL,RAINA,SUBHASH PATRA,Bharatiya Janata Party,103487,MANDIRA DALUI,All India Trinamool Congress,102653,834
S25195,WEST BENGAL,JANGIPARA,PROSENJIT BAG,Bharatiya Janata Party,102409,SNEHASIS CHAKRABORTY,All India Trinamool Congress,101547,862
S25257,WEST BENGAL,INDUS,NIRMAL KUMAR DHARA,Bharatiya Janata Party,108733,SHYAMALI ROY BAGDI,All India Trinamool Congress,107833,900
S25275,WEST BENGAL,PANDABESWAR,JITENDRA KUMAR TEWARI,Bharatiya Janata Party,80501,NARENDRANATH CHAKRABORTY,All India Trinamool Congress,79103,1398
S25168,WEST BENGAL,KASHIPUR-BELGACHHIA,RITESH TIWARI,Bharatiya Janata Party,68368,ATIN GHOSH,All India Trinamool Congress,66717,1651
S2542,WEST BENGAL,HARIRAMPUR,BIPLAB MITRA,All India Trinamool Congress,93098,DEBABRATA MAJUMDER,Bharatiya Janata Party,91112,1986
S25135,WEST BENGAL,MANDIRBAZAR,JOYDEB HALDER S/O - KARTICK CHANDRA HALDER,All India Trinamool Congress,93686,MALLIKA PAIK W/O - ASHOK PAIK,Bharatiya Janata Party,91691,1995
S25118,WEST BENGAL,MADHYAMGRAM,RATHIN GHOSH,All India Trinamool Congress,95995,ANINDYA BANERJEE,Bharatiya Janata Party,93596,2399
S2563,WEST BENGAL,RANINAGAR,JULFIKAR ALI,Indian National Congress,79423,ABDUL SOUMIK HOSSAIN,All India Trinamool Congress,76722,2701
S256,WEST BENGAL,SITAI,SANGITA ROY,All India Trinamool Congress,128188,ASHUTOSH BARMA,Bharatiya Janata Party,125467,2721
