party,silver_medals
All India Trinamool Congress,205
Bharatiya Janata Party,70
Indian National Congress,7
All India Secular Front,4
Bharatiya Gorkha Prajatantrik Morcha,3
Communist Party of India (Marxist),2
Aam Janata Unnayan party,1
