constituency_code,constituency,state,no_of_candidates
S25148,BHANGAR,WEST BENGAL,20
S25171,HOWRAH MADHYA,WEST BENGAL,16
S25163,ENTALLY,WEST BENGAL,16
S25107,NOAPARA,WEST BENGAL,16
S2536,ITAHAR,WEST BENGAL,16
S2532,KARANDIGHI,WEST BENGAL,16
S254,COOCHBEHAR DAKSHIN,WEST BENGAL,16
S25168,KASHIPUR-BELGACHHIA,WEST BENGAL,15
S252,MATHABHANGA,WEST BENGAL,15
S25120,DEGANGA,WEST BENGAL,15
S2548,RATUA,WEST BENGAL,15
S25154,BEHALA PASCHIM,WEST BENGAL,15
S25277,DURGAPUR PASCHIM,WEST BENGAL,15
S2516,MAYNAGURI,WEST BENGAL,15
S25184,DOMJUR,WEST BENGAL,15
S25291,RAMPURHAT,WEST BENGAL,15
S2553,SUJAPUR,WEST BENGAL,15
S25169,BALLY,WEST BENGAL,15
S2515,DHUPGURI,WEST BENGAL,15
S2517,JALPAIGURI,WEST BENGAL,15
S2531,CHAKULIA,WEST BENGAL,15
S25147,SONARPUR DAKSHIN,WEST BENGAL,15
S25158,KOLKATA PORT,WEST BENGAL,15
S2535,RAIGANJ,WEST BENGAL,15
S2519,DABGRAM-FULBARI,WEST BENGAL,15
S2563,RANINAGAR,WEST BENGAL,15
S25103,BIJPUR,WEST BENGAL,14
S2539,BALURGHAT,WEST BENGAL,14
S25242,PURULIA,WEST BENGAL,14
S25167,MANIKTALA,WEST BENGAL,14
S25149,KASBA,WEST BENGAL,14
S25136,JAYNAGAR,WEST BENGAL,14
S2518,RAJGANJ,WEST BENGAL,14
S25181,AMTA,WEST BENGAL,14
S2572,BAHARAMPUR,WEST BENGAL,14
S25170,HOWRAH UTTAR,WEST BENGAL,14
S2575,DOMKAL,WEST BENGAL,14
S25134,RAIDIGHI,WEST BENGAL,14
S25100,HABRA,WEST BENGAL,14
S2534,KALIAGANJ,WEST BENGAL,14
S25106,JAGATDAL,WEST BENGAL,14
S2533,HEMTABAD,WEST BENGAL,14
S25150,JADAVPUR,WEST BENGAL,14
S2544,GAZOLE,WEST BENGAL,14
S25115,RAJARHAT NEW TOWN,WEST BENGAL,14
S2568,KANDI,WEST BENGAL,14
S2545,CHANCHAL,WEST BENGAL,14
S25281,ASANSOL UTTAR,WEST BENGAL,14
S2599,BADURIA,WEST BENGAL,14
S25151,SONARPUR UTTAR,WEST BENGAL,14
S25249,RANIBANDH,WEST BENGAL,14
S2551,ENGLISH BAZAR,WEST BENGAL,13
S25119,BARASAT,WEST BENGAL,13
S2555,FARAKKA,WEST BENGAL,13
S2588,KRISHNAGANJ,WEST BENGAL,13
S25179,SHYAMPUR,WEST BENGAL,13
S25142,MAGRAHAT PASCHIM,WEST BENGAL,13
S25109,KHARDAHA,WEST BENGAL,13
S25198,TARAKESWAR,WEST BENGAL,13
S253,COOCHBEHAR UTTAR,WEST BENGAL,13
S25153,BEHALA PURBA,WEST BENGAL,13
S25222,JHARGRAM,WEST BENGAL,13
S25173,HOWRAH DAKSHIN,WEST BENGAL,13
S2529,ISLAMPUR,WEST BENGAL,13
S25117,RAJARHAT  GOPALPUR,WEST BENGAL,13
S2595,BANGAON UTTAR,WEST BENGAL,13
S25161,BALLYGUNGE,WEST BENGAL,13
S25102,AMDANGA,WEST BENGAL,13
S2546,HARISCHANDRAPUR,WEST BENGAL,13
S25285,SURI,WEST BENGAL,13
S25166,SHYAMPUKUR,WEST BENGAL,13
S25165,JORASANKO,WEST BENGAL,13
S2550,MALDAHA,WEST BENGAL,13
S25159,BHABANIPUR,WEST BENGAL,13
S25292,HANSAN,WEST BENGAL,13
S25227,PINGLA,WEST BENGAL,12
S2589,RANAGHAT UTTAR PURBA,WEST BENGAL,12
S25131,KAKDWIP,WEST BENGAL,12
S25112,KAMARHATI,WEST BENGAL,12
S25111,PANIHATI,WEST BENGAL,12
S25196,HARIPAL,WEST BENGAL,12
S25210,NANDIGRAM,WEST BENGAL,12
S251,MEKLIGANJ,WEST BENGAL,12
S25162,CHOWRANGEE,WEST BENGAL,12
S2540,TAPAN,WEST BENGAL,12
S255,SITALKUCHI,WEST BENGAL,12
S25275,PANDABESWAR,WEST BENGAL,12
S25137,BARUIPUR PURBA,WEST BENGAL,12
S25152,TOLLYGANJ,WEST BENGAL,12
S25203,TAMLUK,WEST BENGAL,12
S2510,KUMARGRAM,WEST BENGAL,12
S2554,BAISNABNAGAR,WEST BENGAL,12
S2585,KRISHNANAGAR DAKSHIN,WEST BENGAL,12
S25178,ULUBERIA DAKSHIN,WEST BENGAL,12
S2526,SILIGURI,WEST BENGAL,12
S25180,BAGNAN,WEST BENGAL,12
S2573,HARIHARPARA,WEST BENGAL,12
S25294,MURARAI,WEST BENGAL,12
S25157,METIABURUZ,WEST BENGAL,12
S2593,HARINGHATA,WEST BENGAL,12
S25135,MANDIRBAZAR,WEST BENGAL,12
S2596,BANGAON DAKSHIN,WEST BENGAL,12
S25124,BASIRHAT DAKSHIN,WEST BENGAL,12
S25189,CHANDANNAGAR,WEST BENGAL,12
S25176,ULUBERIA PURBA,WEST BENGAL,12
S2597,GAIGHATA,WEST BENGAL,12
S25186,SREERAMPUR,WEST BENGAL,12
S2530,GOALPOKHAR,WEST BENGAL,12
S25240,BAGHMUNDI,WEST BENGAL,12
S25164,BELEGHATA,WEST BENGAL,12
S25215,KHEJURI,WEST BENGAL,11
S25245,PARA,WEST BENGAL,11
S25118,MADHYAMGRAM,WEST BENGAL,11
S25216,KANTHI DAKSHIN,WEST BENGAL,11
S2587,RANAGHAT UTTAR PASCHIM,WEST BENGAL,11
S2547,MALATIPUR,WEST BENGAL,11
S2560,SAGARDIGHI,WEST BENGAL,11
S2512,ALIPURDUARS,WEST BENGAL,11
S2543,HABIBPUR,WEST BENGAL,11
S2574,NOWDA,WEST BENGAL,11
S25121,HAROA,WEST BENGAL,11
S25267,BHATAR,WEST BENGAL,11
S25172,SHIBPUR,WEST BENGAL,11
S25140,BARUIPUR PASCHIM,WEST BENGAL,11
S2594,BAGDA,WEST BENGAL,11
S25236,MEDINIPUR,WEST BENGAL,11
S25155,MAHESHTALA,WEST BENGAL,11
S25125,BASIRHAT UTTAR,WEST BENGAL,11
S25116,BIDHANNAGAR,WEST BENGAL,11
S259,TUFANGANJ,WEST BENGAL,11
S25113,BARANAGAR,WEST BENGAL,11
S25225,NARAYANGARH,WEST BENGAL,11
S2557,SUTI,WEST BENGAL,11
S2586,SANTIPUR,WEST BENGAL,11
S25143,DIAMOND HARBOUR,WEST BENGAL,11
S25241,JOYPUR,WEST BENGAL,11
S25286,BOLPUR,WEST BENGAL,11
S2580,KALIGANJ,WEST BENGAL,11
S25195,JANGIPARA,WEST BENGAL,11
S25190,CHUNCHURA,WEST BENGAL,11
S2542,HARIRAMPUR,WEST BENGAL,11
S2584,NABADWIP,WEST BENGAL,11
S2591,CHAKDAHA,WEST BENGAL,11
