constituency_code,candidate,party,constituency,state,runner_votes
S2561,TOUHIDUR RAHAMAN SUMAN,Indian National Congress,LALGOLA,WEST BENGAL,48994
S2559,NASIR SAIKH,Indian National Congress,RAGHUNATHGANJ,WEST BENGAL,48354
S2539,ARPITA GHOSH,All India Trinamool Congress,BALURGHAT,WEST BENGAL,48121
S2526,GOUTAM DEB,All India Trinamool Congress,SILIGURI,WEST BENGAL,47568
S25165,VIJAY UPADHYAY,All India Trinamool Congress,JORASANKO,WEST BENGAL,47071
S25161,SHATORUPA,Bharatiya Janata Party,BALLYGUNGE,WEST BENGAL,47005
S2535,KRISHNA KALYANI,All India Trinamool Congress,RAIGANJ,WEST BENGAL,46920
S25169,KAILASH KUMAR MISHRA,All India Trinamool Congress,BALLY,WEST BENGAL,45642
S25166,SHASHI PANJA,All India Trinamool Congress,SHYAMPUKUR,WEST BENGAL,45615
S25158,RAKESH SINGH,Bharatiya Janata Party,KOLKATA PORT,WEST BENGAL,45146
S2547,MAUSAM B NOOR,Indian National Congress,MALATIPUR,WEST BENGAL,44376
S25162,SANTOSH KUMAR PATHAK,Bharatiya Janata Party,CHOWRANGEE,WEST BENGAL,40936
S25105,AMIT GUPTA,All India Trinamool Congress,BHATPARA,WEST BENGAL,38876
S2530,SARAJIT BISWAS,Bharatiya Janata Party,GOALPOKHAR,WEST BENGAL,38315
S25157,BIR BAHADUR SINGH,Bharatiya Janata Party,METIABURUZ,WEST BENGAL,36351
