candidate,constituency,constituency_code,party,result
HUMAYUN KABIR,REJINAGAR,S2570,Aam Janata Unnayan party,WON
HUMAYUN KABIR,NOWDA,S2574,Aam Janata Unnayan party,WON
ADHIKARI SUVENDU,BHABANIPUR,S25159,Bharatiya Janata Party,WON
ADHIKARI SUVENDU,NANDIGRAM,S25210,Bharatiya Janata Party,WON
ARUP KUMAR DAS,SINGUR,S25188,Bharatiya Janata Party,WON
ARUP KUMAR DAS,KANTHI DAKSHIN,S25216,Bharatiya Janata Party,WON
DILIP GHOSH,KHARAGPUR SADAR,S25224,Bharatiya Janata Party,WON
HUMAYUN KABIR,BHAGAWANGOLA,S2562,Aam Janata Unnayan party,LOST
RAMKRISHNA MALIK (DEV),BARDHAMAN UTTAR,S25266,Bahujan Samaj Party,LOST
RAMKRISHNA MALIK (DEV),MANGALKOT,S25272,Bahujan Samaj Party,LOST
SANKAR DEB MONDAL,KULTALI,S25129,Bahujan Samaj Party,LOST
SANKAR DEB MONDAL,JAYNAGAR,S25136,Bahujan Samaj Party,LOST
BAPAN GHOSH,REJINAGAR,S2570,Bharatiya Janata Party,LOST
BAPAN GHOSH,KALIGANJ,S2580,Bharatiya Janata Party,LOST
DILIP GHOSH,BOLPUR,S25286,Bharatiya Janata Party,LOST
RATAN DAS,HARISCHANDRAPUR,S2546,Bharatiya Janata Party,LOST
RATAN DAS,CHANCHAL,S2545,Bharatiya Janata Party,LOST
RAJIB CHATTERJEE,SUTI,S2557,Bhartiya Lokmat Rashtrawadi Party,LOST
RAJIB CHATTERJEE,BAHARAMPUR,S2572,Bhartiya Lokmat Rashtrawadi Party,LOST
ABHIJIT HAZRA,AMTA,S25181,Independent,LOST
ABHIJIT HAZRA,BELEGHATA,S25164,Independent,LOST
ARINDAM GHOSH,RAJARHAT  GOPALPUR,S25117,Independent,LOST
ARINDAM GHOSH,CHAMPDANI,S25187,Independent,LOST
BABURAM KISKU,HABIBPUR,S2543,Independent,LOST
BABURAM KISKU,RANIBANDH,S25249,Independent,LOST
BIKASH MANDAL,MATIGARA-NAXALBARI,S2525,Independent,LOST
BIKASH MANDAL,RATUA,S2548,Independent,LOST
BISWAJIT DAS,BANGAON UTTAR,S2595,Independent,LOST
BISWAJIT DAS,JADAVPUR,S25150,Independent,LOST
MRINAL KANTI SAHA,NATABARI,S258,Independent,LOST
MRINAL KANTI SAHA,DURGAPUR PURBA,S25276,Independent,LOST
NARAYAN DAS,SONARPUR UTTAR,S25151,Independent,LOST
NARAYAN DAS,BHABANIPUR,S25159,Independent,LOST
RAFIKUL ISLAM,HARIHARPARA,S2573,Independent,LOST
RAFIKUL ISLAM,HAROA,S25121,Independent,LOST
SANJIB ROY,RAJGANJ,S2518,Independent,LOST
SANJIB ROY,KALIAGANJ,S2534,Independent,LOST
SHARMISTHA DAS,HOWRAH MADHYA,S25171,Independent,LOST
SHARMISTHA DAS,JAGATDAL,S25106,Independent,LOST
SHEKH IMANUR RAHMAN,KAMARHATI,S25112,Independent,LOST
SHEKH IMANUR RAHMAN,PANIHATI,S25111,Independent,LOST
SUBHASIS DAS,BASIRHAT UTTAR,S25125,Independent,LOST
SUBHASIS DAS,BASIRHAT DAKSHIN,S25124,Independent,LOST
SUBRATA DAS,BARUIPUR PASCHIM,S25140,Independent,LOST
SUBRATA DAS,KALYANI,S2592,Independent,LOST
SUBRATA DAS,KARIMPUR,S2577,Independent,LOST
SUBRATA MONDAL,KALNA,S25264,Independent,LOST
SUBRATA MONDAL,HOWRAH MADHYA,S25171,Independent,LOST
TAPAS ROY,MANIKTALA,S25167,Independent,LOST
TAPAS ROY,DURGAPUR PASCHIM,S25277,Independent,LOST
TAPAS SARDAR,ASHOKNAGAR,S25101,Independent,LOST
TAPAS SARDAR,KASHIPUR-BELGACHHIA,S25168,Independent,LOST
UTTAM BARMAN,KALIAGANJ,S2534,Independent,LOST
UTTAM BARMAN,COOCHBEHAR UTTAR,S253,Independent,LOST
UTTAM KUMAR DAS,BALLYGUNGE,S25161,Independent,LOST
UTTAM KUMAR DAS,CHAKDAHA,S2591,Independent,LOST
HARIPADA BISWAS,AMDANGA,S25102,Mulnibasi Party of India,LOST
HARIPADA BISWAS,DUM DUM UTTAR,S25110,Mulnibasi Party of India,LOST
ABDUS SALAM,NATABARI,S258,Socialist Unity Centre Of India (COMMUNIST),LOST
ABDUS SALAM,NOWDA,S2574,Socialist Unity Centre Of India (COMMUNIST),LOST
