state,candidate,party,constituency,runner_up_vote_percentage
BIHAR,RAHUL TIWARY,Rashtriya Janata Dal,SHAHPUR,41.160
BIHAR,PREM SHANKAR PRASAD,Rashtriya Janata Dal,BAIKUNTHPUR,41.070
BIHAR,TRIBHUWAN PRASAD,Rashtriya Janata Dal,DHORAIYA,41.050
BIHAR,PREMA CHAUDHARY,Rashtriya Janata Dal,PATEPUR,41.030
BIHAR,SARITA DEVI,Indian National Congress,SONBARSHA,40.870
BIHAR,SUNIL KUMAR,Lok Janshakti Party (Ram Vilas),PALIGANJ,40.830
BIHAR,RAJMANGAL PRASAD,Communist Party of India (Marxist),PIPRA,40.740
BIHAR,RAJESH KUMAR SINGH,Rashtriya Janata Dal,HATHUA,40.690
BIHAR,UMESH KUMAR RAM,Indian National Congress,SAKRA,40.600
BIHAR,MALA PUSHPAM,Rashtriya Janata Dal,HASANPUR,40.570
BIHAR,JITENDRA KUMAR,Indian National Congress,PURNIA,40.530
BIHAR,QUYAMUDDIN ANSARI,Communist Party of India (Marxist-Leninist) (Liberation),ARRAH,40.380
BIHAR,AMARJEET KUSHWAHA,Communist Party of India (Marxist-Leninist) (Liberation),ZIRADEI,40.270
BIHAR,AMAR KUMAR PASWAN,Rashtriya Janata Dal,BOCHAHAN,40.150
BIHAR,JITENDRA YADAV,Lok Janshakti Party (Ram Vilas),MANER,40.140
BIHAR,RAMBALI SINGH YADAV,Communist Party of India (Marxist-Leninist) (Liberation),GHOSI,40.100
BIHAR,DHANANJAY,Communist Party of India (Marxist-Leninist) (Liberation),BHOREY,40.030
BIHAR,ANAND SHANKAR SINGH,Indian National Congress,AURANGABAD,40.000
BIHAR,CHANDNI DEVI,Rashtriya Janata Dal,BANIAPUR,40.000
BIHAR,UMAKANT SINGH,Bharatiya Janata Party,CHANPATIA,39.800
BIHAR,SHIVANI SHUKLA,Rashtriya Janata Dal,LALGANJ,39.750
BIHAR,KISHORE KUNAL,Rashtriya Janata Dal,JAGDISHPUR,39.730
BIHAR,ISHRAT PARWEEN,Rashtriya Janata Dal,PRANPUR,39.610
BIHAR,BHOLA YADAV,Rashtriya Janata Dal,BAHADURPUR,39.600
BIHAR,MANOJ KUMAR YADAV,Rashtriya Janata Dal,KALYANPUR,39.460
BIHAR,KARNVEER SINGH YADAV,Rashtriya Janata Dal,BARH,39.410
BIHAR,MANISH YADAV,Rashtriya Janata Dal,NARPATGANJ,39.400
BIHAR,ARBIND KUMAR SAHANI,Rashtriya Janata Dal,SARAIRANJAN,39.380
BIHAR,SAURAV KUMAR AGARWAL,Vikassheel Insaan Party,KATIHAR,39.360
BIHAR,DOCTOR SANJEEV KUMAR,Rashtriya Janata Dal,PARBATTA,39.360
BIHAR,MOHAMMAD ISRAIL MANSURI,Rashtriya Janata Dal,KANTI,39.340
BIHAR,DR. AJIT KUMAR SINGH,Communist Party of India (Marxist-Leninist) (Liberation),DUMRAON,39.300
BIHAR,SURYAKANT PASWAN,Communist Party of India,BAKHRI,39.290
BIHAR,DILIP KUMAR SINGH,Rashtriya Janata Dal,BARAULI,39.290
BIHAR,RISHI MISHRA,Indian National Congress,JALE,39.250
BIHAR,AMARESH KUMAR,Indian National Congress,LAKHISARAI,39.170
BIHAR,ARUN KUMAR SINGH,Rashtriya Janata Dal,BABUBARHI,39.090
BIHAR,RISHI KUMAR,Rashtriya Janata Dal,OBRA,38.950
BIHAR,AWADHESH KUMAR SINGH,Indian National Congress,WAZIRGANJ,38.930
BIHAR,SHASHANT SHEKHAR,Indian National Congress,PATNA SAHIB,38.900
BIHAR,AMITA BHUSHAN,Indian National Congress,BEGUSARAI,38.900
BIHAR,AMIT KUMAR,Indian National Congress,RIGA,38.840
BIHAR,SUBODH MANDAL,Indian National Congress,PHULPARAS,38.780
BIHAR,SHYAM BHARTI,Communist Party of India (Marxist),HAYAGHAT,38.680
BIHAR,SYED ABU DOJANA,Rashtriya Janata Dal,SURSAND,38.670
BIHAR,BAIJAYANTI DEVI,Rashtriya Janata Dal,ATRI,38.620
BIHAR,AKHAURY ONKAR NATH,Indian National Congress,GAYA TOWN,38.610
BIHAR,CHANDAN KUMAR ALIAS DR. CHANDAN YADAV,Indian National Congress,KHAGARIA,38.510
BIHAR,SIMANT MRINAL,Lok Janshakti Party (Ram Vilas),GARKHA,38.490
BIHAR,MAHANAND SINGH,Communist Party of India (Marxist-Leninist) (Liberation),ARWAL,38.430
BIHAR,AMIT KUMAR,Indian National Congress,NAUTAN,38.430
BIHAR,SHEIKH ZEYAUL HASSAN,Rashtriya Janata Dal,NATHNAGAR,38.390
BIHAR,RITU PRIYA CHAUDHARY,Rashtriya Janata Dal,IMAMGANJ,38.300
