constituency_code,state,constituency,winner,winner_party,winner_votes,runner_up,runner_up_party,runner_up_votes,vote_difference
S04142,BIHAR,BACHHWARA,SURENDRA MEHTA,Bharatiya Janata Party,100343,SHIV PRAKASH GARIB DAS,Indian National Congress,84502,15841
S04175,BIHAR,HILSA,KRISHNA MURARI SHARAN,Janata Dal (United),96009,ATRI MUNI URF SHAKTI SINGH YADAV,Rashtriya Janata Dal,79997,16012
S04103,BIHAR,BHOREY,SUNIL KUMAR,Janata Dal (United),101469,DHANANJAY,Communist Party of India (Marxist-Leninist) (Liberation),85306,16163
S0445,BIHAR,CHHATAPUR,NIRAJ KUMAR SINGH,Bharatiya Janata Party,122491,DR. VIPIN KUMAR SINGH,Rashtriya Janata Dal,106313,16178
S04134,BIHAR,UJIARPUR,ALOK KUMAR MEHTA,Rashtriya Janata Dal,102707,PRASHANT KUMAR PANKAJ,Rashtriya Lok Morcha,86424,16283
S0415,BIHAR,KESARIA,SHALINI MISHRA,Janata Dal (United),78192,VARUN VIJAY,Vikassheel Insaan Party,61852,16340
S0499,BIHAR,BAIKUNTHPUR,MITHILESH TIWARI,Bharatiya Janata Party,104133,PREM SHANKAR PRASAD,Rashtriya Janata Dal,87180,16953
S0425,BIHAR,PARIHAR,GAYETRI DEVI,Bharatiya Janata Party,82644,RITU JAISWAL,Independent,65455,17189
S04147,BIHAR,BAKHRI,SANJAY KUMAR,Lok Janshakti Party (Ram Vilas),98511,SURYAKANT PASWAN,Communist Party of India,81193,17318
S0434,BIHAR,BABUBARHI,MINA KUMARI,Janata Dal (United),98221,ARUN KUMAR SINGH,Rashtriya Janata Dal,80653,17568
S0410,BIHAR,RAXAUL,PRAMOD KUMAR SINHA,Bharatiya Janata Party,106765,SHYAM BIHARI PRASAD,Indian National Congress,88887,17878
S04197,BIHAR,JAGDISHPUR,SRIBHAGWAN SINGH KUSHWAHA,Janata Dal (United),92974,KISHORE KUNAL,Rashtriya Janata Dal,74781,18193
