state,party,total_cost,party_votes,cost_per_vote
BIHAR,Bharatiya Janata Party,404000000,10081143,40.0748208809259029
BIHAR,Hindustani Awam Morcha (Secular),24000000,587056,40.8819601537161702
BIHAR,Janata Dal (United),404000000,9667118,41.7911522337888086
BIHAR,Lok Janshakti Party (Ram Vilas),112000000,2497358,44.8473947267472265
BIHAR,Rashtriya Lok Morcha,24000000,533313,45.0017156904106969
BIHAR,Rashtriya Janata Dal,572000000,11546055,49.5407305785395964
BIHAR,Communist Party of India (Marxist),16000000,302974,52.8098120630813205
BIHAR,Indian National Congress,244000000,4374579,55.7767958928162001
BIHAR,Communist Party of India (Marxist-Leninist) (Liberation),80000000,1425592,56.1170376938142189
BIHAR,Indian Inclusive Party,12000000,184679,64.9776097986235576
BIHAR,Vikassheel Insaan Party,48000000,689484,69.6172790086499469
BIHAR,Communist Party of India,36000000,372458,96.6551933372353393
BIHAR,All India Majlis-E-Ittehadul Muslimeen,112000000,930504,120.3648775287371145
BIHAR,Jan Suraaj Party,952000000,1677583,567.4830991968802736
BIHAR,Aazad Samaj Party (Kanshi Ram),72000000,96796,743.8323897681722385
BIHAR,Mazdoor Ekta Party,4000000,5127,780.1833430856251219
BIHAR,Bahujan Samaj Party,724000000,813553,889.9235821145026814
BIHAR,None of the Above,972000000,910730,1067.2757019094572486
BIHAR,Bharatheeya Jawan Kisan Party,4000000,3581,1117.0064227869310249
BIHAR,National Peoples Party,4000000,3278,1220.2562538133007932
BIHAR,Janshakti Janta Dal,180000000,135514,1328.2760452794545213
BIHAR,Jan Sahmati Party,4000000,2969,1347.2549680026945099
BIHAR,Swadhinta Party,4000000,2964,1349.5276653171390013
BIHAR,Independent,3700000000,2516297,1470.4146609084698666
BIHAR,Ekta Dal United,4000000,2423,1650.8460586050350805
BIHAR,Hindustani Awam Manch (United),8000000,4814,1661.8196925633568758
BIHAR,Rashtriya Lok Janshakti Party,144000000,85724,1679.8096215762213616
BIHAR,Lok Samaj Party,4000000,2303,1736.8649587494572297
BIHAR,Suheldev Bharatiya Samaj Party,108000000,61139,1766.4665761625149250
BIHAR,Political Team India,4000000,2129,1878.8163457022076092
BIHAR,Loktantrik Jan Swaraj Party,4000000,2108,1897.5332068311195446
BIHAR,Rashtriya Suraksha Party,4000000,2060,1941.7475728155339806
BIHAR,Bhartiya Chetna Party,4000000,1838,2176.2785636561479869
BIHAR,Aam Aadmi Party,332000000,150913,2199.9430135243484657
BIHAR,Rashtra Sewa Dal,4000000,1762,2270.1475595913734393
BIHAR,Bhagidari Party(P),28000000,12316,2273.4654108476778175
BIHAR,Insaniyat Party,8000000,3516,2275.3128555176336746
BIHAR,Bhartiya Mahasangh Party,12000000,5196,2309.4688221709006928
BIHAR,Desh Janhit Party,12000000,5033,2384.2638585336777270
BIHAR,Bharat Ka Kisan Majdoor Party,4000000,1659,2411.0910186859553948
BIHAR,Moolniwasi Samaj Party,16000000,6440,2484.4720496894409938
BIHAR,Jai Hind Party,4000000,1589,2517.3064820641913153
BIHAR,Bharatiya Momin Front,20000000,7936,2520.1612903225806452
BIHAR,Rashtriya Sab Janshakti Party,8000000,3099,2581.4778960955146822
BIHAR,Sanyukt Kisan Vikas Party,12000000,4614,2600.7802340702210663
BIHAR,Moulik Adhikar Party,4000000,1535,2605.8631921824104235
BIHAR,Kisan Suraj Dal,16000000,6108,2619.5153896529142109
BIHAR,Rashtriya Secular Majlis Party,4000000,1462,2735.9781121751025992
BIHAR,Vishvas Yogya Party,4000000,1435,2787.4564459930313589
BIHAR,Rashtriya Ulama Council,8000000,2863,2794.2717429269996507
BIHAR,Rashtriya Lok Samta Party,4000000,1428,2801.1204481792717087
BIHAR,Rashtriya Jan Vikas Party,4000000,1427,2803.0833917309039944
BIHAR,Gana Suraksha Party,4000000,1412,2832.8611898016997167
BIHAR,Apna Kisan Party,20000000,6824,2930.8323563892145369
BIHAR,The Plurals Party,72000000,24543,2933.6266960029336267
BIHAR,Adarsh Jankalyan Dal,4000000,1358,2945.5081001472754050
BIHAR,Bajjikanchal Vikas Party,24000000,8123,2954.5734334605441339
BIHAR,Peace Party,20000000,6605,3028.0090840272520818
BIHAR,Vikas Vanchit Insan Party,28000000,9203,3042.4861458220145605
BIHAR,Rashtriya Jansambhavna Party,200000000,65093,3072.5269998310110150
BIHAR,Sudharwadi Party,4000000,1300,3076.9230769230769231
BIHAR,Janta Kranti Party (Rashtravadi),4000000,1288,3105.5900621118012422
BIHAR,Fauji Janta Party,4000000,1238,3231.0177705977382876
BIHAR,Prism,8000000,2448,3267.9738562091503268
BIHAR,All India Majlis-E-Inquilab-E-Millat,4000000,1205,3319.5020746887966805
BIHAR,Yuva Samriddhi Dal,4000000,1171,3415.8838599487617421
BIHAR,Samata Party,76000000,22203,3422.9608611448903301
BIHAR,Prabal Bharat Party,4000000,1155,3463.2034632034632035
BIHAR,Jansatta Party of India,4000000,1155,3463.2034632034632035
BIHAR,Lokhit Adhikar Party,4000000,1132,3533.5689045936395760
BIHAR,Vanchit Adhikar Party,8000000,2243,3566.6518056174765938
BIHAR,Janshakti Vikas Party (Democratic),28000000,7811,3584.6882601459480220
BIHAR,Akhil Bharatiya Socialist Party,8000000,2162,3700.2775208140610546
BIHAR,Bharat Jan Jagran Dal,12000000,3211,3737.1535347243849268
BIHAR,Bhartiya Sarthak Party,24000000,6397,3751.7586368610286072
BIHAR,Proutist Bloc India,36000000,9563,3764.5090452786782390
BIHAR,Socialist Unity Centre Of India (COMMUNIST),144000000,37983,3791.1697338282916041
BIHAR,Bhartiya Rashtriya Dal,4000000,1044,3831.4176245210727969
BIHAR,Rashtriya Sanatan Party,16000000,4127,3876.9081657378240853
BIHAR,Mithilawadi party,8000000,2050,3902.4390243902439024
BIHAR,Bhartiya Insan Party,4000000,1024,3906.2500000000000000
BIHAR,Rashtrawadi Janlok Party (Satya),28000000,7054,3969.3790757017295152
BIHAR,Nationalist Congress Party,60000000,15105,3972.1946375372393247
BIHAR,Aapki Apni Adhikar Party,4000000,1005,3980.0995024875621891
BIHAR,Akhand Bhartiya Yuva Party,8000000,1975,4050.6329113924050633
BIHAR,Lok Shakti Party (Loktantrik),12000000,2932,4092.7694406548431105
BIHAR,Jagrook Janta Party,160000000,39024,4100.0410004100041000
BIHAR,Sarvjan Sanatan Party,4000000,971,4119.4644696189495366
BIHAR,Aam Janta Pragati Party,36000000,8672,4151.2915129151291513
BIHAR,Bhartiya Lok Chetna Party,60000000,14345,4182.6420355524573022
BIHAR,Proutist Sarva Samaj,8000000,1864,4291.8454935622317597
BIHAR,Republican Party of India (A),12000000,2788,4304.1606886657101865
BIHAR,Swaraj Party (Loktantrik),16000000,3692,4333.6944745395449621
BIHAR,Hindustan Vikas Dal,4000000,913,4381.1610076670317634
BIHAR,Peoples Party of India (Democratic),108000000,24577,4394.3524433413353949
BIHAR,Rashtriya Republican Party,4000000,908,4405.2863436123348018
BIHAR,Gondvana Gantantra Party,16000000,3599,4445.6793553764934704
BIHAR,Lok Chetna Dal,12000000,2697,4449.3882091212458287
BIHAR,Apni Janta Party,12000000,2689,4462.6255113425065080
BIHAR,Kisan Sangharsh Samiti,16000000,3576,4474.2729306487695749
BIHAR,Jantantrik Lokhit Party,4000000,889,4499.4375703037120360
BIHAR,The National Road Map Party of India,20000000,4428,4516.7118337850045167
BIHAR,Lohiya Janta Dal,24000000,5241,4579.2787635947338294
