constituency_code,constituency,state,no_of_candidates
S04230,GAYA TOWN,BIHAR,23
S04206,CHAINPUR,BIHAR,23
S04208,SASARAM,BIHAR,23
S0493,KURHANI,BIHAR,21
S0494,MUZAFFARPUR,BIHAR,21
S04129,MAHNAR,BIHAR,19
S0465,BALRAMPUR,BIHAR,19
S04220,OBRA,BIHAR,19
S0485,BAHADURPUR,BIHAR,18
S0464,KADWA,BIHAR,17
S04201,DUMRAON,BIHAR,17
S04166,JAMALPUR,BIHAR,16
S04207,CHENARI,BIHAR,16
S0460,RUPAULI,BIHAR,16
S04134,UJIARPUR,BIHAR,16
S04126,MAHUA,BIHAR,16
S04196,TARARI,BIHAR,16
S04223,AURANGABAD,BIHAR,16
S0476,SIMRI BAKHTIARPUR,BIHAR,16
S04214,ARWAL,BIHAR,16
S04163,BELHAR,BIHAR,16
S04158,NATHNAGAR,BIHAR,16
S04200,BUXAR,BIHAR,16
S0446,NARPATGANJ,BIHAR,16
S04190,PALIGANJ,BIHAR,15
S0477,MAHISHI,BIHAR,15
S0480,BENIPUR,BIHAR,15
S04150,BELDAUR,BIHAR,15
S0468,BARARI,BIHAR,15
S04236,HISUA,BIHAR,15
S04226,SHERGHATI,BIHAR,15
S04116,TARAIYA,BIHAR,15
S04161,BANKA,BIHAR,15
S04138,BIBHUTIPUR,BIHAR,15
S04145,SAHEBPUR KAMAL,BIHAR,15
S04127,RAJA PAKAR,BIHAR,15
S04146,BEGUSARAI,BIHAR,15
S04164,TARAPUR,BIHAR,14
S04105,SIWAN,BIHAR,14
S04187,MANER,BIHAR,14
S0448,FORBESGANJ,BIHAR,14
S0445,CHHATAPUR,BIHAR,14
S04225,GURUA,BIHAR,14
S0482,DARBHANGA RURAL,BIHAR,14
S0427,BAJPATTI,BIHAR,14
S04168,LAKHISARAI,BIHAR,14
S04155,KAHALGAON,BIHAR,14
S04202,RAJPUR,BIHAR,14
S04194,ARRAH,BIHAR,14
S0498,SAHEBGANJ,BIHAR,14
S0438,JHANJHARPUR,BIHAR,14
S0495,KANTI,BIHAR,14
S0428,SITAMARHI,BIHAR,14
S04132,WARISNAGAR,BIHAR,14
S04183,KUMHRAR,BIHAR,14
S04143,TEGHRA,BIHAR,14
S04174,ISLAMPUR,BIHAR,14
S0458,KASBA,BIHAR,14
S0484,HAYAGHAT,BIHAR,14
S04128,RAGHOPUR,BIHAR,14
S04215,KURTHA,BIHAR,14
S04213,KARAKAT,BIHAR,14
S0483,DARBHANGA,BIHAR,14
S04193,BARHARA,BIHAR,14
S0442,PIPRA,BIHAR,14
S04119,GARKHA,BIHAR,14
S0466,PRANPUR,BIHAR,14
S04125,VAISHALI,BIHAR,14
S0440,LAUKAHA,BIHAR,14
S04114,MANJHI,BIHAR,13
S04210,DINARA,BIHAR,13
S0496,BARURAJ,BIHAR,13
S04121,PARSA,BIHAR,13
S04112,MAHARAJGANJ,BIHAR,13
