state,party,party_votes,vote_share
BIHAR,Rashtriya Janata Dal,11546055,22.99656708260458603100
BIHAR,Bharatiya Janata Party,10081143,20.07886514214852122500
BIHAR,Janata Dal (United),9667118,19.25424117436252300000
BIHAR,Indian National Congress,4374579,8.71295861934256223000
BIHAR,Independent,2516297,5.01177179220579427500
BIHAR,Lok Janshakti Party (Ram Vilas),2497358,4.97405051130271107800
BIHAR,Jan Suraaj Party,1677583,3.34128410059860699100
BIHAR,Communist Party of India (Marxist-Leninist) (Liberation),1425592,2.83938731111400707900
BIHAR,All India Majlis-E-Ittehadul Muslimeen,930504,1.85330813482456975300
BIHAR,None of the Above,910730,1.81392376349675059000
BIHAR,Bahujan Samaj Party,813553,1.62037389738349668200
BIHAR,Vikassheel Insaan Party,689484,1.37326256096844683300
BIHAR,Hindustani Awam Morcha (Secular),587056,1.16925414656742219400
BIHAR,Rashtriya Lok Morcha,533313,1.06221286669127243800
BIHAR,Communist Party of India,372458,0.74183393223510011900
BIHAR,Communist Party of India (Marxist),302974,0.60344090819635294000
BIHAR,Indian Inclusive Party,184679,0.36782979227522581000
BIHAR,Aam Aadmi Party,150913,0.30057720391398671600
BIHAR,Janshakti Janta Dal,135514,0.26990662972176019200
BIHAR,Aazad Samaj Party (Kanshi Ram),96796,0.19279101886556001200
BIHAR,Rashtriya Lok Janshakti Party,85724,0.17073863900606705300
BIHAR,Rashtriya Jansambhavna Party,65093,0.12964735930220151500
BIHAR,Suheldev Bharatiya Samaj Party,61139,0.12177207841668533400
BIHAR,Jagrook Janta Party,39024,0.07772507872442677300
BIHAR,Socialist Unity Centre Of India (COMMUNIST),37983,0.07565169293742061600
BIHAR,Peoples Party of India (Democratic),24577,0.04895062678890520700
BIHAR,The Plurals Party,24543,0.04888290813688003000
BIHAR,Samata Party,22203,0.04422227149750019600
BIHAR,Nationalist Congress Party,15105,0.03008500702471469900
BIHAR,Bhartiya Lok Chetna Party,14345,0.02857129597944603500
BIHAR,Bhagidari Party(P),12316,0.02453008583359061400
BIHAR,Proutist Bloc India,9563,0.01904686674461083500
BIHAR,Vikas Vanchit Insan Party,9203,0.01832984572316778400
BIHAR,Aam Janta Pragati Party,8672,0.01727223971653928300
BIHAR,Bajjikanchal Vikas Party,8123,0.01617878265883862900
BIHAR,Bharatiya Momin Front,7936,0.01580633007270015600
BIHAR,Janshakti Vikas Party (Democratic),7811,0.01555736444025465200
BIHAR,Rashtrawadi Janlok Party (Satya),7054,0.01404962857016468000
BIHAR,Apna Kisan Party,6824,0.01359153180646495200
BIHAR,Peace Party,6605,0.01315534401842042900
BIHAR,Moolniwasi Samaj Party,6440,0.01282670938359236400
BIHAR,Bhartiya Sarthak Party,6397,0.01274106520603111100
BIHAR,Right to Recall Party,6378,0.01270322242989939400
BIHAR,Kisan Suraj Dal,6108,0.01216545666381710600
BIHAR,Socialist Party (India),5278,0.01051232486437895900
BIHAR,Lohiya Janta Dal,5241,0.01043863103717509000
BIHAR,Bhartiya Mahasangh Party,5196,0.01034900340949470900
BIHAR,Mazdoor Ekta Party,5127,0.01021157438038479100
BIHAR,Desh Janhit Party,5033,0.01002435222478577200
BIHAR,Hindustani Awam Manch (United),4814,0.009588164436741248604100
BIHAR,Sanyukt Kisan Vikas Party,4614,0.009189819424828442264100
BIHAR,Indian National Socialistic Action Forces,4573,0.009108158697386316964400
BIHAR,The National Road Map Party of India,4428,0.008819358563749532367900
BIHAR,Rashtriya Sanatan Party,4127,0.008219849320820758826100
BIHAR,Swaraj Party (Loktantrik),3692,0.007353448919910405036600
BIHAR,Gondvana Gantantra Party,3599,0.007168218489370950088500
BIHAR,Bharatheeya Jawan Kisan Party,3581,0.007132367438298797517900
BIHAR,Kisan Sangharsh Samiti,3576,0.007122408813000977359400
BIHAR,Insaniyat Party,3516,0.007002905309427135457400
BIHAR,National Peoples Party,3278,0.006528874745250895912800
BIHAR,Bharat Jan Jagran Dal,3211,0.006395429166260105788900
BIHAR,Rashtriya Sab Janshakti Party,3099,0.006172355959588934238500
BIHAR,Jan Sahmati Party,2969,0.005913431701845610117500
BIHAR,Swadhinta Party,2964,0.005903473076547789959000
BIHAR,Lok Shakti Party (Loktantrik),2932,0.005839737874641740944600
BIHAR,Rashtriya Ulama Council,2863,0.005702308845531822757300
BIHAR,Jantantra Awaj Party,2813,0.005602722592553621172300
BIHAR,Republican Party of India (A),2788,0.005552929466064520379800
BIHAR,Lok Chetna Dal,2697,0.005371682485644193495100
BIHAR,Apni Janta Party,2689,0.005355748685167681241500
BIHAR,Rashtriya Samaj Paksha,2510,0.004999229899505719567100
BIHAR,Akhil Hind Forward Bloc (Krantikari),2476,0.004931511247480542489300
BIHAR,Prism,2448,0.004875742945812749601700
BIHAR,Ekta Dal United,2423,0.004825949819323648809200
BIHAR,All India Forward Bloc,2345,0.004670595264677654336600
BIHAR,Lok Samaj Party,2303,0.004586942812175965005200
BIHAR,Bhartiya Party (Loktantrik),2298,0.004576984186878144846700
BIHAR,Vanchit Adhikar Party,2243,0.004467439308602123103200
BIHAR,Ambedkar National Congress,2173,0.004328018554432640884200
BIHAR,Akhil Bharatiya Jan Sangh,2162,0.004306109578777436535500
BIHAR,Akhil Bharatiya Socialist Party,2162,0.004306109578777436535500
BIHAR,Political Team India,2129,0.004240382651811823489400
BIHAR,Loktantrik Jan Swaraj Party,2108,0.004198556425560978823700
BIHAR,Gantantrik Samaj Party,2065,0.004112912247999725460600
BIHAR,Rashtriya Suraksha Party,2060,0.004102953622701905302100
BIHAR,Mithilawadi party,2050,0.004083036372106264985100
BIHAR,Akhand Bhartiya Yuva Party,1975,0.003933656992638962607600
BIHAR,Samajwadi Lok Parishad,1916,0.003816145214124684737300
