state,party,seats_won
BIHAR,Bharatiya Janata Party,88
BIHAR,Janata Dal (United),84
BIHAR,Rashtriya Janata Dal,25
BIHAR,Lok Janshakti Party (Ram Vilas),19
BIHAR,Indian National Congress,6
BIHAR,Hindustani Awam Morcha (Secular),5
BIHAR,All India Majlis-E-Ittehadul Muslimeen,5
BIHAR,Rashtriya Lok Morcha,4
BIHAR,Communist Party of India (Marxist-Leninist) (Liberation),2
BIHAR,Indian Inclusive Party,1
BIHAR,Communist Party of India (Marxist),1
BIHAR,Bahujan Samaj Party,1
