constituency_code,constituency,state,total_votes
S0465,BALRAMPUR,BIHAR,277074
S0475,SAHARSA,BIHAR,259763
S04188,PHULWARI,BIHAR,257134
S0470,ALAMNAGAR,BIHAR,256381
S0466,PRANPUR,BIHAR,254532
S04155,KAHALGAON,BIHAR,251983
S0448,FORBESGANJ,BIHAR,251439
S0445,CHHATAPUR,BIHAR,249059
S04168,LAKHISARAI,BIHAR,248820
S04154,PIRPAINTI,BIHAR,247489
S04144,MATIHANI,BIHAR,247152
S0421,DHAKA,BIHAR,246580
S0453,THAKURGANJ,BIHAR,245567
S0417,PIPRA,BIHAR,244657
S04242,JHAJHA,BIHAR,243866
S0449,ARARIA,BIHAR,242085
S0461,DHAMDAHA,BIHAR,242065
S0446,NARPATGANJ,BIHAR,241647
S04158,NATHNAGAR,BIHAR,241500
S04124,LALGANJ,BIHAR,240205
S04131,KALYANPUR,BIHAR,239675
S0473,MADHEPURA,BIHAR,239590
S04167,SURYAGARHA,BIHAR,238507
S04128,RAGHOPUR,BIHAR,238448
S0469,KORHA,BIHAR,238305
S0467,MANIHARI,BIHAR,238259
S04125,VAISHALI,BIHAR,237684
S0458,KASBA,BIHAR,236009
S04184,PATNA SAHIB,BIHAR,235152
S04132,WARISNAGAR,BIHAR,234783
S0476,SIMRI BAKHTIARPUR,BIHAR,233725
S041,VALMIKI NAGAR,BIHAR,233632
S0462,PURNIA,BIHAR,232919
S04243,CHAKAI,BIHAR,232863
S0495,KANTI,BIHAR,232600
S0493,KURHANI,BIHAR,231884
S0456,AMOUR,BIHAR,231808
S04229,BODH GAYA,BIHAR,231073
S0440,LAUKAHA,BIHAR,230783
S0447,RANIGANJ,BIHAR,230348
S04134,UJIARPUR,BIHAR,229995
S0472,SINGHESHWAR,BIHAR,229174
S04206,CHAINPUR,BIHAR,229080
S0468,BARARI,BIHAR,228594
S04146,BEGUSARAI,BIHAR,228447
S04228,BARACHATTI,BIHAR,228235
S0497,PAROO,BIHAR,228163
S04163,BELHAR,BIHAR,227772
S0454,KISHANGANJ,BIHAR,227042
S04187,MANER,BIHAR,226143
S04189,MASAURHI,BIHAR,225819
S044,BAGAHA,BIHAR,225532
S04123,HAJIPUR,BIHAR,225242
S0460,RUPAULI,BIHAR,225095
S0457,BAISI,BIHAR,224244
S04224,RAFIGANJ,BIHAR,224239
S0488,GAIGHAT,BIHAR,223779
S0471,BIHARIGANJ,BIHAR,223746
S0412,NARKATIA,BIHAR,223643
S0441,NIRMALI,BIHAR,223169
S04139,ROSERA,BIHAR,223149
S0442,PIPRA,BIHAR,223019
S04142,BACHHWARA,BIHAR,222847
S0444,TRIVENIGANJ,BIHAR,221695
S04208,SASARAM,BIHAR,221091
S04160,DHORAIYA,BIHAR,220693
S04186,DANAPUR,BIHAR,220307
S0427,BAJPATTI,BIHAR,220241
S0451,SIKTI,BIHAR,220229
S0490,MINAPUR,BIHAR,219843
S04209,KARGAHAR,BIHAR,219564
S0498,SAHEBGANJ,BIHAR,219550
S0491,BOCHAHAN,BIHAR,218853
S047,CHANPATIA,BIHAR,218455
S04150,BELDAUR,BIHAR,217416
S0450,JOKIHAT,BIHAR,217385
S04241,JAMUI,BIHAR,217247
S0452,BAHADURGANJ,BIHAR,217155
S0423,RIGA,BIHAR,216942
S0428,SITAMARHI,BIHAR,216653
S04236,HISUA,BIHAR,215945
S04164,TARAPUR,BIHAR,215758
S0410,RAXAUL,BIHAR,215448
S0424,BATHNAHA,BIHAR,215256
S04191,BIKRAM,BIHAR,215202
S04151,PARBATTA,BIHAR,215055
S04172,BIHARSHARIF,BIHAR,215019
S0419,MOTIHARI,BIHAR,214311
