state,constituency,constituency_code,runner_up_party,runner_up_votes,winning_party,winning_votes,vote_difference
BIHAR,BIKRAM,S04191,Indian National Congress,95588,Bharatiya Janata Party,101189,5601
BIHAR,BAGAHA,S044,Indian National Congress,100562,Bharatiya Janata Party,106875,6313
BIHAR,AURANGABAD,S04223,Indian National Congress,80406,Bharatiya Janata Party,87200,6794
BIHAR,RAJPUR,S04202,Indian National Congress,71565,Janata Dal (United),80701,9136
BIHAR,BARARI,S0468,Indian National Congress,96858,Janata Dal (United),107842,10984
BIHAR,WAZIRGANJ,S04234,Indian National Congress,81841,Bharatiya Janata Party,94574,12733
BIHAR,KASBA,S0458,Indian National Congress,74002,Lok Janshakti Party (Ram Vilas),86877,12875
BIHAR,SONBARSHA,S0474,Indian National Congress,84379,Janata Dal (United),97833,13454
BIHAR,BHAGALPUR,S04156,Indian National Congress,87296,Bharatiya Janata Party,100770,13474
BIHAR,BENIPUR,S0480,Indian National Congress,70604,Janata Dal (United),84207,13603
BIHAR,PHULPARAS,S0439,Indian National Congress,79578,Janata Dal (United),93677,14099
BIHAR,SAKRA,S0492,Indian National Congress,83673,Janata Dal (United),98723,15050
BIHAR,BACHHWARA,S04142,Indian National Congress,84502,Bharatiya Janata Party,100343,15841
BIHAR,RAXAUL,S0410,Indian National Congress,88887,Bharatiya Janata Party,106765,17878
BIHAR,KADWA,S0464,Indian National Congress,80906,Janata Dal (United),99274,18368
BIHAR,KUTUMBA,S04222,Indian National Congress,63202,Hindustani Awam Morcha (Secular),84727,21525
BIHAR,JALE,S0487,Indian National Congress,78634,Bharatiya Janata Party,100496,21862
BIHAR,CHENARI,S04207,Indian National Congress,73591,Lok Janshakti Party (Ram Vilas),95579,21988
BIHAR,NAUTAN,S046,Indian National Congress,79880,Bharatiya Janata Party,101952,22072
BIHAR,KORHA,S0469,Indian National Congress,101238,Bharatiya Janata Party,123495,22257
BIHAR,BETTIAH,S048,Indian National Congress,69534,Bharatiya Janata Party,91907,22373
BIHAR,KHAGARIA,S04149,Indian National Congress,70573,Janata Dal (United),93988,23415
BIHAR,BENIPATTI,S0432,Indian National Congress,63221,Bharatiya Janata Party,87153,23932
BIHAR,KUCHAIKOTE,S04102,Indian National Congress,76934,Janata Dal (United),101425,24491
BIHAR,LAKHISARAI,S04168,Indian National Congress,97468,Bharatiya Janata Party,122408,24940
BIHAR,BARBIGHA,S04170,Indian National Congress,36389,Janata Dal (United),61882,25493
BIHAR,GAYA TOWN,S04230,Indian National Congress,64455,Bharatiya Janata Party,90878,26423
BIHAR,HISUA,S04236,Indian National Congress,68036,Bharatiya Janata Party,95885,27849
BIHAR,BUXAR,S04200,Indian National Congress,56548,Bharatiya Janata Party,84901,28353
BIHAR,BAHADURGANJ,S0452,Indian National Congress,58589,All India Majlis-E-Ittehadul Muslimeen,87315,28726
BIHAR,GOPALGANJ,S04101,Indian National Congress,67920,Bharatiya Janata Party,96892,28972
BIHAR,BIHARSHARIF,S04172,Indian National Congress,80136,Bharatiya Janata Party,109304,29168
BIHAR,BEGUSARAI,S04146,Indian National Congress,88874,Bharatiya Janata Party,119506,30632
BIHAR,SUPAUL,S0443,Indian National Congress,78282,Janata Dal (United),109085,30803
BIHAR,MUZAFFARPUR,S0494,Indian National Congress,67820,Bharatiya Janata Party,100477,32657
BIHAR,GOVINDGANJ,S0414,Indian National Congress,63351,Lok Janshakti Party (Ram Vilas),96034,32683
BIHAR,NALANDA,S04176,Indian National Congress,72424,Janata Dal (United),105432,33008
BIHAR,RIGA,S0423,Indian National Congress,84268,Bharatiya Janata Party,117393,33125
BIHAR,AMARPUR,S04159,Indian National Congress,70723,Janata Dal (United),103944,33221
BIHAR,PURNIA,S0462,Indian National Congress,94392,Bharatiya Janata Party,127614,33222
BIHAR,BELDAUR,S04150,Indian National Congress,71087,Janata Dal (United),106262,35175
BIHAR,PATNA SAHIB,S04184,Indian National Congress,91466,Bharatiya Janata Party,130366,38900
BIHAR,BANMANKHI,S0459,Indian National Congress,77198,Bharatiya Janata Party,122494,45296
BIHAR,KUMHRAR,S04183,Indian National Congress,52961,Bharatiya Janata Party,100485,47524
BIHAR,RAJA PAKAR,S04127,Indian National Congress,48069,Janata Dal (United),96258,48189
BIHAR,HARNAUT,S04177,Indian National Congress,58619,Janata Dal (United),106954,48335
