party,hhi_band,seats_won
All India Majlis-E-Ittehadul Muslimeen,Fragmented,5
Bahujan Samaj Party,Fragmented,1
Bharatiya Janata Party,Competitive,74
Bharatiya Janata Party,Dominant,6
Bharatiya Janata Party,Fragmented,9
Communist Party of India (Marxist),Fragmented,1
Communist Party of India (Marxist-Leninist) (Liberation),Competitive,1
Communist Party of India (Marxist-Leninist) (Liberation),Fragmented,1
Hindustani Awam Morcha (Secular),Competitive,5
Indian Inclusive Party,Competitive,1
Indian National Congress,Competitive,2
Indian National Congress,Dominant,1
Indian National Congress,Fragmented,3
Janata Dal (United),Competitive,61
Janata Dal (United),Fragmented,24
Lok Janshakti Party (Ram Vilas),Competitive,10
Lok Janshakti Party (Ram Vilas),Dominant,1
Lok Janshakti Party (Ram Vilas),Fragmented,8
Rashtriya Janata Dal,Competitive,19
Rashtriya Janata Dal,Fragmented,6
Rashtriya Lok Morcha,Competitive,3
Rashtriya Lok Morcha,Fragmented,1
