state,party,silver_medals
BIHAR,Rashtriya Janata Dal,112
BIHAR,Indian National Congress,48
BIHAR,Janata Dal (United),17
BIHAR,Communist Party of India (Marxist-Leninist) (Liberation),14
BIHAR,Bharatiya Janata Party,12
BIHAR,Vikassheel Insaan Party,10
BIHAR,Lok Janshakti Party (Ram Vilas),8
BIHAR,Communist Party of India,5
BIHAR,Independent,4
BIHAR,All India Majlis-E-Ittehadul Muslimeen,2
BIHAR,Communist Party of India (Marxist),2
BIHAR,Rashtriya Lok Morcha,2
BIHAR,Jan Suraaj Party,1
BIHAR,Indian Inclusive Party,1
BIHAR,Hindustani Awam Morcha (Secular),1
BIHAR,Bahujan Samaj Party,1
BIHAR,Janshakti Janta Dal,1
