state,constituency,constituency_code,runner_up_party,runner_up_votes,winning_party,winning_votes,vote_difference
BIHAR,JEHANABAD,S04216,Janata Dal (United),85609,Rashtriya Janata Dal,86402,793
BIHAR,VALMIKI NAGAR,S041,Janata Dal (United),106055,Indian National Congress,107730,1675
BIHAR,KARAKAT,S04213,Janata Dal (United),71321,Communist Party of India (Marxist-Leninist) (Liberation),74157,2836
BIHAR,MAHISHI,S0477,Janata Dal (United),90012,Rashtriya Janata Dal,93752,3740
BIHAR,MATIHANI,S04144,Janata Dal (United),112499,Rashtriya Janata Dal,117789,5290
BIHAR,MADHEPURA,S0473,Janata Dal (United),100655,Rashtriya Janata Dal,108464,7809
BIHAR,RANIGANJ,S0447,Janata Dal (United),103060,Rashtriya Janata Dal,111590,8530
BIHAR,MORWA,S04135,Janata Dal (United),69099,Rashtriya Janata Dal,77770,8671
BIHAR,RAGHUNATHPUR,S04108,Janata Dal (United),79030,Rashtriya Janata Dal,88278,9248
BIHAR,BIBHUTIPUR,S04138,Janata Dal (United),68965,Communist Party of India (Marxist),79246,10281
BIHAR,ARARIA,S0449,Janata Dal (United),78788,Indian National Congress,91529,12741
BIHAR,CHAKAI,S04243,Janata Dal (United),67385,Rashtriya Janata Dal,80357,12972
BIHAR,MANIHARI,S0467,Janata Dal (United),99586,Indian National Congress,114754,15168
BIHAR,PARSA,S04121,Janata Dal (United),63321,Rashtriya Janata Dal,89093,25772
BIHAR,JOKIHAT,S0450,Janata Dal (United),54934,All India Majlis-E-Ittehadul Muslimeen,83737,28803
BIHAR,AMOUR,S0456,Janata Dal (United),61908,All India Majlis-E-Ittehadul Muslimeen,100836,38928
