state,candidate,party,constituency,vote_share
BIHAR,SANGITA DEVI,Lok Janshakti Party (Ram Vilas),BALRAMPUR,29.03881273594779733900
BIHAR,MD. ZAMA KHAN,Janata Dal (United),CHAINPUR,30.93940981316570630300
BIHAR,SAVITRI DEVI,Rashtriya Janata Dal,CHAKAI,34.50827310478693480700
BIHAR,GOPAL KUMAR AGARWAL,Janata Dal (United),THAKURGANJ,34.71272605846876819800
BIHAR,NITESH KUMAR SINGH,Lok Janshakti Party (Ram Vilas),KASBA,36.81088433068230448800
BIHAR,SATISH KUMAR SINGH YADAV,Bahujan Samaj Party,RAMGARH,37.30625526061875141100
BIHAR,ARUN SINGH (VILL-AJNAP TOLA),Communist Party of India (Marxist-Leninist) (Liberation),KARAKAT,37.50701767695925954000
BIHAR,ABIDUR RAHMAN,Indian National Congress,ARARIA,37.80862093892641014500
BIHAR,UDAY KUMAR SINGH,Lok Janshakti Party (Ram Vilas),SHERGHATI,38.13166206079747335200
BIHAR,SANTOSH KUMAR NIRALA,Janata Dal (United),RAJPUR,38.18809889979888796900
BIHAR,MOHAMMAD MURSHID ALAM,All India Majlis-E-Ittehadul Muslimeen,JOKIHAT,38.52013708397543528800
BIHAR,RANDHIR KUMAR SINGH,Janata Dal (United),MANJHI,38.52799477700983813200
BIHAR,ABHISHEK ANAND,Janata Dal (United),CHERIA,39.24449601706077902500
BIHAR,GAYETRI DEVI,Bharatiya Janata Party,PARIHAR,39.35859641770289126900
BIHAR,MD. QAMRUL HODA,Indian National Congress,KISHANGANJ,39.49445477048299433600
BIHAR,RANVIJAY SAHU,Rashtriya Janata Dal,MORWA,39.53314592748105184500
BIHAR,SANGITA KUMARI,Bharatiya Janata Party,MOHANIA,39.98113355868249351500
BIHAR,ABHISHEK RANJAN,Indian National Congress,CHANPATIA,40.07141058799295049300
BIHAR,BINITA MEHTA,Lok Janshakti Party (Ram Vilas),GOBINDPUR,40.12216694306246545100
BIHAR,MD TAUSEEF ALAM,All India Majlis-E-Ittehadul Muslimeen,BAHADURGANJ,40.20860675554327554100
BIHAR,AJAY KUMAR,Communist Party of India (Marxist),BIBHUTIPUR,40.36614064935461852700
BIHAR,RAHUL KUMAR SINGH,Janata Dal (United),DUMRAON,40.37019526503886491100
BIHAR,SATTANAND SAMBUDDHA ALIAS LALAN JEE,Rashtriya Janata Dal,SAHEBPUR KAMAL,40.48733683389215748300
BIHAR,GHULAM SARWAR,All India Majlis-E-Ittehadul Muslimeen,BAISI,41.36833092524214694700
BIHAR,SANJAY KUMAR SINGH,Lok Janshakti Party (Ram Vilas),MAHUA,41.47155133252574197500
BIHAR,BHARAT BIND,Bharatiya Janata Party,BHABUA,41.48001119414587630500
BIHAR,SHANKAR PRASAD,Rashtriya Janata Dal,PAROO,41.75611295433527785000
BIHAR,ALOK KUMAR SINGH,Rashtriya Lok Morcha,DINARA,41.87764615318821365900
BIHAR,BHISM PRATAP SINGH,Janata Dal (United),ZIRADEI,41.93546344490457556100
BIHAR,BASHISTH SINGH,Janata Dal (United),KARGAHAR,42.12211473647774680700
BIHAR,CHETAN ANAND,Janata Dal (United),NABINAGAR,42.29057274841370892200
BIHAR,MD. SARWAR ALAM,All India Majlis-E-Ittehadul Muslimeen,KOCHADHAMAN,42.34320444846760636200
BIHAR,NISHA SINGH,Bharatiya Janata Party,PRANPUR,42.65279021891157104000
BIHAR,RAMANAND MANDAL,Janata Dal (United),SURYAGARHA,42.75262361272415484700
BIHAR,DR. KUMAR PUSPANJAY,Janata Dal (United),BARBIGHA,42.85041616463777750100
BIHAR,KUMAR SARVJEET,Rashtriya Janata Dal,BODH GAYA,43.37849943524340792700
BIHAR,TRIVIKRAM NARAYAN SINGH,Bharatiya Janata Party,AURANGABAD,43.38437963322288227500
BIHAR,VIBHA DEVI,Janata Dal (United),NAWADA,43.38739615075386860200
BIHAR,AKHTARUL IMAN,All India Majlis-E-Ittehadul Muslimeen,AMOUR,43.49979293208172280500
BIHAR,RAGHVENDRA PRATAP SINGH,Bharatiya Janata Party,BARHARA,43.70936209471926895700
BIHAR,RADHA CHARAN SAH,Janata Dal (United),SANDESH,43.98733831796103258200
BIHAR,RAJESH KUMAR MANDAL,Janata Dal (United),DARBHANGA RURAL,44.04527774135745815300
BIHAR,JANAK SINGH,Bharatiya Janata Party,TARAIYA,44.21043929357542188100
BIHAR,AMRENDRA KUMAR,Rashtriya Janata Dal,GOH,44.23132343422985888300
BIHAR,SHALINI MISHRA,Janata Dal (United),KESARIA,44.25553109240843771000
BIHAR,INDRAJEET PRASAD GUPTA,Indian Inclusive Party,SAHARSA,44.28498284975150425600
BIHAR,ANIL SINGH,Bharatiya Janata Party,HISUA,44.40250989835374748200
BIHAR,DAMODAR RAWAT,Janata Dal (United),JHAJHA,44.41660584091263234700
BIHAR,RAJ KUMAR RAY,Janata Dal (United),HASANPUR,44.43364336238227363300
BIHAR,SANDEEP SAURAV,Communist Party of India (Marxist-Leninist) (Liberation),PALIGANJ,44.48497147871873628800
BIHAR,KRISHAN KUMAR MANTOO,Bharatiya Janata Party,AMNOUR,44.51523921231160962200
BIHAR,RAHUL KUMAR,Rashtriya Janata Dal,JEHANABAD,44.64273719780304948300
BIHAR,ALOK KUMAR MEHTA,Rashtriya Janata Dal,UJIARPUR,44.65618817800386964900
BIHAR,BINAY KUMAR CHOUDHARY,Janata Dal (United),BENIPUR,44.70392746036970578600
BIHAR,SURENDRA RAM,Rashtriya Janata Dal,GARKHA,44.78395258898165574900
BIHAR,PRAKASH CHANDRA,Lok Janshakti Party (Ram Vilas),OBRA,44.82785610159376192400
BIHAR,AMIT KUMAR,Lok Janshakti Party (Ram Vilas),BELSAND,44.83263415486803006500
BIHAR,PAPPU KUMAR VERMA,Janata Dal (United),KURTHA,44.89500623993922841800
BIHAR,SUBEDAR DAS,Rashtriya Janata Dal,MAKHDUMPUR,44.93356330266407851000
BIHAR,VIMAL RAJBANSHI,Lok Janshakti Party (Ram Vilas),RAJAULI,44.97835088016502159900
BIHAR,BIRENDRA SINGH,Bharatiya Janata Party,WAZIRGANJ,44.98981980096283751600
BIHAR,ANAND MISHRA,Bharatiya Janata Party,BUXAR,45.01214094094943218600
BIHAR,RAMESHWAR KUMAR MEHTO,Rashtriya Lok Morcha,BAJPATTI,45.01614140872952810800
BIHAR,SURENDRA MEHTA,Bharatiya Janata Party,BACHHWARA,45.02775446831233985600
BIHAR,SHYAM BABU PRASAD YADAV,Bharatiya Janata Party,PIPRA,45.13339082879296321000
BIHAR,ARUN KUMAR S/O SATRUGHAN SAO,Lok Janshakti Party (Ram Vilas),BAKHTIARPUR,45.14023457419683834800
BIHAR,MAHESH PASWAN,Bharatiya Janata Party,AGIAON,45.20364171561795850300
BIHAR,MADAN SAHNI,Janata Dal (United),BAHADURPUR,45.24036586912709113400
BIHAR,CHANDRA SHEKHAR,Rashtriya Janata Dal,MADHEPURA,45.27067072916231896200
BIHAR,VINAY KUMAR SINGH,Bharatiya Janata Party,SONEPUR,45.59425818108813491300
BIHAR,SIDDHARTH PATEL,Janata Dal (United),VAISHALI,45.59709530300735430200
BIHAR,SHEELA KUMARI,Janata Dal (United),PHULPARAS,45.64644313746509894100
BIHAR,LAL BABU PRASAD GUPTA,Bharatiya Janata Party,CHIRAIA,45.64706831033474785600
BIHAR,MANJEET KUMAR SINGH,Janata Dal (United),BARAULI,45.65782765209061835300
BIHAR,RAM CHANDRA PRASAD,Bharatiya Janata Party,HAYAGHAT,45.68402993462892300400
BIHAR,DR. RAMANAND YADAV,Rashtriya Janata Dal,FATUHA,45.69482288828337874700
BIHAR,FAISAL RAHMAN,Rashtriya Janata Dal,DHAKA,45.71619758293454457000
BIHAR,AJAY KUMAR,Rashtriya Janata Dal,TIKARI,45.79274733012557211600
BIHAR,CHHOTI KUMARI,Bharatiya Janata Party,CHAPRA,45.85535590768207234800
BIHAR,SAMMRIDH VARMA,Janata Dal (United),SIKTA,46.10555982577504483700
BIHAR,SURENDRA PRASAD,Indian National Congress,VALMIKI NAGAR,46.11097794822627037400
BIHAR,SUJIT KUMAR,Bharatiya Janata Party,GAURA BAURAM,46.17798993003334859100
BIHAR,GAUTAM KRISHNA,Rashtriya Janata Dal,MAHISHI,46.19098765310446084600
BIHAR,HEM NARAYAN SAH,Janata Dal (United),MAHARAJGANJ,46.22384324583355518900
BIHAR,MURARI MOHAN JHA,Bharatiya Janata Party,KEOTI,46.27650736286788377300
BIHAR,SHWETA GUPTA,Janata Dal (United),SHEOHAR,46.29410168910718620200
BIHAR,MADHAW ANAND,Rashtriya Lok Morcha,MADHUBANI,46.37892504071815461500
BIHAR,MANJARIK MRINAL,Janata Dal (United),WARISNAGAR,46.41221894259805863300
BIHAR,SHAMBHU NATH YADAV,Rashtriya Janata Dal,BRAHAMPUR,46.42986923006109703300
BIHAR,RAMESH RISHI,Janata Dal (United),SINGHESHWAR,46.43458682049447145000
BIHAR,MURARI PRASAD GAUTAM,Lok Janshakti Party (Ram Vilas),CHENARI,46.44424251553745754200
BIHAR,KEDAR PD GUPTA,Bharatiya Janata Party,KURHANI,46.49350537337634334400
BIHAR,DULAL CHANDRA GOSWAMI,Janata Dal (United),KADWA,46.57362013558208815200
BIHAR,SUDHANSHU SHEKHAR,Janata Dal (United),HARLAKHI,46.60237574753185017200
BIHAR,MANOJ KUMAR,Bharatiya Janata Party,ARWAL,46.66140766061880971200
BIHAR,MANORMA DEVI,Janata Dal (United),BELAGANJ,46.67128412488598617700
BIHAR,VISHAL KUMAR,Janata Dal (United),NARKATIA,46.70389862414651922900
BIHAR,RENU DEVI,Bharatiya Janata Party,BETTIAH,46.78058066617802752700
BIHAR,RANA RANDHIR,Bharatiya Janata Party,MADHUBAN,46.78496823048132996800
BIHAR,SANJAY KUMAR SINGH,Lok Janshakti Party (Ram Vilas),SIMRI BAKHTIARPUR,46.93507326986843512700
BIHAR,RAMSEWAK SINGH,Janata Dal (United),HATHUA,46.98660600434565281700
BIHAR,KARNJEET SINGH ALIAS VYAS SINGH,Bharatiya Janata Party,DARAUNDA,47.01786794572638492800
BIHAR,SIDDHARTH SAURAV,Bharatiya Janata Party,BIKRAM,47.02047378741833254300
BIHAR,RITURAJ KUMAR,Janata Dal (United),GHOSI,47.05347568651219171100
BIHAR,ARUN KUMAR SINGH,Bharatiya Janata Party,BARURAJ,47.14100112403836328300
BIHAR,PRAPHULL KUMAR MANJHI,Hindustani Awam Morcha (Secular),SIKANDRA,47.16382714714529175200
BIHAR,ARUN MANJHI,Janata Dal (United),MASAURHI,47.16387903586500693000
