state,candidate,constituency,constituency_code,party,result
BIHAR,DHARMENDRA KUMAR,HISUA,S04236,Independent,LOST
BIHAR,DHIRAJ KUMAR,OBRA,S04220,Independent,LOST
BIHAR,DHIRAJ KUMAR,RIGA,S0423,Independent,LOST
BIHAR,KANHAIYA KUMAR,BIBHUTIPUR,S04138,Independent,LOST
BIHAR,KANHAIYA KUMAR,MUZAFFARPUR,S0494,Independent,LOST
BIHAR,KUNDAN KUMAR,SHEIKHPURA,S04169,Independent,LOST
BIHAR,KUNDAN KUMAR,TIKARI,S04231,Independent,LOST
BIHAR,MANISH KUMAR SINGH,PAROO,S0497,Independent,LOST
BIHAR,MANISH KUMAR SINGH,KHAGARIA,S04149,Independent,LOST
BIHAR,MANOJ KUMAR,SURSAND,S0426,Independent,LOST
BIHAR,MANOJ KUMAR,NAWADA,S04237,Independent,LOST
BIHAR,MANOJ KUMAR,BEGUSARAI,S04146,Independent,LOST
BIHAR,MANOJ KUMAR,BUXAR,S04200,Independent,LOST
BIHAR,MRITUNJAY KUMAR,PALIGANJ,S04190,Independent,LOST
BIHAR,MRITUNJAY KUMAR,NABINAGAR,S04221,Independent,LOST
BIHAR,NEHA KUMARI,CHENARI,S04207,Independent,LOST
BIHAR,NEHA KUMARI,AURANGABAD,S04223,Independent,LOST
BIHAR,NIRAJ KUMAR,PAROO,S0497,Independent,LOST
BIHAR,NIRAJ KUMAR,KURTHA,S04215,Independent,LOST
BIHAR,NITU KUMARI,BUXAR,S04200,Independent,LOST
BIHAR,NITU KUMARI,MOHANIA,S04204,Independent,LOST
BIHAR,PANKAJ KUMAR,SIMRI BAKHTIARPUR,S0476,Independent,LOST
BIHAR,PANKAJ KUMAR,CHENARI,S04207,Independent,LOST
BIHAR,PRAMILA DEVI,BUXAR,S04200,Independent,LOST
BIHAR,PRAMILA DEVI,DUMRAON,S04201,Independent,LOST
BIHAR,PRIYANKA KUMARI,SIKANDRA,S04240,Independent,LOST
BIHAR,PRIYANKA KUMARI,SAHEBPUR KAMAL,S04145,Independent,LOST
BIHAR,RAHUL KUMAR,GOBINDPUR,S04238,Independent,LOST
BIHAR,RAHUL KUMAR,BARHARIA,S04110,Independent,LOST
BIHAR,RAHUL KUMAR,SULTANGANJ,S04157,Independent,LOST
BIHAR,RAHUL KUMAR,BARACHATTI,S04228,Independent,LOST
BIHAR,RAJEEV RANJAN,GOH,S04219,Independent,LOST
BIHAR,RAJEEV RANJAN,JAGDISHPUR,S04197,Independent,LOST
BIHAR,RAJEEV RANJAN,KADWA,S0464,Independent,LOST
BIHAR,RAJESH KUMAR PASWAN,BELHAR,S04163,Independent,LOST
BIHAR,RAJESH KUMAR PASWAN,ROSERA,S04139,Independent,LOST
BIHAR,RAJIV KUMAR SINGH,GOPALPUR,S04153,Independent,LOST
BIHAR,RAJIV KUMAR SINGH,BIKRAM,S04191,Independent,LOST
BIHAR,RAJNISH KUMAR,DHORAIYA,S04160,Independent,LOST
