constituency_code,candidate,party,constituency,state,votes
S041,SURENDRA PRASAD,Indian National Congress,VALMIKI NAGAR,BIHAR,107730
S04224,PRAMOD KUMAR SINGH,Janata Dal (United),RAFIGANJ,BIHAR,107515
S0442,RAMBILASH KAMAT,Janata Dal (United),PIPRA,BIHAR,107041
S04177,HARI NARAYAN SINGH,Janata Dal (United),HARNAUT,BIHAR,106954
S044,RAM SINGH,Bharatiya Janata Party,BAGAHA,BIHAR,106875
S0410,PRAMOD KUMAR SINHA,Bharatiya Janata Party,RAXAUL,BIHAR,106765
S04189,ARUN MANJHI,Janata Dal (United),MASAURHI,BIHAR,106505
S0472,RAMESH RISHI,Janata Dal (United),SINGHESHWAR,BIHAR,106416
S0498,RAJU KUMAR SINGH,Bharatiya Janata Party,SAHEBGANJ,BIHAR,106322
S0445,DR. VIPIN KUMAR SINGH,Rashtriya Janata Dal,CHHATAPUR,BIHAR,106313
S04150,PANNA LAL SINGH PATEL,Janata Dal (United),BELDAUR,BIHAR,106262
S0419,PRAMOD KUMAR,Bharatiya Janata Party,MOTIHARI,BIHAR,106080
S041,DHIRENDRA PRATAP SINGH ALIAS RINKU SINGH,Janata Dal (United),VALMIKI NAGAR,BIHAR,106055
S04111,DEVESH KANT SINGH,Bharatiya Janata Party,GORIAKOTHI,BIHAR,105909
S04176,SHRAWON KUMAR,Janata Dal (United),NALANDA,BIHAR,105432
S0444,SONAM RANI,Janata Dal (United),TRIVENIGANJ,BIHAR,105262
S04208,SNEHLATA,Rashtriya Lok Morcha,SASARAM,BIHAR,105006
S04227,DEEPA KUMARI,Hindustani Awam Morcha (Secular),IMAMGANJ,BIHAR,104861
S0412,VISHAL KUMAR,Janata Dal (United),NARKATIA,BIHAR,104450
S0428,SUNIL KUMAR PINTU,Bharatiya Janata Party,SITAMARHI,BIHAR,104226
S0426,PROF. NAGENDRA RAUT,Janata Dal (United),SURSAND,BIHAR,104157
S0499,MITHILESH TIWARI,Bharatiya Janata Party,BAIKUNTHPUR,BIHAR,104133
S0489,RAMA NISHAD,Bharatiya Janata Party,AURAI,BIHAR,104085
S04128,SATISH KUMAR,Bharatiya Janata Party,RAGHOPUR,BIHAR,104065
S04242,JAY PRAKASH NARAYAN YADAV,Rashtriya Janata Dal,JHAJHA,BIHAR,104055
S04212,RAJEEV RANJAN SINGH,Lok Janshakti Party (Ram Vilas),DEHRI,BIHAR,104022
S04159,JAYANT RAJ,Janata Dal (United),AMARPUR,BIHAR,103944
S0472,CHANDRAHAS CHAUPAL,Rashtriya Janata Dal,SINGHESHWAR,BIHAR,103434
S0447,ACHMIT RISHIDEV,Janata Dal (United),RANIGANJ,BIHAR,103060
S0412,SHAMIM AHMAD,Rashtriya Janata Dal,NARKATIA,BIHAR,103007
S04136,VIJAY KUMAR CHOUDHARY,Janata Dal (United),SARAIRANJAN,BIHAR,102792
S04134,ALOK KUMAR MEHTA,Rashtriya Janata Dal,UJIARPUR,BIHAR,102707
S04233,ROMIT KUMAR,Hindustani Awam Morcha (Secular),ATRI,BIHAR,102102
S04167,RAMANAND MANDAL,Janata Dal (United),SURYAGARHA,BIHAR,101968
S046,NARAYAN PRASAD,Bharatiya Janata Party,NAUTAN,BIHAR,101952
S0476,YUSUF SALAHUDDIN,Rashtriya Janata Dal,SIMRI BAKHTIARPUR,BIHAR,101769
S04103,SUNIL KUMAR,Janata Dal (United),BHOREY,BIHAR,101469
S04102,AMRENDRA KUMAR PANDEY,Janata Dal (United),KUCHAIKOTE,BIHAR,101425
S0469,PUNAM KUMARI,Indian National Congress,KORHA,BIHAR,101238
S04191,SIDDHARTH SAURAV,Bharatiya Janata Party,BIKRAM,BIHAR,101189
S0433,ARUN SHANKAR PRASAD,Bharatiya Janata Party,KHAJAULI,BIHAR,101151
S0456,AKHTARUL IMAN,All India Majlis-E-Ittehadul Muslimeen,AMOUR,BIHAR,100836
S0466,ISHRAT PARWEEN,Rashtriya Janata Dal,PRANPUR,BIHAR,100813
S0435,ASIF AHMAD,Rashtriya Janata Dal,BISFI,BIHAR,100771
S04156,ROHIT PANDEY,Bharatiya Janata Party,BHAGALPUR,BIHAR,100770
S0473,KAVITA KUMARI SAHA,Janata Dal (United),MADHEPURA,BIHAR,100655
S044,JAYESH MANGALAM SINGH,Indian National Congress,BAGAHA,BIHAR,100562
S0487,JIBESH KUMAR,Bharatiya Janata Party,JALE,BIHAR,100496
S04174,RUHAIL RANJAN,Janata Dal (United),ISLAMPUR,BIHAR,100487
S04183,SANJAY KUMAR,Bharatiya Janata Party,KUMHRAR,BIHAR,100485
S0494,RANJAN KUMAR,Bharatiya Janata Party,MUZAFFARPUR,BIHAR,100477
S04142,SURENDRA MEHTA,Bharatiya Janata Party,BACHHWARA,BIHAR,100343
S0463,TARKISHORE PRASAD,Bharatiya Janata Party,KATIHAR,BIHAR,100255
S04229,KUMAR SARVJEET,Rashtriya Janata Dal,BODH GAYA,BIHAR,100236
S043,SANJAY KUMAR PANDEY,Bharatiya Janata Party,NARKATIAGANJ,BIHAR,100044
S04225,UPENDRA PRASAD,Bharatiya Janata Party,GURUA,BIHAR,99758
S0417,RAJMANGAL PRASAD,Communist Party of India (Marxist),PIPRA,BIHAR,99677
S0467,SHAMBHU KUMAR SUMAN,Janata Dal (United),MANIHARI,BIHAR,99586
S0444,SANTOSH KUMAR,Rashtriya Janata Dal,TRIVENIGANJ,BIHAR,99579
S04179,SIYARAM SINGH,Bharatiya Janata Party,BARH,BIHAR,99446
S04228,TANUSHREE KUMARI,Rashtriya Janata Dal,BARACHATTI,BIHAR,99378
S04229,SHYAMDEO PASWAN,Lok Janshakti Party (Ram Vilas),BODH GAYA,BIHAR,99355
S0464,DULAL CHANDRA GOSWAMI,Janata Dal (United),KADWA,BIHAR,99274
S0427,RAMESHWAR KUMAR MEHTO,Rashtriya Lok Morcha,BAJPATTI,BIHAR,99144
S0411,RAJESH KUMAR ALIAS BABLU GUPTA,Lok Janshakti Party (Ram Vilas),SUGAULI,BIHAR,98875
S04189,REKHA DEVI,Rashtriya Janata Dal,MASAURHI,BIHAR,98862
S0492,ADITYA KUMAR,Janata Dal (United),SAKRA,BIHAR,98723
S0428,SUNIL KUMAR,Rashtriya Janata Dal,SITAMARHI,BIHAR,98664
S04147,SANJAY KUMAR,Lok Janshakti Party (Ram Vilas),BAKHRI,BIHAR,98511
S04182,NITIN NABIN,Bharatiya Janata Party,BANKIPUR,BIHAR,98299
S0434,MINA KUMARI,Janata Dal (United),BABUBARHI,BIHAR,98221
S0493,SUNIL KUMAR SUMAN,Rashtriya Janata Dal,KURHANI,BIHAR,98093
S04129,UMESH SINGH KUSHWAHA,Janata Dal (United),MAHNAR,BIHAR,98050
S0436,MADHAW ANAND,Rashtriya Lok Morcha,MADHUBANI,BIHAR,97956
S04239,ANITA,Rashtriya Janata Dal,WARSALIGANJ,BIHAR,97833
S0474,RATNESH SADA,Janata Dal (United),SONBARSHA,BIHAR,97833
S04231,AJAY KUMAR,Rashtriya Janata Dal,TIKARI,BIHAR,97550
S04168,AMARESH KUMAR,Indian National Congress,LAKHISARAI,BIHAR,97468
S0483,SANJAY SARAOGI,Bharatiya Janata Party,DARBHANGA,BIHAR,97453
S0422,SHWETA GUPTA,Janata Dal (United),SHEOHAR,BIHAR,97269
S049,SAMMRIDH VARMA,Janata Dal (United),SIKTA,BIHAR,97173
S04101,SUBHASH SINGH,Bharatiya Janata Party,GOPALGANJ,BIHAR,96892
S04196,VISHAL PRASHANT,Bharatiya Janata Party,TARARI,BIHAR,96887
S0496,ARUN KUMAR SINGH,Bharatiya Janata Party,BARURAJ,BIHAR,96879
S0413,KRISHNANANDAN PASWAN,Bharatiya Janata Party,HARSIDHI,BIHAR,96864
S0468,TAUQUIR ALAM,Indian National Congress,BARARI,BIHAR,96858
S04166,NACHIKETA,Janata Dal (United),JAMALPUR,BIHAR,96683
S045,VINAY BIHARI,Bharatiya Janata Party,LAURIYA,BIHAR,96510
S0485,MADAN SAHNI,Janata Dal (United),BAHADURPUR,BIHAR,96300
S04127,MAHENDRA RAM,Janata Dal (United),RAJA PAKAR,BIHAR,96258
S0414,RAJU TIWARI,Lok Janshakti Party (Ram Vilas),GOVINDGANJ,BIHAR,96034
S04175,KRISHNA MURARI SHARAN,Janata Dal (United),HILSA,BIHAR,96009
S04236,ANIL SINGH,Bharatiya Janata Party,HISUA,BIHAR,95885
S04199,SHAMBHU NATH YADAV,Rashtriya Janata Dal,BRAHAMPUR,BIHAR,95828
S0427,MUKESH KUMAR YADAV,Rashtriya Janata Dal,BAJPATTI,BIHAR,95749
S04133,ASHWAMEDH DEVI,Janata Dal (United),SAMASTIPUR,BIHAR,95728
S04232,MANORMA DEVI,Janata Dal (United),BELAGANJ,BIHAR,95685
S04115,KEDAR NATH SINGH,Bharatiya Janata Party,BANIAPUR,BIHAR,95606
S04191,ANIL KUMAR,Indian National Congress,BIKRAM,BIHAR,95588
S04161,RAM NARAYAN MANDAL,Bharatiya Janata Party,BANKA,BIHAR,95588
S04207,MURARI PRASAD GAUTAM,Lok Janshakti Party (Ram Vilas),CHENARI,BIHAR,95579
S04224,GHULAM SHAHID,Rashtriya Janata Dal,RAFIGANJ,BIHAR,95559
S04231,ANIL KUMAR,Hindustani Awam Morcha (Secular),TIKARI,BIHAR,95492
S04124,SHIVANI SHUKLA,Rashtriya Janata Dal,LALGANJ,BIHAR,95483
S0497,SHANKAR PRASAD,Rashtriya Janata Dal,PAROO,BIHAR,95272
S0446,MANISH YADAV,Rashtriya Janata Dal,NARPATGANJ,BIHAR,95204
S04123,DEO KUMAR CHAURASIA,Rashtriya Janata Dal,HAJIPUR,BIHAR,94712
S04234,BIRENDRA SINGH,Bharatiya Janata Party,WAZIRGANJ,BIHAR,94574
S0462,JITENDRA KUMAR,Indian National Congress,PURNIA,BIHAR,94392
S04162,PURAN LAL TUDU,Bharatiya Janata Party,KATORIA,BIHAR,94260
S04194,SANJAY SINGH (TIGER),Bharatiya Janata Party,ARRAH,BIHAR,94201
S04149,BABLU KUMAR,Janata Dal (United),KHAGARIA,BIHAR,93988
S04188,GOPAL RAVI DAS,Communist Party of India (Marxist-Leninist) (Liberation),PHULWARI,BIHAR,93813
S0477,GAUTAM KRISHNA,Rashtriya Janata Dal,MAHISHI,BIHAR,93752
S0439,SHEELA KUMARI,Janata Dal (United),PHULPARAS,BIHAR,93677
S0429,PANKAJ KUMAR,Janata Dal (United),RUNNISAIDPUR,BIHAR,93672
S04219,AMRENDRA KUMAR,Rashtriya Janata Dal,GOH,BIHAR,93624
S04110,INDRADEV SINGH,Janata Dal (United),BARHARIA,BIHAR,93600
S04111,ANWARUL HAQUE,Rashtriya Janata Dal,GORIAKOTHI,BIHAR,93524
S04148,RAM CHANDRA SADA,Janata Dal (United),ALAULI,BIHAR,93208
S04211,NAGENDRA CHANDRAVANSHI,Janata Dal (United),NOKHA,BIHAR,93193
