state,constituency,constituency_code,runner_up_party,runner_up_votes,winning_party,winning_votes,vote_difference
BIHAR,SANDESH,S04192,Rashtriya Janata Dal,80571,Janata Dal (United),80598,27
BIHAR,NABINAGAR,S04221,Rashtriya Janata Dal,80268,Janata Dal (United),80380,112
BIHAR,BAKHTIARPUR,S04180,Rashtriya Janata Dal,87539,Lok Janshakti Party (Ram Vilas),88520,981
BIHAR,TARAIYA,S04116,Rashtriya Janata Dal,84235,Bharatiya Janata Party,85564,1329
BIHAR,NARKATIA,S0412,Rashtriya Janata Dal,103007,Janata Dal (United),104450,1443
BIHAR,BELAGANJ,S04232,Rashtriya Janata Dal,92803,Janata Dal (United),95685,2882
BIHAR,SINGHESHWAR,S0472,Rashtriya Janata Dal,103434,Janata Dal (United),106416,2982
BIHAR,BAJPATTI,S0427,Rashtriya Janata Dal,95749,Rashtriya Lok Morcha,99144,3395
BIHAR,AMNOUR,S04120,Rashtriya Janata Dal,71717,Bharatiya Janata Party,75525,3808
BIHAR,RAJAULI,S04235,Rashtriya Janata Dal,86319,Lok Janshakti Party (Ram Vilas),90272,3953
BIHAR,CHERIA,S04141,Rashtriya Janata Dal,70962,Janata Dal (United),75081,4119
BIHAR,JHAJHA,S04242,Rashtriya Janata Dal,104055,Janata Dal (United),108317,4262
BIHAR,SONEPUR,S04122,Rashtriya Janata Dal,86075,Bharatiya Janata Party,90842,4767
BIHAR,KURTHA,S04215,Rashtriya Janata Dal,68985,Janata Dal (United),74466,5481
BIHAR,MADHUBAN,S0418,Rashtriya Janata Dal,80510,Bharatiya Janata Party,86002,5492
BIHAR,SITAMARHI,S0428,Rashtriya Janata Dal,98664,Bharatiya Janata Party,104226,5562
BIHAR,GAURA BAURAM,S0479,Rashtriya Janata Dal,72013,Bharatiya Janata Party,77682,5669
BIHAR,TRIVENIGANJ,S0444,Rashtriya Janata Dal,99579,Janata Dal (United),105262,5683
BIHAR,HARSIDHI,S0413,Rashtriya Janata Dal,89769,Bharatiya Janata Party,96864,7095
BIHAR,KEOTI,S0486,Rashtriya Janata Dal,81818,Bharatiya Janata Party,89123,7305
BIHAR,CHAPRA,S04118,Rashtriya Janata Dal,79245,Bharatiya Janata Party,86845,7600
BIHAR,MASAURHI,S04189,Rashtriya Janata Dal,98862,Janata Dal (United),106505,7643
BIHAR,PRANPUR,S0466,Rashtriya Janata Dal,100813,Bharatiya Janata Party,108565,7752
BIHAR,HASANPUR,S04140,Rashtriya Janata Dal,83047,Janata Dal (United),90961,7914
BIHAR,SIMRI BAKHTIARPUR,S0476,Rashtriya Janata Dal,101769,Lok Janshakti Party (Ram Vilas),109699,7930
BIHAR,CHAINPUR,S04206,Rashtriya Janata Dal,62514,Janata Dal (United),70876,8362
BIHAR,BARACHATTI,S04228,Rashtriya Janata Dal,99378,Hindustani Awam Morcha (Secular),108271,8893
BIHAR,SIWAN,S04105,Rashtriya Janata Dal,83009,Bharatiya Janata Party,92379,9370
BIHAR,KURHANI,S0493,Rashtriya Janata Dal,98093,Bharatiya Janata Party,107811,9718
BIHAR,DINARA,S04210,Rashtriya Janata Dal,67504,Rashtriya Lok Morcha,78338,10834
BIHAR,KATORIA,S04162,Rashtriya Janata Dal,83274,Bharatiya Janata Party,94260,10986
BIHAR,MOHIUDDINNAGAR,S04137,Rashtriya Janata Dal,77526,Bharatiya Janata Party,89208,11682
BIHAR,ALINAGAR,S0481,Rashtriya Janata Dal,73185,Bharatiya Janata Party,84915,11730
BIHAR,RAFIGANJ,S04224,Rashtriya Janata Dal,95559,Janata Dal (United),107515,11956
BIHAR,BAHADURPUR,S0485,Rashtriya Janata Dal,84289,Janata Dal (United),96300,12011
BIHAR,OBRA,S04220,Rashtriya Janata Dal,79625,Lok Janshakti Party (Ram Vilas),91638,12013
BIHAR,BARHARIA,S04110,Rashtriya Janata Dal,81464,Janata Dal (United),93600,12136
BIHAR,HATHUA,S04104,Rashtriya Janata Dal,79773,Janata Dal (United),92121,12348
BIHAR,BARAULI,S04100,Rashtriya Janata Dal,76283,Janata Dal (United),88657,12374
BIHAR,GORIAKOTHI,S04111,Rashtriya Janata Dal,93524,Bharatiya Janata Party,105909,12385
BIHAR,KHAJAULI,S0433,Rashtriya Janata Dal,88025,Bharatiya Janata Party,101151,13126
BIHAR,SAHEBGANJ,S0498,Rashtriya Janata Dal,92800,Bharatiya Janata Party,106322,13522
BIHAR,SHERGHATI,S04226,Rashtriya Janata Dal,63746,Lok Janshakti Party (Ram Vilas),77270,13524
BIHAR,MOTIHARI,S0419,Rashtriya Janata Dal,92517,Bharatiya Janata Party,106080,13563
BIHAR,SAMASTIPUR,S04133,Rashtriya Janata Dal,81853,Janata Dal (United),95728,13875
BIHAR,BARHARA,S04193,Rashtriya Janata Dal,65190,Bharatiya Janata Party,79593,14403
BIHAR,SHAHPUR,S04198,Rashtriya Janata Dal,73430,Bharatiya Janata Party,88655,15225
BIHAR,BANIAPUR,S04115,Rashtriya Janata Dal,80170,Bharatiya Janata Party,95606,15436
BIHAR,KALYANPUR,S0416,Rashtriya Janata Dal,73489,Bharatiya Janata Party,89057,15568
BIHAR,HILSA,S04175,Rashtriya Janata Dal,79997,Janata Dal (United),96009,16012
BIHAR,CHHATAPUR,S0445,Rashtriya Janata Dal,106313,Bharatiya Janata Party,122491,16178
BIHAR,BAIKUNTHPUR,S0499,Rashtriya Janata Dal,87180,Bharatiya Janata Party,104133,16953
