state,party,seats_participated,seats_won,success_ratio
BIHAR,Sampoorna Bharat Kranti Party,2,0,0.00000000000000000000
BIHAR,Vanchit Adhikar Party,2,0,0.00000000000000000000
BIHAR,Vikas Insaf Party,2,0,0.00000000000000000000
BIHAR,Vocal India Party,2,0,0.00000000000000000000
BIHAR,Wazib Adhikar Party,2,0,0.00000000000000000000
BIHAR,Open peoples Party,1,0,0.00000000000000000000
BIHAR,Uday Bharatam Party,1,0,0.00000000000000000000
BIHAR,Parivartan Party of India,1,0,0.00000000000000000000
BIHAR,Janta Kranti Party (Rashtravadi),1,0,0.00000000000000000000
BIHAR,Jansatta Party of India,1,0,0.00000000000000000000
BIHAR,Political Team India,1,0,0.00000000000000000000
BIHAR,Prabal Bharat Party,1,0,0.00000000000000000000
BIHAR,Country Citizen Party,1,0,0.00000000000000000000
BIHAR,Jan Sahmati Party,1,0,0.00000000000000000000
BIHAR,Yuva Samriddhi Dal,1,0,0.00000000000000000000
BIHAR,Rashtra Sewa Dal,1,0,0.00000000000000000000
BIHAR,Jan Mithila Vikas Party,1,0,0.00000000000000000000
BIHAR,Jai Hind Party,1,0,0.00000000000000000000
BIHAR,Jai Hind Force,1,0,0.00000000000000000000
BIHAR,Rashtriya Jantantrik Morcha,1,0,0.00000000000000000000
BIHAR,Rashtriya Jan Vikas Party,1,0,0.00000000000000000000
BIHAR,Rashtriya Janwadi Party (Socialist),1,0,0.00000000000000000000
BIHAR,Asankhya Samaj Party,1,0,0.00000000000000000000
BIHAR,Awami Samta Party,1,0,0.00000000000000000000
BIHAR,Rashtriya Lok Samta Party,1,0,0.00000000000000000000
BIHAR,Rashtriya Republican Party,1,0,0.00000000000000000000
BIHAR,Fauji Janta Party,1,0,0.00000000000000000000
BIHAR,Bharateeya Manavadhikar party,1,0,0.00000000000000000000
BIHAR,Bihar Justice Party,1,0,0.00000000000000000000
BIHAR,Rashtriya Samanta Dal,1,0,0.00000000000000000000
BIHAR,Bharatheeya Jawan Kisan Party,1,0,0.00000000000000000000
BIHAR,Rashtriya Secular Majlis Party,1,0,0.00000000000000000000
BIHAR,Rashtriya Suraksha Party,1,0,0.00000000000000000000
BIHAR,Ekta Dal United,1,0,0.00000000000000000000
BIHAR,Bhartiya Rashtriya Dal,1,0,0.00000000000000000000
BIHAR,Republican Party of India (Bhimrao Ambedkar),1,0,0.00000000000000000000
BIHAR,Aapki Apni Adhikar Party,1,0,0.00000000000000000000
BIHAR,Vishvas Yogya Party,1,0,0.00000000000000000000
BIHAR,Samaj Shakti Party,1,0,0.00000000000000000000
BIHAR,Bhartiya Insan Party,1,0,0.00000000000000000000
BIHAR,Bhartiya Dalit Party,1,0,0.00000000000000000000
BIHAR,Yuva Devlop Party,1,0,0.00000000000000000000
BIHAR,Bharat Ka Kisan Majdoor Party,1,0,0.00000000000000000000
BIHAR,Sarv Jan Party (Bharat),1,0,0.00000000000000000000
BIHAR,Sarvjan Sanatan Party,1,0,0.00000000000000000000
BIHAR,Sarvlokhit Samaj Party,1,0,0.00000000000000000000
BIHAR,Bhartiya Chetna Party,1,0,0.00000000000000000000
BIHAR,Adarsh Jankalyan Dal,1,0,0.00000000000000000000
BIHAR,Akhand Bharat Janpriya Party,1,0,0.00000000000000000000
BIHAR,Akhand Bharat Vikas Party,1,0,0.00000000000000000000
BIHAR,Sudharwadi Party,1,0,0.00000000000000000000
BIHAR,Hindustan Vikas Dal,1,0,0.00000000000000000000
BIHAR,Swadhinta Party,1,0,0.00000000000000000000
BIHAR,Garib Janshakti Party,1,0,0.00000000000000000000
BIHAR,Swatantra Samaj Party,1,0,0.00000000000000000000
BIHAR,Lok Samaj Party,1,0,0.00000000000000000000
BIHAR,Loktantrik Jan Swaraj Party,1,0,0.00000000000000000000
BIHAR,Mazdoor Ekta Party,1,0,0.00000000000000000000
BIHAR,Minorities Democratic Party,1,0,0.00000000000000000000
BIHAR,Mithilanchal Mukti Morcha,1,0,0.00000000000000000000
BIHAR,All India Majlis-E-Inquilab-E-Millat,1,0,0.00000000000000000000
BIHAR,Lokhit Adhikar Party,1,0,0.00000000000000000000
BIHAR,Moulik Adhikar Party,1,0,0.00000000000000000000
BIHAR,Kisan Samaj Party (S),1,0,0.00000000000000000000
BIHAR,National Peoples Party,1,0,0.00000000000000000000
BIHAR,Nayak Yuva Kranti Party,1,0,0.00000000000000000000
BIHAR,Gana Suraksha Party,1,0,0.00000000000000000000
BIHAR,Jantantrik Lokhit Party,1,0,0.00000000000000000000
