constituency_code,candidate,party,constituency,state,runner_votes
S04151,DOCTOR SANJEEV KUMAR,Rashtriya Janata Dal,PARBATTA,BIHAR,84638
S04142,SHIV PRAKASH GARIB DAS,Indian National Congress,BACHHWARA,BIHAR,84502
S0474,SARITA DEVI,Indian National Congress,SONBARSHA,BIHAR,84379
S0485,BHOLA YADAV,Rashtriya Janata Dal,BAHADURPUR,BIHAR,84289
S0423,AMIT KUMAR,Indian National Congress,RIGA,BIHAR,84268
S04116,SHAILENDRA PRATAP,Rashtriya Janata Dal,TARAIYA,BIHAR,84235
S0492,UMESH KUMAR RAM,Indian National Congress,SAKRA,BIHAR,83673
S0461,SANTOSH KUMAR,Rashtriya Janata Dal,DHAMDAHA,BIHAR,83591
S04162,SWEETY SIMA HEMBROM,Rashtriya Janata Dal,KATORIA,BIHAR,83274
S04140,MALA PUSHPAM,Rashtriya Janata Dal,HASANPUR,BIHAR,83047
S04105,AWADH BIHARI CHOUDHARY,Rashtriya Janata Dal,SIWAN,BIHAR,83009
S0470,NABIN KUMAR,Vikassheel Insaan Party,ALAMNAGAR,BIHAR,82936
S04185,RUPA KUMARI,Lok Janshakti Party (Ram Vilas),FATUHA,BIHAR,82566
S04136,ARBIND KUMAR SAHANI,Rashtriya Janata Dal,SARAIRANJAN,BIHAR,81994
S04133,AKHTARUL ISLAM SHAHIN,Rashtriya Janata Dal,SAMASTIPUR,BIHAR,81853
S04234,AWADHESH KUMAR SINGH,Indian National Congress,WAZIRGANJ,BIHAR,81841
S0486,FARAZ FATMI,Rashtriya Janata Dal,KEOTI,BIHAR,81818
S0441,BAIDYANATH MEHTA,Rashtriya Janata Dal,NIRMALI,BIHAR,81594
S04110,ARUN KUMAR GUPTA,Rashtriya Janata Dal,BARHARIA,BIHAR,81464
S04147,SURYAKANT PASWAN,Communist Party of India,BAKHRI,BIHAR,81193
S0464,SHAKEEL AHMAD KHAN,Indian National Congress,KADWA,BIHAR,80906
S04155,RAJNISH BHARTI,Rashtriya Janata Dal,KAHALGAON,BIHAR,80655
S0434,ARUN KUMAR SINGH,Rashtriya Janata Dal,BABUBARHI,BIHAR,80653
S04192,DIPU SINGH,Rashtriya Janata Dal,SANDESH,BIHAR,80571
S0418,SANDHYA RANI,Rashtriya Janata Dal,MADHUBAN,BIHAR,80510
S0426,SYED ABU DOJANA,Rashtriya Janata Dal,SURSAND,BIHAR,80490
S04223,ANAND SHANKAR SINGH,Indian National Congress,AURANGABAD,BIHAR,80406
S04221,AMOD KUMAR SINGH,Rashtriya Janata Dal,NABINAGAR,BIHAR,80268
S04115,CHANDNI DEVI,Rashtriya Janata Dal,BANIAPUR,BIHAR,80170
S04172,OMAIR KHAN,Indian National Congress,BIHARSHARIF,BIHAR,80136
S0465,MOHAMMAD ADIL HASAN,All India Majlis-E-Ittehadul Muslimeen,BALRAMPUR,BIHAR,80070
S04175,ATRI MUNI URF SHAKTI SINGH YADAV,Rashtriya Janata Dal,HILSA,BIHAR,79997
S046,AMIT KUMAR,Indian National Congress,NAUTAN,BIHAR,79880
S04104,RAJESH KUMAR SINGH,Rashtriya Janata Dal,HATHUA,BIHAR,79773
S04220,RISHI KUMAR,Rashtriya Janata Dal,OBRA,BIHAR,79625
S0439,SUBODH MANDAL,Indian National Congress,PHULPARAS,BIHAR,79578
S04131,RANJEET KUMAR RAM,Communist Party of India (Marxist-Leninist) (Liberation),KALYANPUR,BIHAR,79576
S04208,SATENDRA SAH,Rashtriya Janata Dal,SASARAM,BIHAR,79563
S042,SUBODH KUMAR,Rashtriya Janata Dal,RAMNAGAR,BIHAR,79534
S04118,SHATRUGHAN YADAV,Rashtriya Janata Dal,CHAPRA,BIHAR,79245
S0490,RAJEEV KUMAR URF MUNNA YADAV,Rashtriya Janata Dal,MINAPUR,BIHAR,79173
S04108,VIKASH KUMAR SINGH,Janata Dal (United),RAGHUNATHPUR,BIHAR,79030
S04227,RITU PRIYA CHAUDHARY,Rashtriya Janata Dal,IMAMGANJ,BIHAR,79005
S0449,SHAGUFTA AZIM,Janata Dal (United),ARARIA,BIHAR,78788
S0487,RISHI MISHRA,Indian National Congress,JALE,BIHAR,78634
S04119,SIMANT MRINAL,Lok Janshakti Party (Ram Vilas),GARKHA,BIHAR,78330
S0443,MINNATULLAH RAHMANI,Indian National Congress,SUPAUL,BIHAR,78282
S04163,CHANAKYA PRAKASH RANJAN,Rashtriya Janata Dal,BELHAR,BIHAR,78187
S04167,PREMSAGAR CHOUDHARY,Rashtriya Janata Dal,SURYAGARHA,BIHAR,78107
S0463,SAURAV KUMAR AGARWAL,Vikassheel Insaan Party,KATIHAR,BIHAR,78101
S04157,CHANDAN KUMAR ALIAS CHANDAN KUMAR SINHA,Rashtriya Janata Dal,SULTANGANJ,BIHAR,77576
S04137,EJYA YADAV,Rashtriya Janata Dal,MOHIUDDINNAGAR,BIHAR,77526
S04143,RAM RATAN SINGH,Communist Party of India,TEGHRA,BIHAR,77406
S0436,SAMIR KUMAR MAHASETH,Rashtriya Janata Dal,MADHUBANI,BIHAR,77404
S04201,DR. AJIT KUMAR SINGH,Communist Party of India (Marxist-Leninist) (Liberation),DUMRAON,BIHAR,77306
S0459,DEO NARAYAN RAJAK,Indian National Congress,BANMANKHI,BIHAR,77198
S04102,HARI NARAYAN SINGH,Indian National Congress,KUCHAIKOTE,BIHAR,76934
S0454,SWEETY SINGH,Bharatiya Janata Party,KISHANGANJ,BIHAR,76875
S04164,ARUN KUMAR,Rashtriya Janata Dal,TARAPUR,BIHAR,76637
S0453,GHULAM HASNAIN,All India Majlis-E-Ittehadul Muslimeen,THAKURGANJ,BIHAR,76421
S04233,BAIJAYANTI DEVI,Rashtriya Janata Dal,ATRI,BIHAR,76325
S04100,DILIP KUMAR SINGH,Rashtriya Janata Dal,BARAULI,BIHAR,76283
S04125,AJAY KUMAR KUSHWAHA,Rashtriya Janata Dal,VAISHALI,BIHAR,75787
S04225,VINAY KUMAR,Rashtriya Janata Dal,GURUA,BIHAR,75564
S04197,KISHORE KUNAL,Rashtriya Janata Dal,JAGDISHPUR,BIHAR,74781
S04179,KARNVEER SINGH YADAV,Rashtriya Janata Dal,BARH,BIHAR,74633
S04194,QUYAMUDDIN ANSARI,Communist Party of India (Marxist-Leninist) (Liberation),ARRAH,BIHAR,74620
S04132,PHOOLBABU SINGH,Communist Party of India (Marxist-Leninist) (Liberation),WARISNAGAR,BIHAR,74532
S04190,SUNIL KUMAR,Lok Janshakti Party (Ram Vilas),PALIGANJ,BIHAR,74450
S0458,MD. IRFAN ALAM,Indian National Congress,KASBA,BIHAR,74002
S0429,CHANDAN KUMAR,Rashtriya Janata Dal,RUNNISAIDPUR,BIHAR,73935
S04207,MANGAL RAM,Indian National Congress,CHENARI,BIHAR,73591
S043,DEEPAK YADAV,Rashtriya Janata Dal,NARKATIAGANJ,BIHAR,73586
S0416,MANOJ KUMAR YADAV,Rashtriya Janata Dal,KALYANPUR,BIHAR,73489
S04107,SATYADEO RAM,Communist Party of India (Marxist-Leninist) (Liberation),DARAULI,BIHAR,73442
S04198,RAHUL TIWARY,Rashtriya Janata Dal,SHAHPUR,BIHAR,73430
S0481,BINOD MISHRA,Rashtriya Janata Dal,ALINAGAR,BIHAR,73185
S04218,RANI KUMARI,Lok Janshakti Party (Ram Vilas),MAKHDUMPUR,BIHAR,72939
S0483,UMESH SAHANI,Vikassheel Insaan Party,DARBHANGA,BIHAR,72860
S04203,ASHOK KUMAR SINGH,Bharatiya Janata Party,RAMGARH,BIHAR,72659
S04176,KAUSHALENDRA KUMAR,Indian National Congress,NALANDA,BIHAR,72424
S04139,BRAJ KISHORE RAVI,Indian National Congress,ROSERA,BIHAR,72240
S0479,AFZAL ALI KHAN,Rashtriya Janata Dal,GAURA BAURAM,BIHAR,72013
S0424,NAVIN KUMAR,Indian National Congress,BATHNAHA,BIHAR,71929
S04161,SANJAY KUMAR,Communist Party of India,BANKA,BIHAR,71824
S04120,SUNIL KUMAR,Rashtriya Janata Dal,AMNOUR,BIHAR,71717
S04202,VISHWANATH RAM,Indian National Congress,RAJPUR,BIHAR,71565
S04213,MAHABALI SINGH,Janata Dal (United),KARAKAT,BIHAR,71321
S04150,MITHILESH KUMAR NISHAD,Indian National Congress,BELDAUR,BIHAR,71087
S04141,SUSHIL KUMAR,Rashtriya Janata Dal,CHERIA,BIHAR,70962
S04159,JITENDRA SINGH,Indian National Congress,AMARPUR,BIHAR,70723
S0480,MITHILESH KUMAR CHOUDHARY,Indian National Congress,BENIPUR,BIHAR,70604
S04149,CHANDAN KUMAR ALIAS DR. CHANDAN YADAV,Indian National Congress,KHAGARIA,BIHAR,70573
S045,RAN KAUSHAL PRATAP SINGH,Vikassheel Insaan Party,LAURIYA,BIHAR,69544
S048,WASHI AHMAD,Indian National Congress,BETTIAH,BIHAR,69534
S04241,MOHAMMAD SHAMSAD ALAM,Rashtriya Janata Dal,JAMUI,BIHAR,69370
S04195,SHIV PRAKASH RANJAN,Communist Party of India (Marxist-Leninist) (Liberation),AGIAON,BIHAR,69317
S0442,ANIL KUMAR,Communist Party of India (Marxist-Leninist) (Liberation),PIPRA,BIHAR,69265
S04211,ANITA DEVI,Rashtriya Janata Dal,NOKHA,BIHAR,69139
S04135,VIDYA SAGAR SINGH NISHAD,Janata Dal (United),MORWA,BIHAR,69099
S04215,KUMAR KRISHNA MOHAN URF SUDAY YADAV,Rashtriya Janata Dal,KURTHA,BIHAR,68985
S04138,RAVINA KUSHWAHA,Janata Dal (United),BIBHUTIPUR,BIHAR,68965
S04217,RAMBALI SINGH YADAV,Communist Party of India (Marxist-Leninist) (Liberation),GHOSI,BIHAR,68811
S04109,AMARNATH YADAV,Communist Party of India (Marxist-Leninist) (Liberation),DARAUNDA,BIHAR,68680
S04174,RAKESH KUMAR RAUSHAN,Rashtriya Janata Dal,ISLAMPUR,BIHAR,68248
S04212,GUDDU KUMAR CHANDRAWANSI,Rashtriya Janata Dal,DEHRI,BIHAR,68054
S04236,NITU KUMARI,Indian National Congress,HISUA,BIHAR,68036
S04101,OM PRAKASH GARG,Indian National Congress,GOPALGANJ,BIHAR,67920
S0496,RAKESH KUMAR,Vikassheel Insaan Party,BARURAJ,BIHAR,67827
S0494,BIJENDRA CHAUDHARY,Indian National Congress,MUZAFFARPUR,BIHAR,67820
S04240,UDAY NARAIN CHOUDHARY,Rashtriya Janata Dal,SIKANDRA,BIHAR,67696
S04210,SHASHI SHANKAR KUMAR ALIAS RAJESH YADAV,Rashtriya Janata Dal,DINARA,BIHAR,67504
S04243,SUMIT KUMAR SINGH,Janata Dal (United),CHAKAI,BIHAR,67385
S0497,MADAN CHAUDHARY,Rashtriya Lok Morcha,PAROO,BIHAR,66445
S0437,BISHNU DEO MOCHI,Rashtriya Janata Dal,RAJNAGAR,BIHAR,66177
S0422,NAVNEET KUMAR,Rashtriya Janata Dal,SHEOHAR,BIHAR,65871
S04214,MAHANAND SINGH,Communist Party of India (Marxist-Leninist) (Liberation),ARWAL,BIHAR,65761
S04112,VISHAL KUMAR JAISWAL,Rashtriya Janata Dal,MAHARAJGANJ,BIHAR,65714
S0457,VINOD KUMAR,Bharatiya Janata Party,BAISI,BIHAR,65515
S0425,RITU JAISWAL,Independent,PARIHAR,BIHAR,65455
S0484,SHYAM BHARTI,Communist Party of India (Marxist),HAYAGHAT,BIHAR,65383
S04193,ASHOK KUMAR SINGH,Rashtriya Janata Dal,BARHARA,BIHAR,65190
S04230,AKHAURY ONKAR NATH,Indian National Congress,GAYA TOWN,BIHAR,64455
S04226,PRAMOD KUMAR VERMA,Rashtriya Janata Dal,SHERGHATI,BIHAR,63746
S04106,AMARJEET KUSHWAHA,Communist Party of India (Marxist-Leninist) (Liberation),ZIRADEI,BIHAR,63601
S0414,SHASHI BHUSHAN RAI ALIAS GAPPU RAI,Indian National Congress,GOVINDGANJ,BIHAR,63351
S04121,CHHOTE LAL RAI,Janata Dal (United),PARSA,BIHAR,63321
S0432,NALINI RANJAN JHA ALIAS RUPAN JHA,Indian National Congress,BENIPATTI,BIHAR,63221
S04178,VEENA DEVI,Rashtriya Janata Dal,MOKAMA,BIHAR,63210
S04222,RAJESH KUMAR,Indian National Congress,KUTUMBA,BIHAR,63202
S04206,BRIJ KISHOR BIND,Rashtriya Janata Dal,CHAINPUR,BIHAR,62514
S0482,LALIT KUMAR YADAV,Rashtriya Janata Dal,DARBHANGA RURAL,BIHAR,62232
S0456,SABA ZAFAR,Janata Dal (United),AMOUR,BIHAR,61908
S0415,VARUN VIJAY,Vikassheel Insaan Party,KESARIA,BIHAR,61852
S04152,ARPANA KUMARI,Vikassheel Insaan Party,BIHPUR,BIHAR,61433
S04113,SRIKANT YADAV,Rashtriya Janata Dal,EKMA,BIHAR,61369
S04145,SURENDRA KUMAR ALIAS SURENDRA VIVEK,Lok Janshakti Party (Ram Vilas),SAHEBPUR KAMAL,BIHAR,61077
S04166,NARENDRA KUMAR,Indian Inclusive Party,JAMALPUR,BIHAR,60455
S04169,VIJAY KUMAR S/O GANGA KUMAR YADAV,Rashtriya Janata Dal,SHEIKHPURA,BIHAR,60375
S04237,KAUSHAL YADAV,Rashtriya Janata Dal,NAWADA,BIHAR,59829
S04129,RAVINDRA KUMAR SINGH,Rashtriya Janata Dal,MAHNAR,BIHAR,59492
S0430,SANJAY KUMAR GUPTA,Rashtriya Janata Dal,BELSAND,BIHAR,59391
S0455,MUJAHID ALAM,Rashtriya Janata Dal,KOCHADHAMAN,BIHAR,58839
S04114,DR. SATYENDRA YADAV,Communist Party of India (Marxist),MANJHI,BIHAR,58668
S04177,ARUN KUMAR,Indian National Congress,HARNAUT,BIHAR,58619
S0452,MOHAMMED MASAWAR ALAM,Indian National Congress,BAHADURGANJ,BIHAR,58589
S04117,NAVEEN KUMAR SINGH URAF ABHAY SINGH,Jan Suraaj Party,MARHAURA,BIHAR,58190
S04204,RAVI SHANKAR PASWAN,Independent,MOHANIA,BIHAR,57538
S04148,RAMBRIKSH SADA,Rashtriya Janata Dal,ALAULI,BIHAR,57476
S04209,UDAY PRATAP SINGH,Bahujan Samaj Party,KARGAHAR,BIHAR,56809
S04200,SANJAY KUMAR TIWARI URF MUNNA TIWARI,Indian National Congress,BUXAR,BIHAR,56548
S04205,BIRENDRA KUMAR SINGH,Rashtriya Janata Dal,BHABUA,BIHAR,55624
S0450,MANZAR ALAM,Janata Dal (United),JOKIHAT,BIHAR,54934
S0438,RAM NARAYAN YADAV,Communist Party of India,JHANJHARPUR,BIHAR,53109
S04183,INDRADEEP KUMAR CHANDRAVANSHI,Indian National Congress,KUMHRAR,BIHAR,52961
S04173,BISHWANATH CHAUDHARY,Communist Party of India (Marxist-Leninist) (Liberation),RAJGIR,BIHAR,52383
S04181,DIVYA GAUTAM,Communist Party of India (Marxist-Leninist) (Liberation),DIGHA,BIHAR,51922
S0460,BIMA BHARTI,Rashtriya Janata Dal,RUPAULI,BIHAR,51254
S0420,LAKSHMI NARAYAN PRASAD YADAV,Rashtriya Janata Dal,CHIRAIA,BIHAR,51212
S04153,PREM SAGAR ALIAS DABLU YADAV,Vikassheel Insaan Party,GOPALPUR,BIHAR,50495
S049,KHURSHID FIROZ AHMAD,Independent,SIKTA,BIHAR,50029
S04171,RAVI RANJAN KUMAR,Rashtriya Janata Dal,ASTHAWAN,BIHAR,49834
S04238,PURNIMA YADAV,Rashtriya Janata Dal,GOBINDPUR,BIHAR,49675
S0431,RAKESH KUMAR PANDEY,Communist Party of India,HARLAKHI,BIHAR,49250
S0478,GANESH BHARTI,Independent,KUSHESHWAR ASTHAN,BIHAR,49244
S04127,PRATIMA KUMARI,Indian National Congress,RAJA PAKAR,BIHAR,48069
S0489,BHOGENDRA SAHNI,Vikassheel Insaan Party,AURAI,BIHAR,46879
S04182,REKHA KUMARI,Rashtriya Janata Dal,BANKIPUR,BIHAR,46363
S04126,MUKESH KUMAR RAUSHAN,Rashtriya Janata Dal,MAHUA,BIHAR,42644
S0411,SHYAM KISHOR CHAUDHARY,Janshakti Janta Dal,SUGAULI,BIHAR,40684
S04170,TRISHULDHARI SINGH,Indian National Congress,BARBIGHA,BIHAR,36389
