constituency,constituency_code,runner_up_votes,winning_party,winning_votes,vote_difference
HAJO-SUALKUCHI,S0330,80975,Asom Gana Parishad,81699,724
BILASIPARA,S0310,83243,Asom Gana Parishad,85937,2694
BIHPURIA,S0373,64814,Bharatiya Janata Party,73050,8236
DULIAJAN,S0390,61008,Bharatiya Janata Party,71467,10459
MAHMORA,S0394,53509,Bharatiya Janata Party,69530,16021
BOKAJAN,S03108,52385,Bharatiya Janata Party,69851,17466
KAMALPUR,S0332,55006,Bharatiya Janata Party,74455,19449
RONGONADI,S0374,62841,Bharatiya Janata Party,82493,19652
RAHA,S0361,90766,Bharatiya Janata Party,111360,20594
LUMDING,S0364,93216,Bharatiya Janata Party,115330,22114
TEOK,S0399,67696,Asom Gana Parishad,90368,22672
JORHAT,S03100,46257,Bharatiya Janata Party,69439,23182
TITABOR,S03102,55428,Bharatiya Janata Party,78743,23315
BAOKHUNGRI,S034,38967,Bodoland Peoples Front,62677,23710
MANGALDAI,S0350,76142,Bharatiya Janata Party,100078,23936
SONARI,S0393,50699,Bharatiya Janata Party,74833,24134
BARCHALLA,S0366,59933,Bharatiya Janata Party,84495,24562
BONGAIGAON,S0318,47249,Asom Gana Parishad,72247,24998
SIPAJHAR,S0349,74475,Bharatiya Janata Party,99720,25245
BISWANATH,S0370,59092,Bharatiya Janata Party,84862,25770
TIHU,S0340,74359,Bharatiya Janata Party,100855,26496
MANDIA,S0322,85919,All India Trinamool Congress,113480,27561
MAKUM,S0385,46418,Bharatiya Janata Party,74694,28276
BARKHETRI,S0338,84157,Bharatiya Janata Party,113001,28844
GOLAKGANJ,S036,79751,Bharatiya Janata Party,110533,30782
LAKHIMPUR,S0376,53506,Bharatiya Janata Party,85726,32220
DHEMAJI,S0378,51420,Bharatiya Janata Party,83649,32229
DEMOW,S0395,56153,Bharatiya Janata Party,89681,33528
RANGIA,S0331,73900,Bharatiya Janata Party,107929,34029
MAJULI,S0398,43024,Bharatiya Janata Party,78324,35300
BORKHOLA,S03117,66162,Bharatiya Janata Party,102775,36613
DERGAON,S03104,53096,Bharatiya Janata Party,90049,36953
KATIGORAH,S03116,73078,Bharatiya Janata Party,110758,37680
GOALPARA WEST,S0313,52299,Bharatiya Janata Party,92216,39917
RANGAPARA,S0368,37707,Bharatiya Janata Party,81022,43315
GOLAGHAT,S03103,58453,Bharatiya Janata Party,102212,43759
DHOLAI,S03120,56172,Bharatiya Janata Party,100634,44462
NAZIRA,S0397,51497,Bharatiya Janata Party,98198,46701
PATHARKANDI,S03125,51337,Bharatiya Janata Party,98101,46764
DUDHNAI,S0315,52716,Bharatiya Janata Party,100353,47637
NEW GUWAHATI,S0335,41968,Bharatiya Janata Party,89636,47668
DHEKIAJULI,S0365,63711,Bharatiya Janata Party,111880,48169
TINSUKIA,S0386,36687,Bharatiya Janata Party,85184,48497
TINGKHONG,S0391,39886,Bharatiya Janata Party,88912,49026
DISPUR,S0333,53670,Bharatiya Janata Party,103337,49667
