constituency_code,constituency,state,total_votes
S0351,DALGAON,ASSAM,304249
S037,GAURIPUR,ASSAM,299353
S0311,MANKACHAR,ASSAM,298796
S0353,LAHARIGHAT,ASSAM,292863
S039,BIRSING JARUA,ASSAM,274263
S0322,MANDIA,ASSAM,263456
S0325,PAKABETBARI,ASSAM,262631
S0323,CHENGA,ASSAM,244817
S03124,KARIMGANJ SOUTH,ASSAM,237543
S0362,BINNAKANDI,ASSAM,236890
S0327,CHAMARIA,ASSAM,234572
S0312,JALESHWAR,ASSAM,234379
S03122,ALGAPUR-KATLICHERRA,ASSAM,227043
S03123,KARIMGANJ NORTH,ASSAM,225887
S0317,SRIJANGRAM,ASSAM,224808
S0363,HOJAI,ASSAM,224705
S0356,RUPAHIHAT,ASSAM,220747
S038,DHUBRI,ASSAM,220650
S0355,DHING,ASSAM,220106
S0352,JAGIROAD,ASSAM,219600
S0364,LUMDING,ASSAM,218200
S0314,GOALPARA EAST,ASSAM,217511
S0358,SAMAGURI,ASSAM,213275
S0361,RAHA,ASSAM,208408
S0338,BARKHETRI,ASSAM,201536
S0359,BARHAMPUR,ASSAM,196714
S0321,BHOWANIPUR-SORBHOG,ASSAM,194963
S036,GOLAKGANJ,ASSAM,194312
S03116,KATIGORAH,ASSAM,190257
S03126,RAM KRISHNA NAGAR,ASSAM,189546
S0319,SIDLI CHIRANG,ASSAM,189023
S03121,HAILAKANDI,ASSAM,188124
S0365,DHEKIAJULI,ASSAM,187633
S0329,PALASBARI,ASSAM,186581
S0331,RANGIA,ASSAM,185368
S0333,DISPUR,ASSAM,184890
S0350,MANGALDAI,ASSAM,182716
S0339,NALBARI,ASSAM,182540
S0380,JONAI,ASSAM,180153
S0334,DIMORIA,ASSAM,179348
S0340,TIHU,ASSAM,179252
S0343,TAMULPUR,ASSAM,178903
S0310,BILASIPARA,ASSAM,178686
S0349,SIPAJHAR,ASSAM,178622
S0354,MORIGAON,ASSAM,177283
S03117,BORKHOLA,ASSAM,177149
S0341,MANAS,ASSAM,176761
S0396,SIBSAGAR,ASSAM,175209
S03118,SILCHAR,ASSAM,172808
S0369,NADUAR,ASSAM,172146
S0337,JALUKBARI,ASSAM,170854
S0330,HAJO-SUALKUCHI,ASSAM,170786
S0344,GORESWAR,ASSAM,170498
S0360,NAGAON-BATADRABA,ASSAM,169066
S0328,BOKO-CHAYGAON,ASSAM,167980
S0316,ABHAYAPURI,ASSAM,167851
S03102,TITABOR,ASSAM,165739
S03103,GOLAGHAT,ASSAM,165185
S0320,BIJNI,ASSAM,165075
S035,PARBATJHORA,ASSAM,164277
S0332,KAMALPUR,ASSAM,164239
S0357,KALIABOR,ASSAM,164145
S0399,TEOK,ASSAM,161841
S0342,BAKSA,ASSAM,161321
S0370,BISWANATH,ASSAM,160934
S0374,RONGONADI,ASSAM,160849
S03119,SONAI,ASSAM,160491
S03120,DHOLAI,ASSAM,160413
S0381,SADIYA,ASSAM,159830
S0366,BARCHALLA,ASSAM,158972
S0347,MAZBAT,ASSAM,158399
S0315,DUDHNAI,ASSAM,157848
S0388,DIBRUGARH,ASSAM,157546
S0318,BONGAIGAON,ASSAM,156780
S0397,NAZIRA,ASSAM,156768
S03115,UDHARBOND,ASSAM,156372
S03109,HOWRAGHAT,ASSAM,155690
S0348,TANGLA,ASSAM,153803
S03114,LAKHIPUR,ASSAM,153764
S0375,NOWBOICHA,ASSAM,153502
S03125,PATHARKANDI,ASSAM,152455
S03107,SARUPATHAR,ASSAM,150840
S0395,DEMOW,ASSAM,150126
S0324,BARPETA,ASSAM,149635
S034,BAOKHUNGRI,ASSAM,149422
S03104,DERGAON,ASSAM,148630
S0367,TEZPUR,ASSAM,148217
S0313,GOALPARA WEST,ASSAM,147530
S0336,GUWAHATI CENTRAL,ASSAM,147088
S0372,GOHPUR,ASSAM,146954
S0387,CHABUA-LAHOWAL,ASSAM,146834
S03106,KHUMTAI,ASSAM,145976
S0379,SISSIBARGAON,ASSAM,145491
S0391,TINGKHONG,ASSAM,145298
S03110,DIPHU,ASSAM,144357
S0368,RANGAPARA,ASSAM,143822
S0393,SONARI,ASSAM,143747
S0390,DULIAJAN,ASSAM,143474
S0326,BAJALI,ASSAM,142997
S0378,DHEMAJI,ASSAM,142976
S0376,LAKHIMPUR,ASSAM,142885
S0346,UDALGURI,ASSAM,140646
S0373,BIHPURIA,ASSAM,140453
S0383,MARGHERITA,ASSAM,139899
S0335,NEW GUWAHATI,ASSAM,139764
S0377,DHAKUAKHANA,ASSAM,136464
S03101,MARIANI,ASSAM,136231
S0386,TINSUKIA,ASSAM,135818
S03105,BOKAKHAT,ASSAM,135748
S0345,BHERGAON,ASSAM,133609
S03113,HAFLONG,ASSAM,132503
S0371,BEHALI,ASSAM,132435
S0389,KHOWANG,ASSAM,132217
S0385,MAKUM,ASSAM,129621
S03108,BOKAJAN,ASSAM,128219
S0394,MAHMORA,ASSAM,125954
S0392,NAHARKATIA,ASSAM,124613
S0398,MAJULI,ASSAM,123325
S033,KOKRAJHAR,ASSAM,122963
S0382,DOOMDOOMA,ASSAM,121500
S03100,JORHAT,ASSAM,118297
S0384,DIGBOI,ASSAM,116749
S03111,RONGKHANG,ASSAM,109939
S031,GOSSAIGAON,ASSAM,100093
S032,DOTMA,ASSAM,94274
S03112,AMRI,ASSAM,79437
