candidate,constituency_count
DR. TARA PRASAD DAS,1
DULAL CHANDRA BORUAH,1
DULAL MORAN,1
DURGA BHUMIJ,1
DURLAV CHAMUA,1
EKBAL HUSSAIN,1
ELVIN BARUAH,1
FAJLUL KARIM CHOWDHURY,1
FAKRUL ISLAM,1
FARHAD ALI,1
FARUK KHAN,1
FARUQUE ABDULLAH AHMED,1
FIRUZUL ISLAM,1
FORIJ UDDIN,1
FORIZ ZAMAN MAZUMDER,1
FOYAZ AHMED,1
FUNGKHA BRAHMA,1
GAGAN CHANDRA HALOI,1
GANSENG B. SANGMA,1
GARNEL MINZE,1
GAURAV GOGOI,1
GAUTAM DAS,1
GAUTAM KANTI DAS,1
GAUTAM NATH,1
GHANA BURAGOHAIN,1
GIRINDRA KUMAR BHUYAN,1
GIRISH BARUAH,1
GOBINDA JOISHY,1
GOUR CHANDRA DAS,1
GUFRANUR ROHMAN,1
GYANASHREE BORA,1
GYANENDRA SARKAR,1
HABBEY TERON,1
HABIBUR RAHMAN,1
HAFIZ BASHIR AHMED,1
HAKIMUL ISLAM,1
HALIMA KHATUN,1
HANIF ALI SK.,1
HAREKRISHNA DEKA,1
HAREN CHANGMAI,1
HARESHA KHANAM,1
HARESWAR SWARGIARY,1
HARI PRASAD SAIKIA,1
HARJYOTI BUDDHA,1
HASSAN AHMED BARBHUIYA,1
HAYDAR HUSSAIN LASKAR,1
HELEN MURMU,1
HEMANTA BIJOY MAHANTA,1
HEMANTA DOLOI,1
HEMANTA KUMAR PEGU,1
HEMEN GOGOI,1
HEMKANTA MIRI,1
HIFZUR RAHMAN LASKAR,1
HILLOL BHATTACHARJEE,1
HIMANGSHU SHEKHAR BAISHYA,1
HIMANTA BISWA SARMA,1
HIRAK JYOTI BORA,1
HITENDRA NATH GOSWAMI,1
HITESH BASUMATARY,1
IBAJUL HOQUE LASKAR,1
IKBAL BAHAR MOZUMDER,1
IMDAD HUSSAIN,1
IMDADUR RAHMAN,1
INDIRA MEDHI,1
INUS KUMAR KANDAPAN,1
ISRAIL NANDA,1
JABBAR ALI,1
JAGADISH BHUYAN,1
JAGADISH MADAHI,1
JAHIDUL ISLAM,1
JAHURUL ISLAM BARBHUIYA,1
JAINUL HOQUE MAZUMDER,1
JAKARIA AHMED,1
JAKIR HUSSAIN FARAJI,1
JAKIR HUSSAIN SIKDAR,1
JAMIL AHMED CHOUDHURY,1
JAMIL HUSSAIN,1
JAMSHER TALUKDAR,1
JAMUNA RABHA,1
JASHADA DULAL RAKSHIT,1
JASUA BARJO,1
JATIN MALI,1
JAYANTA BORAH,1
JAYANTA KHAUND,1
JAYANTA KUMAR DAS,1
JAYANTA KUMAR RABHA,1
JAYANTA MAHANTA,1
JAYANTA MALLABARUAH,1
JHILLI CHOWDHURY,1
JHONY KIRON NAYAK,1
JIBAN CHUTIA,1
JIBAN GOGOI,1
JIBESH ROY,1
JIBON ROY,1
J. I  KATHAR,1
JINNA AMIR HUSSAIN,1
JITENDRA CHALIHA,1
JITEN GOGOI,1
JITEN GOUR,1
JITEN NAG,1
JITU GOSWAMI,1
JNYANDIP MOHAN,1
JOHIRUL ISLAM,1
JOSEPH HASDA,1
JOYRAM CHARAIMURIA,1
JUTIKA DOLEY,1
JWNGSRANG BRAHMA,1
JYOTISKA RANJAN GOSWAMI,1
KABERI DAS TERAN,1
KABIN BARO,1
KALYANI KALITA,1
KAMALAKHYA DEY PURKAYASTHA,1
KAMAL BARLA,1
KAMAL HAZARIKA,1
KAMAL SING NARZARY,1
KANAK GOGOI,1
KANDARPA RAY,1
KARIM UDDIN BARBHUIYA,1
KARTIK CHANDRA KURMI,1
KARTIK CHANDRA RAY,1
KARTIK SENA SINHA,1
KAUSHIK DAS,1
KAUSHIK RAI,1
KAUSHIK RANJAN DAS,1
KENEDI PEGU,1
KESHAB MAHANTA,1
KHALILUR RAHMAN,1
KHANDAKAR ABDUL KADDUS,1
KISHORE KUMAR BRAHMA,1
KISHOR NATH,1
KRISHNA KAMAL TANTI,1
KRISHNA SAHA,1
KRISHNENDU PAUL,1
KUNKI CHOWDHURY,1
KUSHAL DOWARI,1
KUSHAL KUMAR SARMAH,1
LABANYA BORO,1
LADILAS INDWAR,1
LAKHAY JOTI RAJKHOWA,1
LAKHESWAR MORAN,1
LAKSHAN GOYARI,1
LALAN SAHANI,1
LALIT DEORI,1
LANKESWAR DAS,1
LAWRENCE ISLARY,1
LOBO NARZARY,1
LUNSING TERON,1
LURINJYOTI GOGOI,1
MADHABI DAS,1
MAHABIR BASKE,1
MAHESWAR BARO,1
MAHESWAR RABHA,1
MAINAK PATRA,1
MAINUL ISLAM,1
MANAB DEKA,1
MANARANJAN BARMAN,1
MANESWAR BRAHMA,1
MANIK CHANDRA BRAHMA,1
MANOJ BASUMATARY,1
MANOJ BORAH,1
MANORANJAN BASUMATARI,1
MANORANJAN TALUKDAR,1
MARKLINE MARAK,1
MATHEW TOPNO,1
MATILAL NARZARY,1
MATIUR RAHMAN,1
MAYUKH BHATTACHARJEE,1
MAYUR BORGOHAIN,1
MD ABED ALI MONDAL,1
MD ASHRAFUL ISLAM SHEIKH,1
MD AYNUL HOQUE,1
MD. BILAL AHMED,1
MD. FAZAL AHMED,1
MD. FAZLUR RAHMAN LASKAR,1
MD. JAMIRUDDIN AHMED,1
MD KHALILUR RAHMAN,1
MD. MURAD HUSSAIN,1
