constituency_code,constituency,party,candidate,third_place_vote_pct,party_avg_vote_pct,overperformance_pct,total_candidates,margin_votes
S0389,KHOWANG,Independent,BIJU DOWARAH,3.30,2.09,1.21,5,9984
S0373,BIHPURIA,None of the Above,NOTA,0.86,1.31,-0.45,5,8236
S0330,HAJO-SUALKUCHI,All India Trinamool Congress,ROJY AHMED,1.62,3.87,-2.25,6,724
S035,PARBATJHORA,United Peoples Party Liberal,AYUB HUSSAIN MONDAL,5.43,18.32,-12.89,9,9022
S0310,BILASIPARA,All India United Democratic Front,SABANA AKTAR,2.43,15.82,-13.39,7,2694
