party,party_votes,vote_share
Bharatiya Janata Party,8192787,37.81469330807918795600
Indian National Congress,6464216,29.83628715322129283400
Asom Gana Parishad,1402832,6.47492261702389472600
All India United Democratic Front,1182913,5.45986271889405601100
Independent,947804,4.37469173507997787100
Bodoland Peoples Front,807546,3.72731578669946086900
Raijor Dal,581574,2.68431761328017506800
Assam Jatiya Parishad,545601,2.51828034630722280800
United Peoples Party Liberal,496304,2.29074471819820694700
None of the Above,267191,1.23324892001695959000
Jharkhand Mukti Morcha,251350,1.16013307351768133300
All India Trinamool Congress,193365,0.89249704301072787300
Communist Party of India (Marxist),102190,0.47166898262491289200
National Peoples Party,35460,0.16366946006340553000
Socialist Unity Centre Of India (COMMUNIST),31951,0.14747329155346503400
Aam Aadmi Party,29473,0.13603581490267205900
Communist Party of India (Marxist-Leninist) (Liberation),29162,0.13460036081130942100
Voters Party International,27975,0.12912163410247517500
Gana Suraksha Party,20187,0.09317527891426868100
Vikas India Party,14276,0.06589241996235694700
Gondvana Gantantra Party,10362,0.04782693020803745400
Communist Party of India,7618,0.03516170182636839600
Rashtriya Ulama Council,6308,0.02911525533220423300
Republican Party of India (Athawale),5803,0.02678437328674400100
Bharatiya Gana Parishad,3611,0.01666696052704335500
Revolutionary Communist Party of India (Rasik Bhatt),3088,0.01425299753738850200
The National Road Map Party of India,2219,0.01024203417599258000
Republican Party of India (A),1191,0.005497189140877495393900
Apni Janta Party,635,0.002930911086865835075600
All India Forward Bloc,626,0.002889370614768524027300
