candidate,party,constituency,vote_share
JAKIR HUSSAIN SIKDAR,Indian National Congress,PAKABETBARI,60.06450114419089901800
MRIDUL KUMAR DUTTA,Bharatiya Janata Party,DERGAON,60.58601897328937630400
BOLIN CHETIA,Bharatiya Janata Party,SADIYA,60.74391541012325595900
BINOD HAZARIKA,Bharatiya Janata Party,CHABUA-LAHOWAL,60.75023495920563357300
SEWLI MOHILARY,Bodoland Peoples Front,KOKRAJHAR,60.84431902279547506200
ABDUS SOBAHAN ALI SARKAR,Indian National Congress,GAURIPUR,61.12215344426145720900
BIMAL BORAH,Bharatiya Janata Party,TINGKHONG,61.19285881429888917900
NURUL HUDA,Indian National Congress,RUPAHIHAT,61.46493497080368023100
BHASKAR SHARMA,Bharatiya Janata Party,MARGHERITA,61.72238543520682778300
AJANTA NEOG,Bharatiya Janata Party,GOLAGHAT,61.87728910009988800400
MRINAL SAIKIA,Bharatiya Janata Party,KHUMTAI,62.42601523538115854700
PABITRA RABHA,Bharatiya Janata Party,GOALPARA WEST,62.50660882532366298400
MAYUR BORGOHAIN,Bharatiya Janata Party,NAZIRA,62.63905899163094509100
PULOK GOHAIN,Bharatiya Janata Party,TINSUKIA,62.71922720110736426700
AMIYA KANTI DAS,Bharatiya Janata Party,DHOLAI,62.73431704412983985100
DIPAK KUMAR DAS,Asom Gana Parishad,BARPETA,62.87700070170748822100
NISO TERANGPI,Bharatiya Janata Party,DIPHU,62.94533690780495576900
HABBEY TERON,Bharatiya Janata Party,AMRI,63.28662965620554653400
BHUBAN GAM,Bharatiya Janata Party,MAJULI,63.51023717818771538600
MILON DAS,Bharatiya Janata Party,HAILAKANDI,63.57030469264952903400
TANKESWAR RABHA,Bharatiya Janata Party,DUDHNAI,63.57571841265014444300
RAJU MESH,Bharatiya Janata Party,BOKO-CHAYGAON,63.76532920585784021900
REKIBUDDIN AHMED,Indian National Congress,CHAMARIA,63.82688470917245025000
BISWAJIT PHUKAN,Bharatiya Janata Party,SARUPATHAR,63.86966321930522407800
DR. RAJDEEP ROY,Bharatiya Janata Party,SILCHAR,64.09309754178047312600
DIPLU RANJAN SARMAH,Bharatiya Janata Party,NEW GUWAHATI,64.13382559171174265200
ZUBAIR ANAM MAZUMDER,Indian National Congress,ALGAPUR-KATLICHERRA,64.15568857000656263400
SHILADITYA DEV,Bharatiya Janata Party,HOJAI,64.24467635344117843400
KRISHNENDU PAUL,Bharatiya Janata Party,PATHARKANDI,64.34751238070250237800
PADMA HAZARIKA,Bharatiya Janata Party,NADUAR,64.55276335203838602100
DR. TAPAN DAS,Asom Gana Parishad,DIMORIA,64.71106452260409929300
JAYANTA MALLABARUAH,Bharatiya Janata Party,NALBARI,64.97808699463131368500
UTPAL BORAH,Bharatiya Janata Party,GOHPUR,65.72260707432257713300
MUNINDRA DAS (BAPTI),Bharatiya Janata Party,BEHALI,65.86174349680975572900
RAJDEEP GOALA,Bharatiya Janata Party,UDHARBOND,66.08024454505921776300
BHUPEN ROY,Bharatiya Janata Party,ABHAYAPURI,66.22182769241767996600
RAMA KANTA DEWRI,Bharatiya Janata Party,MORIGAON,66.52752943034583124200
RUPAK SARMAH,Bharatiya Janata Party,NAGAON-BATADRABA,67.40444560112618740600
SHRI NABA KUMAR DOLEY,Bharatiya Janata Party,DHAKUAKHANA,67.50718138117012545400
PRASANTA PHUKAN,Bharatiya Janata Party,DIBRUGARH,67.79162911149759435300
TANZIL HUSSAIN,Indian National Congress,SAMAGURI,68.08674246864376978100
LUNSING TERON,Bharatiya Janata Party,HOWRAGHAT,68.23110026334382426600
VIJAY KUMAR GUPTA,Bharatiya Janata Party,GUWAHATI CENTRAL,68.86829652996845425900
AFTAB UDDIN MOLLAH,Indian National Congress,JALESHWAR,69.19305910512460587300
TARANGA GOGOI,Bharatiya Janata Party,NAHARKATIA,70.43245889273189795600
PIJUSH HAZARIKA,Bharatiya Janata Party,JAGIROAD,70.64162112932604735900
BIJOY MALAKAR,Bharatiya Janata Party,RAM KRISHNA NAGAR,70.70209869899654965000
RUPESH GOWALA,Bharatiya Janata Party,DOOMDOOMA,70.78930041152263374500
BHUBON PEGU,Bharatiya Janata Party,JONAI,71.57249671112887379100
HIMANTA BISWA SARMA,Bharatiya Janata Party,JALUKBARI,74.42085055076263944700
TULIRAM RONGHANG,Bharatiya Janata Party,RONGKHANG,75.72199128607682442100
KAUSHIK RAI,Bharatiya Janata Party,LAKHIPUR,81.48981556150984625800
