constituency_code,state,constituency,winner,winner_party,winner_votes,runner_up,runner_up_party,runner_up_votes,vote_difference
S0330,ASSAM,HAJO-SUALKUCHI,PRAKASH CHANDRA DAS,Asom Gana Parishad,81699,NANDITA DAS,Indian National Congress,80975,724
S0310,ASSAM,BILASIPARA,JIBESH ROY,Asom Gana Parishad,85937,AMRIT BADSHA,Indian National Congress,83243,2694
S0373,ASSAM,BIHPURIA,BHUPEN KUMAR BORAH,Bharatiya Janata Party,73050,NARAYAN BHUYAN,Indian National Congress,64814,8236
S035,ASSAM,PARBATJHORA,MD ASHRAFUL ISLAM SHEIKH,Indian National Congress,77128,REZAUL KARIM,Bodoland Peoples Front,68106,9022
S0389,ASSAM,KHOWANG,CHAKRADHAR GOGOI,Bharatiya Janata Party,67038,LURINJYOTI GOGOI,Assam Jatiya Parishad,57054,9984
S0390,ASSAM,DULIAJAN,RAMESWAR TELI,Bharatiya Janata Party,71467,DHRUBA GOGOI,Indian National Congress,61008,10459
S0394,ASSAM,MAHMORA,SURUJ DEHINGIA,Bharatiya Janata Party,69530,JNYANDIP MOHAN,Indian National Congress,53509,16021
S0396,ASSAM,SIBSAGAR,AKHIL GOGOI,Raijor Dal,86521,KUSHAL DOWARI,Bharatiya Janata Party,69249,17272
S03108,ASSAM,BOKAJAN,SURJYA RONGPHAR,Bharatiya Janata Party,69851,RATON ENGTI,Indian National Congress,52385,17466
S0357,ASSAM,KALIABOR,KESHAB MAHANTA,Asom Gana Parishad,74029,JITEN GOUR,Independent,56139,17890
S0317,ASSAM,SRIJANGRAM,MD. NURUL ISLAM,Indian National Congress,106716,REJAUL KARIM SARKAR,All India United Democratic Front,88411,18305
S0332,ASSAM,KAMALPUR,DIGANTA KALITA,Bharatiya Janata Party,74455,SATYABRAT KALITA,Indian National Congress,55006,19449
S0374,ASSAM,RONGONADI,RISHIRAJ HAZARIKA,Bharatiya Janata Party,82493,JAYANTA KHAUND,Indian National Congress,62841,19652
S0367,ASSAM,TEZPUR,PRITHIRAJ RAVA,Asom Gana Parishad,79140,ALOK NATH,Raijor Dal,59190,19950
S0361,ASSAM,RAHA,SASHI KANTA DAS,Bharatiya Janata Party,111360,UTPAL BANIA,Indian National Congress,90766,20594
S0364,ASSAM,LUMDING,SIBU MISRA,Bharatiya Janata Party,115330,SWAPAN KAR,Indian National Congress,93216,22114
S0399,ASSAM,TEOK,BIKASH SAIKIA,Asom Gana Parishad,90368,PALLABI SAIKIA GOGOI,Indian National Congress,67696,22672
S031,ASSAM,GOSSAIGAON,SABHARAM BASUMATARY,Bodoland Peoples Front,44394,PHEDRICSON HANSDAK,Jharkhand Mukti Morcha,21417,22977
S03100,ASSAM,JORHAT,HITENDRA NATH GOSWAMI,Bharatiya Janata Party,69439,GAURAV GOGOI,Indian National Congress,46257,23182
S03102,ASSAM,TITABOR,DHIRAJ GOWALA,Bharatiya Janata Party,78743,PRAN  KURMI,Indian National Congress,55428,23315
S034,ASSAM,BAOKHUNGRI,RUPAM CHANDRA ROY,Bodoland Peoples Front,62677,SAPALI MARAK,Indian National Congress,38967,23710
S0375,ASSAM,NOWBOICHA,DR. JOY PRAKASH DAS,Indian National Congress,86981,BASANTA DAS,Asom Gana Parishad,63230,23751
S03112,ASSAM,AMRI,HABBEY TERON,Bharatiya Janata Party,50273,BIKRAM HANSE,Independent,26363,23910
S0350,ASSAM,MANGALDAI,NILIMA DEVI,Bharatiya Janata Party,100078,RIJUMONI TALUKDAR,Indian National Congress,76142,23936
S0393,ASSAM,SONARI,DHORMESWAR KONWAR,Bharatiya Janata Party,74833,UTPAL GOGOI,Indian National Congress,50699,24134
S032,ASSAM,DOTMA,RABIRAM NARZARY,Bodoland Peoples Front,48775,RAJU KUMAR NARZARY,United Peoples Party Liberal,24492,24283
S0326,ASSAM,BAJALI,DHARMESWAR ROY,Asom Gana Parishad,80130,DILIP BARUAH,Assam Jatiya Parishad,55684,24446
S0366,ASSAM,BARCHALLA,RITU BARAN SARMAH,Bharatiya Janata Party,84495,RIPUN BORA,Indian National Congress,59933,24562
S0318,ASSAM,BONGAIGAON,DIPTIMAYEE CHOUDHURY,Asom Gana Parishad,72247,GIRISH BARUAH,Indian National Congress,47249,24998
S0349,ASSAM,SIPAJHAR,PARAMANANDA RAJBONGSHI,Bharatiya Janata Party,99720,BINANDA KUMAR SAIKIA,Indian National Congress,74475,25245
S0370,ASSAM,BISWANATH,PALLAB LOCHAN DAS,Bharatiya Janata Party,84862,JAYANTA BORAH,Indian National Congress,59092,25770
S03123,ASSAM,KARIMGANJ NORTH,JAKARIA AHMED,Indian National Congress,122356,SUBRATA BHATTACHARJEE,Bharatiya Janata Party,96353,26003
S0340,ASSAM,TIHU,CHANDRAMOHAN PATOWARY,Bharatiya Janata Party,100855,RATUL PATOWARY,Indian National Congress,74359,26496
S0343,ASSAM,TAMULPUR,BISWAJIT DAIMARY,Bharatiya Janata Party,89308,PRAMOD BORO,United Peoples Party Liberal,62565,26743
S03101,ASSAM,MARIANI,RUPJYOTI KURMI,Bharatiya Janata Party,79632,GYANASHREE BORA,Raijor Dal,52792,26840
S03119,ASSAM,SONAI,AMINUL HAQUE LASKAR,Indian National Congress,89957,KARIM UDDIN BARBHUIYA,Asom Gana Parishad,62787,27170
S0346,ASSAM,UDALGURI,RIHON DAIMARI,Bodoland Peoples Front,76800,DIPEN BORO,United Peoples Party Liberal,49246,27554
S0322,ASSAM,MANDIA,SHERMAN ALI AHMED,All India Trinamool Congress,113480,ABDUL KHALEQUE,Indian National Congress,85919,27561
S0385,ASSAM,MAKUM,SANJOY KISHAN,Bharatiya Janata Party,74694,SIBANATH CHETIA,Indian National Congress,46418,28276
S0338,ASSAM,BARKHETRI,NARAYAN DEKA,Bharatiya Janata Party,113001,DIGANTA BARMAN,Indian National Congress,84157,28844
S0351,ASSAM,DALGAON,MAZIBUR RAHMAN,All India United Democratic Front,147555,MD AYNUL HOQUE,Independent,118675,28880
S036,ASSAM,GOLAKGANJ,ASHWINI RAY SARKAR,Bharatiya Janata Party,110533,KARTIK CHANDRA RAY,Indian National Congress,79751,30782
S0376,ASSAM,LAKHIMPUR,MANAB DEKA,Bharatiya Janata Party,85726,GHANA BURAGOHAIN,Indian National Congress,53506,32220
S0378,ASSAM,DHEMAJI,DR. RANOJ PEGU,Bharatiya Janata Party,83649,SRI SAILEN SONOWAL,Indian National Congress,51420,32229
S0395,ASSAM,DEMOW,SUSANTA BORGOHAIN,Bharatiya Janata Party,89681,AJOY KUMAR GOGOI,Indian National Congress,56153,33528
S0320,ASSAM,BIJNI,ARUP KUMAR DEY,Bharatiya Janata Party,71708,KAMAL SING NARZARY,United Peoples Party Liberal,37781,33927
S0331,ASSAM,RANGIA,BHABESH KALITA,Bharatiya Janata Party,107929,PRANJIT CHOUDHURY,Indian National Congress,73900,34029
S0398,ASSAM,MAJULI,BHUBAN GAM,Bharatiya Janata Party,78324,DR. INDRANEEL PEGU,Indian National Congress,43024,35300
S0362,ASSAM,BINNAKANDI,MOHAMMED BADRUDDIN AJMAL,All India United Democratic Front,119721,REJAUL KARIM CHOWDHURY,Assam Jatiya Parishad,84341,35380
S039,ASSAM,BIRSING JARUA,WAZED ALI CHOUDHURY,Indian National Congress,113901,ALI AKBAR MIAH,All India United Democratic Front,78016,35885
S03117,ASSAM,BORKHOLA,KISHOR NATH,Bharatiya Janata Party,102775,AMIT KUMAR KALWAR,Indian National Congress,66162,36613
S03104,ASSAM,DERGAON,MRIDUL KUMAR DUTTA,Bharatiya Janata Party,90049,SAGORIKA BORA,Indian National Congress,53096,36953
S03116,ASSAM,KATIGORAH,KAMALAKHYA DEY PURKAYASTHA,Bharatiya Janata Party,110758,AMAR CHAND JAIN,Indian National Congress,73078,37680
S0345,ASSAM,BHERGAON,MAHESWAR BARO,Bodoland Peoples Front,67105,NERSWN BORO,United Peoples Party Liberal,29308,37797
S0319,ASSAM,SIDLI CHIRANG,PANIRAM BRAHMA,Bodoland Peoples Front,101275,RANJIT BASUMATARY,United Peoples Party Liberal,62674,38601
S0321,ASSAM,BHOWANIPUR-SORBHOG,RANJEET KUMAR DASS,Bharatiya Janata Party,113069,MANORANJAN TALUKDAR,Communist Party of India (Marxist),73917,39152
S033,ASSAM,KOKRAJHAR,SEWLI MOHILARY,Bodoland Peoples Front,74816,LAWRENCE ISLARY,United Peoples Party Liberal,35183,39633
S0313,ASSAM,GOALPARA WEST,PABITRA RABHA,Bharatiya Janata Party,92216,MARKLINE MARAK,Indian National Congress,52299,39917
S0379,ASSAM,SISSIBARGAON,JIBAN GOGOI,Bharatiya Janata Party,75758,DULAL CHANDRA BORUAH,Raijor Dal,35165,40593
S0384,ASSAM,DIGBOI,SUREN PHUKAN,Bharatiya Janata Party,65690,DULAL MORAN,Raijor Dal,24617,41073
S0381,ASSAM,SADIYA,BOLIN CHETIA,Bharatiya Janata Party,97087,JAGADISH BHUYAN,Assam Jatiya Parishad,55338,41749
S0368,ASSAM,RANGAPARA,KRISHNA KAMAL TANTI,Bharatiya Janata Party,81022,KARTIK CHANDRA KURMI,Indian National Congress,37707,43315
S03103,ASSAM,GOLAGHAT,AJANTA NEOG,Bharatiya Janata Party,102212,Bitupan Saikia,Indian National Congress,58453,43759
