constituency,candidate,party,runner_up_vote_pct,party_avg_vote_pct,overperformance_pct,total_constested_at
DALGAON,MD AYNUL HOQUE,Independent,39.01,2.09,36.92,258
KALIABOR,JITEN GOUR,Independent,34.20,2.09,32.11,258
AMRI,BIKRAM HANSE,Independent,33.19,2.09,31.10,258
BARPETA,GAGAN CHANDRA HALOI,Independent,31.20,2.09,29.11,258
DIPHU,J. I  KATHAR,Independent,28.49,2.09,26.40,258
SRIJANGRAM,REJAUL KARIM SARKAR,All India United Democratic Front,39.33,15.82,23.51,30
PAKABETBARI,MINAKSHI RAHMAN,All India United Democratic Front,35.21,15.82,19.39,30
LAHARIGHAT,SIDDIQUE AHMED,All India United Democratic Front,35.14,15.82,19.32,30
UDALGURI,DIPEN BORO,United Peoples Party Liberal,35.01,18.32,16.69,18
TAMULPUR,PRAMOD BORO,United Peoples Party Liberal,34.97,18.32,16.65,18
SIDLI CHIRANG,RANJIT BASUMATARY,United Peoples Party Liberal,33.16,18.32,14.84,18
CHAMARIA,IMDAD HUSSAIN,All India United Democratic Front,30.28,15.82,14.46,30
RUPAHIHAT,AMINUL ISLAM,All India United Democratic Front,29.86,15.82,14.04,30
TEZPUR,ALOK NATH,Raijor Dal,39.93,26.15,13.78,13
BIRSING JARUA,ALI AKBAR MIAH,All India United Democratic Front,28.45,15.82,12.63,30
