candidate,party,constituency,runner_up_vote_percentage
NANDITA DAS,Indian National Congress,HAJO-SUALKUCHI,47.410
AMRIT BADSHA,Indian National Congress,BILASIPARA,46.590
NARAYAN BHUYAN,Indian National Congress,BIHPURIA,46.150
UTPAL BANIA,Indian National Congress,RAHA,43.550
LURINJYOTI GOGOI,Assam Jatiya Parishad,KHOWANG,43.150
SWAPAN KAR,Indian National Congress,LUMDING,42.720
SUBRATA BHATTACHARJEE,Bharatiya Janata Party,KARIMGANJ NORTH,42.660
DHRUBA GOGOI,Indian National Congress,DULIAJAN,42.520
JNYANDIP MOHAN,Indian National Congress,MAHMORA,42.480
PALLABI SAIKIA GOGOI,Indian National Congress,TEOK,41.830
DIGANTA BARMAN,Indian National Congress,BARKHETRI,41.760
BINANDA KUMAR SAIKIA,Indian National Congress,SIPAJHAR,41.690
RIJUMONI TALUKDAR,Indian National Congress,MANGALDAI,41.670
RATUL PATOWARY,Indian National Congress,TIHU,41.480
REZAUL KARIM,Bodoland Peoples Front,PARBATJHORA,41.460
BASANTA DAS,Asom Gana Parishad,NOWBOICHA,41.190
KARTIK CHANDRA RAY,Indian National Congress,GOLAKGANJ,41.040
RATON ENGTI,Indian National Congress,BOKAJAN,40.860
ALOK NATH,Raijor Dal,TEZPUR,39.930
PRANJIT CHOUDHURY,Indian National Congress,RANGIA,39.870
KUSHAL DOWARI,Bharatiya Janata Party,SIBSAGAR,39.520
REJAUL KARIM SARKAR,All India United Democratic Front,SRIJANGRAM,39.330
KARIM UDDIN BARBHUIYA,Asom Gana Parishad,SONAI,39.120
GAURAV GOGOI,Indian National Congress,JORHAT,39.100
JAYANTA KHAUND,Indian National Congress,RONGONADI,39.070
MD AYNUL HOQUE,Independent,DALGAON,39.010
DILIP BARUAH,Assam Jatiya Parishad,BAJALI,38.940
ZABED ISLAM,Asom Gana Parishad,MANKACHAR,38.790
GYANASHREE BORA,Raijor Dal,MARIANI,38.750
AMAR CHAND JAIN,Indian National Congress,KATIGORAH,38.410
MANORANJAN TALUKDAR,Communist Party of India (Marxist),BHOWANIPUR-SORBHOG,37.910
RIPUN BORA,Indian National Congress,BARCHALLA,37.700
GHANA BURAGOHAIN,Indian National Congress,LAKHIMPUR,37.450
AJOY KUMAR GOGOI,Indian National Congress,DEMOW,37.400
AMIT KUMAR KALWAR,Indian National Congress,BORKHOLA,37.350
JAYANTA BORAH,Indian National Congress,BISWANATH,36.720
SRI SAILEN SONOWAL,Indian National Congress,DHEMAJI,35.960
SIBANATH CHETIA,Indian National Congress,MAKUM,35.810
SAGORIKA BORA,Indian National Congress,DERGAON,35.720
REJAUL KARIM CHOWDHURY,Assam Jatiya Parishad,BINNAKANDI,35.600
MARKLINE MARAK,Indian National Congress,GOALPARA WEST,35.450
Bitupan Saikia,Indian National Congress,GOLAGHAT,35.390
UTPAL GOGOI,Indian National Congress,SONARI,35.270
MINAKSHI RAHMAN,All India United Democratic Front,PAKABETBARI,35.210
SIDDIQUE AHMED,All India United Democratic Front,LAHARIGHAT,35.140
DHRUBAJYOTI PURKAYASTHA,Indian National Congress,DHOLAI,35.020
PANKAJ LOCHAN GOSWAMI,Assam Jatiya Parishad,PALASBARI,35.020
DIPEN BORO,United Peoples Party Liberal,UDALGURI,35.010
PRAMOD BORO,United Peoples Party Liberal,TAMULPUR,34.970
DR. INDRANEEL PEGU,Indian National Congress,MAJULI,34.890
JAGADISH BHUYAN,Assam Jatiya Parishad,SADIYA,34.620
JHILLI CHOWDHURY,Indian National Congress,HOJAI,34.560
JITEN GOUR,Independent,KALIABOR,34.200
BATASH ORANG,Indian National Congress,DHEKIAJULI,33.960
RAHUL ROY,Indian National Congress,HAILAKANDI,33.900
SUNIL KUMAR CHHETRI,Indian National Congress,NADUAR,33.810
KARTIK SENA SINHA,Indian National Congress,PATHARKANDI,33.670
SATYABRAT KALITA,Indian National Congress,KAMALPUR,33.490
PRAN  KURMI,Indian National Congress,TITABOR,33.440
