candidate,constituency,constituency_code,party,result
MAZIBUR RAHMAN,DALGAON,S0351,All India United Democratic Front,WON
MAZIBUR RAHMAN,BARHAMPUR,S0359,All India United Democratic Front,LOST
NABA KUMAR SARANIA,BIJNI,S0320,Gana Suraksha Party,LOST
NABA KUMAR SARANIA,MANAS,S0341,Gana Suraksha Party,LOST
DHANJEEP PRASAD RABHA,GOALPARA WEST,S0313,Independent,LOST
DHANJEEP PRASAD RABHA,GOALPARA EAST,S0314,Independent,LOST
HEMANTA BORUAH,SIBSAGAR,S0396,Independent,LOST
HEMANTA BORUAH,LAKHIMPUR,S0376,Independent,LOST
RABINDRA RONGPI,HOWRAGHAT,S03109,Independent,LOST
RABINDRA RONGPI,DIPHU,S03110,Independent,LOST
SAMSUL HAQUE,DHEKIAJULI,S0365,Independent,LOST
SAMSUL HAQUE,NALBARI,S0339,Independent,LOST
WILSON TERANG,AMRI,S03112,Independent,LOST
WILSON TERANG,RONGKHANG,S03111,Independent,LOST
JAKIR HUSSAIN,RONGONADI,S0374,Rashtriya Ulama Council,LOST
JAKIR HUSSAIN,GOLAKGANJ,S036,Rashtriya Ulama Council,LOST
MAHENDRA ORANG,RANGAPARA,S0368,Voters Party International,LOST
MAHENDRA ORANG,BARCHALLA,S0366,Voters Party International,LOST
