party,total_cost,party_votes,cost_per_vote
Bharatiya Janata Party,360000000,8192787,43.9410911085568318
Bodoland Peoples Front,44000000,807546,54.4860602368162309
Indian National Congress,396000000,6464216,61.2603291721687518
Assam Jatiya Parishad,40000000,545601,73.3136486186792180
Asom Gana Parishad,104000000,1402832,74.1357482578099159
Communist Party of India (Marxist),8000000,102190,78.2855465309717193
Raijor Dal,52000000,581574,89.4125253192199101
All India United Democratic Front,120000000,1182913,101.4444849283083371
United Peoples Party Liberal,72000000,496304,145.0723749959702118
National Peoples Party,8000000,35460,225.6063169768753525
Jharkhand Mukti Morcha,64000000,251350,254.6250248657250845
Communist Party of India (Marxist-Leninist) (Liberation),12000000,29162,411.4944105342569097
All India Trinamool Congress,88000000,193365,455.0978719002921935
Independent,1032000000,947804,1088.8327122485239564
Gondvana Gantantra Party,12000000,10362,1158.0775911986103069
Revolutionary Communist Party of India (Rasik Bhatt),4000000,3088,1295.3367875647668394
Vikas India Party,20000000,14276,1400.9526478005043430
Communist Party of India,12000000,7618,1575.2165922814386978
None of the Above,504000000,267191,1886.2910801636282659
Gana Suraksha Party,40000000,20187,1981.4732253430425521
Republican Party of India (Athawale),12000000,5803,2067.8959159055660865
Voters Party International,68000000,27975,2430.7417336907953530
Aam Aadmi Party,72000000,29473,2442.9138533573100804
Republican Party of India (A),4000000,1191,3358.5222502099076406
The National Road Map Party of India,8000000,2219,3605.2275799909869311
Bharatiya Gana Parishad,16000000,3611,4430.9055663251176959
Socialist Unity Centre Of India (COMMUNIST),164000000,31951,5132.8596914024600169
Rashtriya Ulama Council,40000000,6308,6341.1540900443880786
Apni Janta Party,8000000,635,12598.425196850394
All India Forward Bloc,8000000,626,12779.552715654952
