party,seats_participated,seats_won,success_ratio
None of the Above,126,,
Independent,91,,
Socialist Unity Centre Of India (COMMUNIST),41,,
Aam Aadmi Party,18,,
United Peoples Party Liberal,18,,
Voters Party International,17,,
Jharkhand Mukti Morcha,16,,
Rashtriya Ulama Council,10,,
Gana Suraksha Party,10,,
Assam Jatiya Parishad,10,,
Vikas India Party,5,,
Bharatiya Gana Parishad,4,,
Republican Party of India (Athawale),3,,
Communist Party of India,3,,
Communist Party of India (Marxist-Leninist) (Liberation),3,,
Gondvana Gantantra Party,3,,
Apni Janta Party,2,,
Communist Party of India (Marxist),2,,
National Peoples Party,2,,
All India Forward Bloc,2,,
The National Road Map Party of India,2,,
Republican Party of India (A),1,,
Revolutionary Communist Party of India (Rasik Bhatt),1,,
Bharatiya Janata Party,90,82,91.11111111111111111100
Bodoland Peoples Front,11,10,90.90909090909090909100
Asom Gana Parishad,26,10,38.46153846153846153800
Indian National Congress,99,19,19.19191919191919191900
Raijor Dal,13,2,15.38461538461538461500
All India United Democratic Front,30,2,6.66666666666666666700
All India Trinamool Congress,22,1,4.54545454545454545500
