party,no_of_candidates
Independent,258
Indian National Congress,99
Bharatiya Janata Party,90
Socialist Unity Centre Of India (COMMUNIST),41
All India United Democratic Front,30
Asom Gana Parishad,26
All India Trinamool Congress,22
Aam Aadmi Party,18
United Peoples Party Liberal,18
Voters Party International,17
Jharkhand Mukti Morcha,16
Raijor Dal,13
Bodoland Peoples Front,11
Gana Suraksha Party,10
Assam Jatiya Parishad,10
Rashtriya Ulama Council,10
Vikas India Party,5
Bharatiya Gana Parishad,4
Communist Party of India (Marxist-Leninist) (Liberation),3
Gondvana Gantantra Party,3
Communist Party of India,3
Republican Party of India (Athawale),3
All India Forward Bloc,2
National Peoples Party,2
Communist Party of India (Marxist),2
Apni Janta Party,2
The National Road Map Party of India,2
Republican Party of India (A),1
Revolutionary Communist Party of India (Rasik Bhatt),1
