constituency_code,constituency,winning_party,runner_up_party,candidate_count,others_vote_pct,margin_votes,margin_pct,postal_gap,crowding_band
S035,PARBATJHORA,Indian National Congress,Bodoland Peoples Front,9,11.59,9022,5.49,-319,Standard
S0389,KHOWANG,Bharatiya Janata Party,Assam Jatiya Parishad,5,6.14,9984,7.55,-72,Standard
S0310,BILASIPARA,Asom Gana Parishad,Indian National Congress,7,5.31,2694,1.50,652,Standard
S0330,HAJO-SUALKUCHI,Asom Gana Parishad,Indian National Congress,6,4.75,724,0.43,310,Standard
S0373,BIHPURIA,Bharatiya Janata Party,Indian National Congress,5,1.85,8236,5.86,69,Standard
