CANDIDATE,PARTY,CONSTITUENCY,STATE,RUNNER_VOTES
"D K SURESH","Indian National Congress","BANGALORE RURAL",KARNATAKA,809355
"NISITH PRAMANIK","Bharatiya Janata Party",COOCHBEHAR,"WEST BENGAL",749125
"RAJ BABBAR","Indian National Congress",GURGAON,HARYANA,733257
"PROFESSOR M.V RAJEEV GOWDA","Indian National Congress","BANGALORE NORTH",KARNATAKA,726573
"UTTAM BARIK SON OF LATE BIRENDRA BARIK","All India Trinamool Congress",KANTHI,"WEST BENGAL",715431
"PRAHLAD GUNJAL","Indian National Congress",KOTA,RAJASTHAN,708522
"ARUP KANTI DIGAR","Bharatiya Janata Party",ARAMBAGH,"WEST BENGAL",706188
"DEBANGSHU BHATTACHARYA","All India Trinamool Congress",TAMLUK,"WEST BENGAL",687851
"KANHAIYA KUMAR","Indian National Congress","NORTH-EAST DELHI",DELHI,685673
"PORLAL BATHA KHARTE","Indian National Congress",KHARGONE,"MADHYA PRADESH",684845
"NIRMAL CHANDRA ROY","All India Trinamool Congress",JALPAIGURI,"WEST BENGAL",679875
"PANKAJA GOPINATHRAO MUNDE","Bharatiya Janata Party",BEED,MAHARASHTRA,677397
"AGNIMITRA PAUL","Bharatiya Janata Party",MEDINIPUR,"WEST BENGAL",675001
"SUJATA MONDAL","All India Trinamool Congress",BISHNUPUR,"WEST BENGAL",674563
"BHUPESH BAGHEL","Indian National Congress",RAJNANDGAON,CHHATTISGARH,667646
"ANANDSWAMY GADDADEVARMATH","Indian National Congress",HAVERI,KARNATAKA,662025
"M.S. RAKSHA RAMAIAH","Indian National Congress",CHIKKBALLAPUR,KARNATAKA,659159
"M. LAKSHMANA","Indian National Congress",MYSORE,KARNATAKA,656241
"DEVENDRA JHAJHARIA","Bharatiya Janata Party",CHURU,RAJASTHAN,655474
"DR. HIRANMOY CHATTOPADHYAYA","Bharatiya Janata Party",GHATAL,"WEST BENGAL",655122
"DR CHEVIREDDY BHASKAR REDD","Yuvajana Sramika Rythu Congress Party",ONGOLE,"ANDHRA PRADESH",651695
"SHASHI SINGH KORAM","Indian National Congress",SURGUJA,CHHATTISGARH,648378
"ANIL KUMAR POLUBOINA","Yuvajana Sramika Rythu Congress Party",NARSARAOPET,"ANDHRA PRADESH",648267
"ROSELINA TIRKEY","Indian National Congress",KAZIRANGA,ASSAM,648096
