PARTY,SILVER_MEDALS
"Indian National Congress",167
"Bharatiya Janata Party",153
"Samajwadi Party",24
"All India Anna Dravida Munnetra Kazhagam",24
"Yuvajana Sramika Rythu Congress Party",21
"Biju Janata Dal",21
"Rashtriya Janata Dal",18
"Communist Party of India  (Marxist)",17
"All India Trinamool Congress",13
"Aam Aadmi Party",13
"Shiv Sena (Uddhav Balasaheb Thackrey)",10
"Shiv Sena",8
Independent,5
"Communist Party of India",4
"Janata Dal  (United)",4
"Desiya Murpokku Dravida Kazhagam",3
"Vikassheel Insaan Party",3
"Nationalist Congress Party – Sharadchandra Pawar",3
"Nationalist Congress Party",3
"Bharat Rashtra Samithi",2
"Communist Party of India  (Marxist-Leninist)  (Liberation)",2
"Jammu & Kashmir Peoples Democratic Party",2
"Jharkhand Mukti Morcha",2
"All India Majlis-E-Ittehadul Muslimeen",1
"Bahujan Samaj Party",1
"None of the Above",1
"Kerala Congress  (M)",1
"Rashtriya Samaj Paksha",1
"Naga Peoples Front",1
"National Peoples Party",1
"Mizo National Front",1
"Nationalist Democratic Progressive Party",1
"Janata Dal  (Secular)",1
"Citizen Action Party-Sikkim",1
"Jammu & Kashmir National Conference",1
"Bodoland Peoples Front",1
"Pattali Makkal Katchi",1
"Amma Makkal Munnettra Kazagam",1
"Assam Jatiya Parishad",1
"All India United Democratic Front",1
"Telugu Desam",1
"Suheldev Bharatiya Samaj Party",1
"Apna Dal (Soneylal)",1
