CANDIDATE,PARTY,CONSTITUENCY,STATE,VOTE_SHARE
"SHANKAR LALWANI","Bharatiya Janata Party",INDORE,"MADHYA PRADESH",78.5388
"C R PATIL","Bharatiya Janata Party",NAVSARI,GUJARAT,77.0477
"SHIVRAJ SINGH CHOUHAN","Bharatiya Janata Party",VIDISHA,"MADHYA PRADESH",76.6980
"AMIT SHAH","Bharatiya Janata Party",GANDHINAGAR,GUJARAT,76.4844
"BIPLAB KUMAR DEB","Bharatiya Janata Party","TRIPURA WEST",TRIPURA,72.8496
"DR. HEMANG JOSHI","Bharatiya Janata Party",VADODARA,GUJARAT,72.0364
"RAJPALSINH MAHENDRASINH JADAV","Bharatiya Janata Party",PANCHMAHAL,GUJARAT,70.2237
"KRITI DEVI DEBBARMAN","Bharatiya Janata Party","TRIPURA EAST",TRIPURA,68.5371
"DR. LATA WANKHEDE","Bharatiya Janata Party",SAGAR,"MADHYA PRADESH",68.4872
"ABHISHEK BANERJEE","All India Trinamool Congress","DIAMOND HARBOUR","WEST BENGAL",68.4752
"NIMUBEN JAYANTIBHAI BAMBHANIYA (NIMUBEN BAMBHANIYA)","Bharatiya Janata Party",BHAVNAGAR,GUJARAT,68.4550
"HASMUKHBHAI PATEL (H.S.PATEL)","Bharatiya Janata Party","AHMEDABAD EAST",GUJARAT,68.2826
"ASHISH DUBEY","Bharatiya Janata Party",JABALPUR,"MADHYA PRADESH",68.2005
"DR. MANSUKH MANDAVIYA","Bharatiya Janata Party",PORBANDAR,GUJARAT,68.1522
"VISHNU DATT SHARMA (V.D.SHARMA)","Bharatiya Janata Party",KHAJURAHO,"MADHYA PRADESH",67.7533
"PARSHOTTAMBHAI RUPALA","Bharatiya Janata Party",RAJKOT,GUJARAT,67.3699
"JYOTIRADITYA M. SCINDIA","Bharatiya Janata Party",GUNA,"MADHYA PRADESH",67.2096
"BHARATBHAI MANUBHAI SUTARIYA","Bharatiya Janata Party",AMRELI,GUJARAT,66.2774
"BRIJMOHAN AGRAWAL","Bharatiya Janata Party",RAIPUR,CHHATTISGARH,66.1949
"RAHUL GANDHI","Indian National Congress","RAE BARELI","UTTAR PRADESH",66.1698
"SUDHEER GUPTA","Bharatiya Janata Party",MANDSOUR,"MADHYA PRADESH",65.9760
"PIYUSH GOYAL","Bharatiya Janata Party","MUMBAI NORTH",MAHARASHTRA,65.6833
"ALOK SHARMA","Bharatiya Janata Party",BHOPAL,"MADHYA PRADESH",65.4821
"SRIBHARAT MATHUKUMILI","Telugu Desam",VISAKHAPATNAM,"ANDHRA PRADESH",65.4207
"RAHUL SINGH LODHI","Bharatiya Janata Party",DAMOH,"MADHYA PRADESH",65.1795
"DR. VIRENDRA KUMAR","Bharatiya Janata Party",TIKAMGARH,"MADHYA PRADESH",65.0998
"DARSHAN SINGH CHOUDHARY","Bharatiya Janata Party",HOSHANGABAD,"MADHYA PRADESH",64.9878
"MAHIMA KUMARI MEWAR","Bharatiya Janata Party",RAJSAMAND,RAJASTHAN,64.3957
"AJAY TAMTA","Bharatiya Janata Party",ALMORA,UTTARAKHAND,64.1988
"HARIBHAI PATEL","Bharatiya Janata Party",MAHESANA,GUJARAT,63.7434
"DEVUSINH CHAUHAN","Bharatiya Janata Party",KHEDA,GUJARAT,63.3105
"DINESHBHAI MAKWANA (ADVOCATE)","Bharatiya Janata Party","AHMEDABAD WEST",GUJARAT,63.2811
"MAHENDRA SINGH SOLANKY","Bharatiya Janata Party",DEWAS,"MADHYA PRADESH",63.2318
"ANIL FIROJIYA","Bharatiya Janata Party",UJJAIN,"MADHYA PRADESH",62.9322
"JASHUBHAI BHILUBHAI RATHVA","Bharatiya Janata Party","CHHOTA UDAIPUR",GUJARAT,62.8364
"DEEPENDER SINGH HOODA","Indian National Congress",ROHTAK,HARYANA,62.7643
"BHAGIRATH CHOUDHARY","Bharatiya Janata Party",AJMER,RAJASTHAN,62.2274
"VIJAY BAGHEL","Bharatiya Janata Party",DURG,CHHATTISGARH,61.9980
"VISHWESHWAR HEGDE KAGERI","Bharatiya Janata Party","UTTARA KANNADA",KARNATAKA,61.9670
"DAMODAR AGARWAL","Bharatiya Janata Party",BHILWARA,RAJASTHAN,61.9168
"SMT. HIMADRI SINGH","Bharatiya Janata Party",SHAHDOL,"MADHYA PRADESH",61.7305
"JASWANTSINH SUMANBHAI BHABHOR","Bharatiya Janata Party",DAHOD,GUJARAT,61.5862
"RAMASAHAYAM RAGHURAM REDDY","Indian National Congress",KHAMMAM,TELANGANA,61.2914
"ASADUDDIN OWAISI","All India Majlis-E-Ittehadul Muslimeen",HYDERABAD,TELANGANA,61.2762
"G M HARISH (BALAYOGI)","Telugu Desam",AMALAPURAM,"ANDHRA PRADESH",61.2541
"KINJARAPU RAMMOHAN NAIDU","Telugu Desam",SRIKAKULAM,"ANDHRA PRADESH",61.0453
"AJAY BHATT","Bharatiya Janata Party","NAINITAL-UDHAMSINGH NAGAR",UTTARAKHAND,61.0317
"DR RAJEEV BHARDWAJ","Bharatiya Janata Party",KANGRA,"HIMACHAL PRADESH",61.0293
"DUSHYANT SINGH","Bharatiya Janata Party",JHALAWAR-BARAN,RAJASTHAN,60.8849
"DURGADAS (D. D.) UIKEY","Bharatiya Janata Party",BETUL,"MADHYA PRADESH",60.7610
"DR CHANDRA SEKHAR PEMMASANI","Telugu Desam",GUNTUR,"ANDHRA PRADESH",60.6823
"MANJU SHARMA","Bharatiya Janata Party",JAIPUR,RAJASTHAN,60.6079
"KUNDURU RAGHUVEER","Indian National Congress",NALGONDA,TELANGANA,60.5047
"PRATIMA MONDAL","All India Trinamool Congress",JOYNAGAR,"WEST BENGAL",60.3193
"MURARI LAL MEENA","Indian National Congress",DAUSA,RAJASTHAN,60.2448
"CHAVDA VINOD LAKHAMSHI","Bharatiya Janata Party",KACHCHH,GUJARAT,60.2264
"RANJIT DUTTA","Bharatiya Janata Party",SONITPUR,ASSAM,60.2101
"TEJASVI SURYA","Bharatiya Janata Party","BANGALORE SOUTH",KARNATAKA,60.0980
"RAKIBUL HUSSAIN","Indian National Congress",DHUBRI,ASSAM,59.9886
"PARIMAL SUKLABAIDYA","Bharatiya Janata Party",SILCHAR,ASSAM,59.8852
"RAHUL GANDHI","Indian National Congress",WAYANAD,KERALA,59.6914
"DR. MAHESH SHARMA","Bharatiya Janata Party","GAUTAM BUDDHA NAGAR","UTTAR PRADESH",59.6857
"KOTA SRINIVAS POOJARY","Bharatiya Janata Party","UDUPI CHIKMAGALUR",KARNATAKA,59.5594
"E.T.  MOHAMMED BASHEER","Indian Union Muslim League",MALAPPURAM,KERALA,59.3454
"CHANDRA PRAKASH JOSHI","Bharatiya Janata Party",CHITTORGARH,RAJASTHAN,59.2635
"CHANDUBHAI CHHAGANBHAI SHIHORA","Bharatiya Janata Party",SURENDRANAGAR,GUJARAT,59.1977
"POONAMBEN HEMATBHAI MAADAM","Bharatiya Janata Party",JAMNAGAR,GUJARAT,58.9829
"DELKAR KALABEN MOHANBHAI","Bharatiya Janata Party","DADAR & NAGAR HAVELI","DADRA & NAGAR HAVELI AND DAMAN & DIU",58.8916
"ANIL BALUNI","Bharatiya Janata Party",GARHWAL,UTTARAKHAND,58.6033
"OMPRAKASH BHUPALSINH ALIAS PAVAN RAJENIMBALKAR","Shiv Sena (Uddhav Balasaheb Thackrey)",OSMANABAD,MAHARASHTRA,58.4482
"H.D. KUMARASWAMY","Janata Dal  (Secular)",MANDYA,KARNATAKA,58.3373
"PANKAJ CHAUDHARY","Bharatiya Janata Party",MAHARAJGANJ,"UTTAR PRADESH",58.3083
"SACHITHANANTHAM R","Communist Party of India  (Marxist)",DINDIGUL,"TAMIL NADU",58.2930
"YOGENDER CHANDOLIYA","Bharatiya Janata Party","NORTH-WEST DELHI",DELHI,58.2624
"KESINENI SIVANATH (CHINNI)","Telugu Desam",VIJAYAWADA,"ANDHRA PRADESH",58.2052
"ATUL GARG","Bharatiya Janata Party",GHAZIABAD,"UTTAR PRADESH",58.0898
"ANURAG SINGH THAKUR","Bharatiya Janata Party",HAMIRPUR,"HIMACHAL PRADESH",57.9671
