CANDIDATE,CONSTITUENCY_COUNT
"ARUN KUMAR",5
"MANOJ KUMAR",4
"PRADEEP KUMAR",4
"PRAMOD KUMAR",4
RAJKUMAR,4
"VIJAY KUMAR",4
"ASHOK KUMAR",3
"PARAMJIT SINGH",3
RAJESH,3
SATPAL,3
"SHRIDHAR NARAYAN SALVE",3
"SUNIL KUMAR",3
"SURENDER SINGH",3
"ADV ULHAS SHALIKRAM DUPARE",2
"ADVOCATE HARI KISHAN TIWARI",2
"ADVOCATE SHAILENDRA BANJARE (SHAKTIPUTRA)",2
"AGNI AALVAR",2
"AJIT SINGH",2
"AMAR SINGH",2
"AMIT GUPTA",2
"AMOL VILAS PACHUNDKAR",2
ANIL,2
"ANIL KUMAR GADEPAKA",2
"ANIL KUMAR MADDINENI",2
"ARUNIMA PANDEY",2
"ASHOK PASWAN ADVOCATE",2
"BALWINDER SINGH",2
"BHASKAR ANKALAMADUGU SHIVAREDDY",2
"BHEEKAM SINGH KUSHWAHA",2
"BISWAJIT DAS",2
"CHANDRAKANT RAMBHAJI MOTE",2
"DAVINDER SINGH",2
"DINESH KUMAR",2
"GNYANENDRA BEHERA",2
"GOPALAKRISHNAN S",2
"GOVIND LAL",2
"GURMEET SINGH",2
"GURPREET SINGH",2
"HAREKRISHNA SARKAR",2
"HARJINDER SINGH",2
"JITENDRA KUMAR",2
"KOLISETTY SHIVA KUMAR",2
"KRANTHI KUMAR BANDELA",2
"LALIT PEGU",2
"MURUGESAN. P",2
"MUSTAFA MAINODDIN SHAIKH",2
MUTHUKUMAR,2
"NAND RAM BAGRI",2
"NARAD PRASAD NISHAD",2
"NARESH KUMAR",2
"OM PRAKASH",2
"PALANISAMY K",2
"PANDOR KAUSHIKKUMAR SHANKARBHAI",2
"PARMINDER SINGH",2
"PRAKASH P",2
"PRASUN BANERJEE",2
"PREMCHANDRA HARIJAN",2
"RACHA SUBHADRA REDDY",2
"RAHUL GANDHI",2
"RAJAMANICKAM C",2
"RAJESH SINGH",2
RAKESH,2
"RAKESH KUMAR",2
"RAM MILAN",2
RAMESH,2
"RAMESH KUMAR",2
"RANJAN KUMAR",2
"RANJIT KUMAR",2
"RAVI SHIVAPPA PADASALAGI",2
"RAVINDER SINGH",2
ROHTASH,2
"SAJAD AHMAD DAR",2
"SANJAY KUMAR",2
"SANTOSH KUMAR",2
"SATISH KUMAR",2
"SATYANARAYANA GOUD KOVURI",2
"SAVITA SHAILENDRA BANJARE",2
"SHYAM BHARTEEY",2
"SOBHA PANDEY",2
"SONU KUMAR",2
"SRIRAM PANDEY",2
"SUBASH MOHAPATRA",2
SURESH,2
"SURINDER SINGH",2
"UMESH MAHADEV MHETRE",2
"UPENDRA SAHANI",2
"VIDYA NAND RAM",2
"YASHUTOSH LAHARE",2
"YOGESH SHARMA",2
" PRAKASH ALIAS BANTY  PARTETI",1
"A . RAJ.",1
"A BEEMARAO MILINTHAR",1
"A CHINNA MOULALI",1
"A JAYACHANDRAN",1
"A JINNA MOHAMMED",1
"A MUTHAIAH",1
"A NAMASSIVAYAM",1
"A NATARAJAN",1
"A PALANI",1
"A SEETHA",1
"A T MUNUSAMY",1
"A VIJAYARAGHAVAN",1
