CANDIDATE,PARTY,CONSTITUENCY,STATE,VOTE_SHARE
"AASHTIKAR PATIL NAGESH BAPURAO","Shiv Sena (Uddhav Balasaheb Thackrey)",HINGOLI,MAHARASHTRA,42.4856
"BIRENDRA SINGH","Samajwadi Party",CHANDAULI,"UTTAR PRADESH",42.4968
"PRIYA SAROJ","Samajwadi Party",MACHHLISHAHR,"UTTAR PRADESH",42.5722
"ANUPRIYA PATEL","Apna Dal (Soneylal)",MIRZAPUR,"UTTAR PRADESH",42.6659
"INDRA HANG SUBBA","Sikkim Krantikari Morcha",SIKKIM,SIKKIM,42.7121
"SURESH KUMAR SHETKAR","Indian National Congress",ZAHIRABAD,TELANGANA,42.7318
"JUAL ORAM","Bharatiya Janata Party",SUNDARGARH,ODISHA,42.7662
"KANWAR SINGH TANWAR","Bharatiya Janata Party",AMROHA,"UTTAR PRADESH",42.9018
"RAMBHUAL NISHAD","Samajwadi Party",SULTANPUR,"UTTAR PRADESH",42.9974
"RAJKUMAR CHAHAR","Bharatiya Janata Party","FATEHPUR SIKRI","UTTAR PRADESH",43.0938
"THIRUMAAVALAVAN THOL","Viduthalai Chiruthaigal Katchi",CHIDAMBARAM,"TAMIL NADU",43.2779
"SELVAGANAPATHI T M","Dravida Munnetra Kazhagam",SALEM,"TAMIL NADU",43.3833
"GANESH SINGH","Bharatiya Janata Party",SATNA,"MADHYA PRADESH",43.4127
"SHIVMANGAL SINGH TOMAR","Bharatiya Janata Party",MORENA,"MADHYA PRADESH",43.4148
"VAMSI KRISHNA GADDAM","Indian National Congress",PEDDAPALLE,TELANGANA,43.4209
"VENKATESAN S","Communist Party of India  (Marxist)",MADURAI,"TAMIL NADU",43.6005
"ADV K FRANCIS GEORGE","Kerala Congress",KOTTAYAM,KERALA,43.6045
"HARENDRA SINGH MALIK","Samajwadi Party",MUZAFFARNAGAR,"UTTAR PRADESH",43.6391
"DR. HEMANT VISHNU SAVARA","Bharatiya Janata Party",PALGHAR,MAHARASHTRA,43.6927
"RAJEEV RAI","Samajwadi Party",GHOSI,"UTTAR PRADESH",43.7281
"DAROGA PRASAD SAROJ","Samajwadi Party",LALGANJ,"UTTAR PRADESH",43.8452
"THARANIVENTHAN M S","Dravida Munnetra Kazhagam",ARANI,"TAMIL NADU",43.8583
"AJENDRA SINGH LODHI","Samajwadi Party",HAMIRPUR,"UTTAR PRADESH",43.9956
"RAJMOHAN UNNITHAN","Indian National Congress",KASARAGOD,KERALA,44.1024
"MAHUA MOITRA","All India Trinamool Congress",KRISHNANAGAR,"WEST BENGAL",44.1035
"M.K. VISHNUPRASAD","Indian National Congress",CUDDALORE,"TAMIL NADU",44.1130
"SANGEETA KUMARI SINGH DEO","Bharatiya Janata Party",BOLANGIR,ODISHA,44.1168
"AVIMANYU SETHI","Bharatiya Janata Party",BHADRAK,ODISHA,44.1906
"RAMASHANKAR RAJBHAR","Samajwadi Party",SALEMPUR,"UTTAR PRADESH",44.1998
"JAI PRAKASH","Bharatiya Janata Party",HARDOI,"UTTAR PRADESH",44.2497
"ABU TAHER KHAN","All India Trinamool Congress",MURSHIDABAD,"WEST BENGAL",44.2696
"SATISH KUMAR GAUTAM","Bharatiya Janata Party",ALIGARH,"UTTAR PRADESH",44.2782
"ARUP CHAKRABORTY","All India Trinamool Congress",BANKURA,"WEST BENGAL",44.3341
"BANDI SANJAY KUMAR","Bharatiya Janata Party",KARIMNAGAR,TELANGANA,44.5683
"IMRAN MASOOD","Indian National Congress",SAHARANPUR,"UTTAR PRADESH",44.5699
"KALYAN VAIJINATHRAO KALE","Indian National Congress",JALNA,MAHARASHTRA,44.5865
"PRAVEEN PATEL","Bharatiya Janata Party",PHULPUR,"UTTAR PRADESH",44.5989
"BALWANT BASWANT WANKHADE","Indian National Congress",AMRAVATI,MAHARASHTRA,44.8433
"CHAMALA KIRAN KUMAR REDDY","Indian National Congress",BHONGIR,TELANGANA,44.8940
"KHAN SAUMITRA","Bharatiya Janata Party",BISHNUPUR,"WEST BENGAL",44.9265
"BAJRANG MANOHAR SONWANE","Nationalist Congress Party – Sharadchandra Pawar",BEED,MAHARASHTRA,44.9289
"MALAIYARASAN D","Dravida Munnetra Kazhagam",KALLAKURICHI,"TAMIL NADU",44.9427
"NAVEEN JINDAL","Bharatiya Janata Party",KURUKSHETRA,HARYANA,44.9612
"BHAUSAHEB RAJARAM WAKCHAURE","Shiv Sena (Uddhav Balasaheb Thackrey)",SHIRDI,MAHARASHTRA,44.9963
"TAPIR GAO","Bharatiya Janata Party","ARUNACHAL EAST","ARUNACHAL PRADESH",45.0098
"G. KISHAN REDDY","Bharatiya Janata Party",SECUNDERABAD,TELANGANA,45.1494
"LOVELY ANAND","Janata Dal  (United)",SHEOHAR,BIHAR,45.1507
"KAKOLI GHOSH DASTIDAR","All India Trinamool Congress",BARASAT,"WEST BENGAL",45.1527
"ASHOK KUMAR RAWAT","Bharatiya Janata Party",MISRIKH,"UTTAR PRADESH",45.1543
"JADHAV SANJAY ( BANDU ) HARIBHAU","Shiv Sena (Uddhav Balasaheb Thackrey)",PARBHANI,MAHARASHTRA,45.1738
"NARESH CHANDRA UTTAM PATEL","Samajwadi Party",FATEHPUR,"UTTAR PRADESH",45.1990
"NEERAJ MAURYA","Samajwadi Party",AONLA,"UTTAR PRADESH",45.2307
"KAMLESH PASWAN","Bharatiya Janata Party",BANSGAON,"UTTAR PRADESH",45.3757
"JAGDAMBIKA PAL","Bharatiya Janata Party",DOMARIYAGANJ,"UTTAR PRADESH",45.4680
"PRATAP CHANDRA SARANGI","Bharatiya Janata Party",BALASORE,ODISHA,45.4864
"MAHESH KASHYAP","Bharatiya Janata Party",BASTAR,CHHATTISGARH,45.5033
"PARTHA BHOWMICK","All India Trinamool Congress",BARRACKPUR,"WEST BENGAL",45.5600
"KALYAN BANERJEE","All India Trinamool Congress",SRERAMPUR,"WEST BENGAL",45.6455
"ANANTA NAYAK","Bharatiya Janata Party",KEONJHAR,ODISHA,45.6721
"ABDUL RASHID SHEIKH",Independent,BARAMULLA,"JAMMU & KASHMIR",45.6989
"LAXMIKANT PAPPU NISHAD","Samajwadi Party","SANT KABIR NAGAR","UTTAR PRADESH",45.7014
"BAG MITALI","All India Trinamool Congress",ARAMBAGH,"WEST BENGAL",45.7056
"GURUMOORTHY MADDILA","Yuvajana Sramika Rythu Congress Party",THIRUPATHI,"ANDHRA PRADESH",45.7285
