CANDIDATE,PARTY,CONSTITUENCY,STATE,VOTES
"RAKIBUL HUSSAIN","Indian National Congress",DHUBRI,ASSAM,1471885
"SHANKAR LALWANI","Bharatiya Janata Party",INDORE,"MADHYA PRADESH",1226751
"SHIVRAJ SINGH CHOUHAN","Bharatiya Janata Party",VIDISHA,"MADHYA PRADESH",1116460
"DR C N MANJUNATH","Bharatiya Janata Party","BANGALORE RURAL",KARNATAKA,1079002
"BRIJMOHAN AGRAWAL","Bharatiya Janata Party",RAIPUR,CHHATTISGARH,1050351
"ABHISHEK BANERJEE","All India Trinamool Congress","DIAMOND HARBOUR","WEST BENGAL",1048230
"C R PATIL","Bharatiya Janata Party",NAVSARI,GUJARAT,1031065
"AMIT SHAH","Bharatiya Janata Party",GANDHINAGAR,GUJARAT,1010972
"EATALA RAJENDER","Bharatiya Janata Party",MALKAJGIRI,TELANGANA,991042
"SHOBHA KARANDLAJE","Bharatiya Janata Party","BANGALORE NORTH",KARNATAKA,986049
"ALOK SHARMA","Bharatiya Janata Party",BHOPAL,"MADHYA PRADESH",981109
"VIJAY BAGHEL","Bharatiya Janata Party",DURG,CHHATTISGARH,956497
"SUDHEER GUPTA","Bharatiya Janata Party",MANDSOUR,"MADHYA PRADESH",945761
"MAHENDRA SINGH SOLANKY","Bharatiya Janata Party",DEWAS,"MADHYA PRADESH",928941
"JYOTIRADITYA M. SCINDIA","Bharatiya Janata Party",GUNA,"MADHYA PRADESH",923302
"SRIBHARAT MATHUKUMILI","Telugu Desam",VISAKHAPATNAM,"ANDHRA PRADESH",907467
"KAMAKHYA PRASAD TASA","Bharatiya Janata Party",KAZIRANGA,ASSAM,897043
"BIJULI KALITA  MEDHI","Bharatiya Janata Party",GUWAHATI,ASSAM,894887
"PRATIMA MONDAL","All India Trinamool Congress",JOYNAGAR,"WEST BENGAL",894312
"CHANDRA PRAKASH JOSHI","Bharatiya Janata Party",CHITTORGARH,RAJASTHAN,888202
"MANJU SHARMA","Bharatiya Janata Party",JAIPUR,RAJASTHAN,886850
"BIPLAB KUMAR DEB","Bharatiya Janata Party","TRIPURA WEST",TRIPURA,881341
"DR. HEMANG JOSHI","Bharatiya Janata Party",VADODARA,GUJARAT,873189
"DILIP SAIKIA","Bharatiya Janata Party",DARRANG-UDALGURI,ASSAM,868387
