CONSTITUENCY,STATE,TOTAL_VOTES
SURAT,GUJARAT,0
LAKSHADWEEP,LAKSHADWEEP,49200
"DAMAN & DIU","DADRA & NAGAR HAVELI AND DAMAN & DIU",92410
LADAKH,LADAKH,135524
"ANDAMAN & NICOBAR ISLANDS","ANDAMAN & NICOBAR ISLANDS",202514
"DADAR & NAGAR HAVELI","DADRA & NAGAR HAVELI AND DAMAN & DIU",205588
"ARUNACHAL EAST","ARUNACHAL PRADESH",323443
SIKKIM,SIKKIM,384893
"ARUNACHAL WEST","ARUNACHAL PRADESH",399804
CHANDIGARH,CHANDIGARH,449275
"SOUTH GOA",GOA,450520
"NORTH GOA",GOA,456018
MIZORAM,MIZORAM,491336
ALMORA,UTTARAKHAND,668497
TURA,MEGHALAYA,674056
SRINAGAR,"JAMMU & KASHMIR",675242
DIPHU,ASSAM,682827
"CHENNAI CENTRAL","TAMIL NADU",730549
GARHWAL,UTTARAKHAND,737431
NAGALAND,NAGALAND,760796
"MUMBAI SOUTH",MAHARASHTRA,773113
"MUMBAI SOUTH CENTRAL",MAHARASHTRA,794524
"OUTER MANIPUR",MANIPUR,796735
"INNER MANIPUR",MANIPUR,796897
PUDUCHERRY,PUDUCHERRY,807940
KOTTAYAM,KERALA,836223
IDUKKI,KERALA,840657
"NEW DELHI",DELHI,847468
"TEHRI GARHWAL",UTTARAKHAND,862041
NAWADA,BIHAR,869870
AMRELI,GUJARAT,876426
KANPUR,"UTTAR PRADESH",887396
MAVELIKKARA,KERALA,894971
"CHENNAI NORTH","TAMIL NADU",902489
AMRITSAR,PUNJAB,905656
ERNAKULAM,KERALA,910502
"MUMBAI NORTH CENTRAL",MAHARASHTRA,910562
"RATNAGIRI- SINDHUDURG",MAHARASHTRA,914038
KOLLAM,KERALA,915691
SALEMPUR,"UTTAR PRADESH",917362
REWA,"MADHYA PRADESH",918129
PATHANAMTHITTA,KERALA,919569
JAHANABAD,BIHAR,925370
"MUMBAI NORTH EAST",MAHARASHTRA,926469
PORBANDAR,GUJARAT,928977
BAGHPAT,"UTTAR PRADESH",933773
KHUNTI,JHARKHAND,936682
BANSGAON,"UTTAR PRADESH",944763
AURANGABAD,BIHAR,945880
ALLAHABAD,"UTTAR PRADESH",947000
PRATAPGARH,"UTTAR PRADESH",947288
HOSHIARPUR,PUNJAB,948485
CHALAKUDY,KERALA,951287
GONDA,"UTTAR PRADESH",952884
"MUMBAI NORTH WEST",MAHARASHTRA,954939
MATHURA,"UTTAR PRADESH",957046
"KOLKATA UTTAR","WEST BENGAL",958433
THIRUVANANTHAPURAM,KERALA,962983
GAYA,BIHAR,963676
"CHANDNI CHOWK",DELHI,966102
"AHMEDABAD WEST",GUJARAT,966646
LOHARDAGA,JHARKHAND,967125
RAMPUR,"UTTAR PRADESH",968079
SHIMLA,"HIMACHAL PRADESH",969965
NAGAPATTINAM,"TAMIL NADU",973011
"FATEHGARH SAHIB",PUNJAB,974256
THOOTHUKKUDI,"TAMIL NADU",978526
JAMUI,BIHAR,979233
AMETHI,"UTTAR PRADESH",980671
ATTINGAL,KERALA,985341
MADURAI,"TAMIL NADU",986969
KARAULI-DHOLPUR,RAJASTHAN,988122
JALANDHAR,PUNJAB,989107
ALATHUR,KERALA,992268
KANDHAMAL,ODISHA,996091
SIWAN,BIHAR,998018
NAGINA,"UTTAR PRADESH",1001303
LALGANJ,"UTTAR PRADESH",1003438
BALLIA,"UTTAR PRADESH",1007322
BASTAR,CHHATTISGARH,1007395
