PARTY,TOTAL_COST,PARTY_VOTES,COST_PER_VOTE
"Telugu Desam",161500000,12775270,12.6416
"Janasena Party",19000000,1454138,13.0662
"Janata Dal  (Secular)",28500000,2173701,13.1113
"Asom Gana Parishad",19000000,1298707,14.6299
"Rashtriya Loktantrik Party",9500000,596955,15.9141
"All India Trinamool Congress",456000000,28213393,16.1625
"Indian Union Muslim League",28500000,1716186,16.6066
"Voice of the People Party",9500000,571078,16.6352
"Lok Janshakti Party(Ram Vilas)",47500000,2810250,16.9024
"Marumalarchi Dravida Munnetra Kazhagam",9500000,542213,17.5208
"Bharatiya Janata Party",4189500000,235973935,17.7541
"Dravida Munnetra Kazhagam",209000000,11754710,17.7801
"Yuvajana Sramika Rythu Congress Party",237500000,13316039,17.8356
"Janata Dal  (United)",152000000,8039663,18.9063
"Hindustani Awam Morcha (Secular)",9500000,494960,19.1935
"Nationalist Congress Party – Sharadchandra Pawar",114000000,5921162,19.2530
"Shiv Sena",142500000,7401447,19.2530
"United People’s Party Liberal",9500000,488995,19.4276
"Shiv Sena (Uddhav Balasaheb Thackrey)",199500000,9567779,20.8512
"Biju Janata Dal",199500000,9413379,21.1932
"Rashtriya Lok Dal",19000000,893460,21.2656
"Jharkhand Mukti Morcha",57000000,2652955,21.4855
"Rashtriya Janata Dal",228000000,10107402,22.5577
"Indian National Congress",3116000000,136759064,22.7846
"Samajwadi Party",674500000,29549381,22.8262
"Assam Jatiya Parishad",9500000,414441,22.9224
"Nationalist Congress Party",47500000,2059179,23.0674
"Apna Dal (Soneylal)",19000000,808245,23.5077
"Vikassheel Insaan Party",28500000,1187455,24.0009
"Jammu & Kashmir National Conference",28500000,1147041,24.8465
"Kerala Congress",9500000,364631,26.0537
"Nationalist Democratic Progressive Party",9500000,350967,27.0681
"Suheldev Bharatiya Samaj Party",9500000,340188,27.9257
"Aam Aadmi Party",209000000,7147800,29.2398
"Naga Peoples Front",9500000,299536,31.7157
"Kerala Congress  (M)",9500000,277365,34.2509
"Bahujan Vikas Aaghadi",9500000,254517,37.3256
"Rashtriya Lok Morcha",9500000,253876,37.4198
"All India Anna Dravida Munnetra Kazhagam",342000000,8952587,38.2012
"Communist Party of India  (Marxist-Leninist)  (Liberation)",66500000,1736771,38.2894
"Desiya Murpokku Dravida Kazhagam",47500000,1128616,42.0869
"Communist Party of India  (Marxist)",494000000,11342553,43.5528
"Bharat Rashtra Samithi",161500000,3657237,44.1590
"All India United Democratic Front",28500000,625954,45.5305
"Zoram People’s Movement",9500000,208552,45.5522
"Amma Makkal Munnettra Kazagam",19000000,393415,48.2951
"Bodoland Peoples Front",38000000,777570,48.8702
"Pattali Makkal Katchi",95000000,1879689,50.5403
"Sikkim Krantikari Morcha",9500000,164396,57.7873
"AJSU Party",28500000,458677,62.1352
"Jammu & Kashmir Peoples Democratic Party",28500000,435980,65.3700
"Mizo National Front",9500000,140264,67.7294
"Shiromani Akali Dal",123500000,1814318,68.0697
"National Peoples Party",28500000,417930,68.1932
"Tamil Maanila Congress  (Moopanar)",28500000,410401,69.4443
"Bharath Dharma Jana Sena",38000000,505753,75.1355
"Communist Party of India",285000000,3157184,90.2703
"Jammu and Kashmir Apni Party",19000000,208149,91.2808
"All India Majlis-E-Ittehadul Muslimeen",142500000,1400215,101.7701
"Swabhimani Paksha",19000000,185371,102.4972
"Naam Tamilar Katchi",380000000,3600088,105.5530
"Jammu & Kashmir People Conference",19000000,174890,108.6397
"Citizen Action Party-Sikkim",9500000,83566,113.6826
"Sikkim Democratic Front",9500000,77171,123.1032
"Viduthalai Chiruthaigal Katchi",123500000,990237,124.7176
"Twenty 20 Party",19000000,145450,130.6291
"Revolutionary Socialist Party",95000000,587363,161.7398
"Bharat Adivasi Party",209000000,1257056,166.2615
"United Democratic Party",9500000,44563,213.1813
"Vanchit Bahujan  Aaghadi",361000000,1582855,228.0689
"New Rashtriya Samaj Party",19000000,83046,228.7889
"All India Secular Front",161500000,650229,248.3740
"Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann)",133000000,521749,254.9118
"Indian National Lok Dal",66500000,226975,292.9838
"Revolutionary Goans Party",19000000,64578,294.2178
"Rashtriya Samaj Paksha",171000000,521746,327.7457
"Bahujan Samaj Party",4636000000,13153818,352.4452
"Aazad Samaj Party (Kanshi Ram)",247000000,691820,357.0293
"Abhinav Rajasthan Party",9500000,26294,361.2992
"Sanyukt Kisan Vikas Party",9500000,25291,375.6277
"Democratic Progressive Azad Party",19000000,40665,467.2323
"Rashtriya Jan Kalyan Party Secular",9500000,19495,487.3044
"Jharkhand Peoples Party",9500000,19494,487.3294
"Republican Sena",9500000,18793,505.5074
"Prahar Janshakti Party",47500000,90759,523.3641
"Mithilanchal Mukti Morcha",9500000,18025,527.0458
"Gana Suraksha Party",104500000,180000,580.5556
"Republican Party of India (Athawale)",95000000,155721,610.0654
"Hindustan Vikas Dal",9500000,15140,627.4769
"Gondvana Gantantra Party",218500000,312997,698.0898
"Samnak Janta Party",47500000,67374,705.0197
"Rashtriya Jan Jan Party",9500000,13213,718.9889
"Jai Hind Party",9500000,13014,729.9831
"Moolniwasi Samaj Party",47500000,61033,778.2675
"None of the Above",5149000000,6372220,808.0386
"Jannayak Janta Party",95000000,113827,834.5999
"Telangana Sakalajanula Party",9500000,10859,874.8504
"Rashtriya Uttarakhand Party",9500000,10026,947.5364
"Aadarsh Mithila Party",28500000,29550,964.4670
"Samaj Shakti Party",28500000,29235,974.8589
"Autonomous State Demand Committee",9500000,9633,986.1933
"Rashtriya Samanta Dal",28500000,28340,1005.6457
"Rashtriya Jan Awaz Party",9500000,9299,1021.6152
"Rashtriya Jansambhavna Party",180500000,168740,1069.6930
"All India Forward Bloc",313500000,289941,1081.2545
"Bhartiya Kranti Vir Party",9500000,8749,1085.8384
"Yuva Krantikari Party",9500000,8736,1087.4542
"Akhil Bhartiya Apna Dal",9500000,8678,1094.7223
"Abhay Samaj Party",9500000,8583,1106.8391
"Parcham Party of India",9500000,8404,1130.4141
"Dhanwan Bharat Party",9500000,8389,1132.4353
"Andaman Nicobar Democratic Congress",9500000,8254,1150.9571
"Janhit Sankalp Party",9500000,8194,1159.3849
"Dr. Ambedkar Peoples Party",9500000,8089,1174.4344
"Rashtriya Jansangharsh Swaraj Party",9500000,7803,1217.4805
"Alliance of Democratic Reforms Party",133000000,108334,1227.6848
"Bharat Jan Jagran Dal",9500000,7736,1228.0248
"Praja Shanthi Party",9500000,7696,1234.4075
"Pragatisheel Manav Samaj Party",19000000,15250,1245.9016
"Marxist Leninist Party of India (Red Flag)",9500000,7085,1340.8610
"Malwa Congress",19000000,13925,1364.4524
"Manas Lokshakti Dal",28500000,20450,1393.6430
"Naam Indiar Party",9500000,6640,1430.7229
"Arunachal Democratic Party",9500000,6622,1434.6119
"Samata Samadhan Party",9500000,6614,1436.3471
"Loktantrik Samajik Nyay Party",9500000,6542,1452.1553
"Bharat Jago Janta Party",9500000,6340,1498.4227
"Bhartiya Lok Nayak Party",19000000,12411,1530.9000
"Bhartiya Awam Party (Rastriya)",9500000,6160,1542.2078
"Praja Velugu Party",19000000,12199,1557.5047
"Aapki Awaaz Party",9500000,6087,1560.7031
"Rashtriya Shoshit Samaj Party",85500000,53911,1585.9472
"Bharatiya Jan Kranti Dal (Democratic)",19000000,11914,1594.7625
"Rashtra Sewa Dal",9500000,5919,1605.0008
"Bahujan Maha Party",123500000,76254,1619.5872
"Uttarakhand Parivartan Party",9500000,5778,1644.1675
"Voters Party  International",104500000,63496,1645.7730
"Rashtriya Gondvana Party",19000000,11446,1659.9685
"Rashtriya Sanatan Party",28500000,16859,1690.4917
"Bharatiya Aam Awam Party",9500000,5585,1700.9848
"Al-Hind Party",38000000,22308,1703.4248
