constituency,constituency_code,runner_up_votes,winning_party,winning_votes,vote_difference
TIRUPPATTUR,S22185,83374,Tamilaga Vettri Kazhagam,83375,1
KANNIYAKUMARI,S22229,74831,All India Anna Dravida Munnetra Kazhagam,75045,214
PARAMATHI-VELUR,S2295,61041,All India Anna Dravida Munnetra Kazhagam,61349,308
KUMBAKONAM,S22171,77971,Tamilaga Vettri Kazhagam,78650,679
CUMBUM,S22201,84643,Tamilaga Vettri Kazhagam,85394,751
MANAMADURAI,S22187,68763,Tamilaga Vettri Kazhagam,69971,1208
ANTHIYUR,S22105,58782,All India Anna Dravida Munnetra Kazhagam,60042,1260
MANNARGUDI,S22167,66850,Amma Makkal Munnettra Kazagam,68416,1566
BHUVANAGIRI,S22157,73220,All India Anna Dravida Munnetra Kazhagam,75707,2487
SHOLAVANDAN,S22190,61229,Tamilaga Vettri Kazhagam,63907,2678
NILAKKOTTAI,S22130,65655,Tamilaga Vettri Kazhagam,68580,2925
HARUR,S2261,72194,All India Anna Dravida Munnetra Kazhagam,75523,3329
SANKARAPURAM,S2279,76810,All India Anna Dravida Munnetra Kazhagam,80250,3440
ARANI,S2267,71104,All India Anna Dravida Munnetra Kazhagam,76735,5631
RANIPET,S2241,85362,Tamilaga Vettri Kazhagam,91149,5787
VELLORE,S2243,66255,Tamilaga Vettri Kazhagam,73032,6777
ANAIKATTU,S2244,69221,All India Anna Dravida Munnetra Kazhagam,76302,7081
VEDARANYAM,S22165,51841,All India Anna Dravida Munnetra Kazhagam,59172,7331
METTUPPALAYAM,S22111,67896,Tamilaga Vettri Kazhagam,75664,7768
THIRUVERUMBUR,S22142,81132,Tamilaga Vettri Kazhagam,89837,8705
KOLATHUR,S2213,74202,Tamilaga Vettri Kazhagam,82997,8795
PERUNDURAI,S22103,60609,All India Anna Dravida Munnetra Kazhagam,70302,9693
RAJAPALAYAM,S22202,54943,Tamilaga Vettri Kazhagam,65548,10605
EGMORE,S2216,43097,Tamilaga Vettri Kazhagam,53901,10804
NEYVELI,S22153,52769,All India Anna Dravida Munnetra Kazhagam,63731,10962
TIRUNELVELI,S22224,64426,Tamilaga Vettri Kazhagam,75840,11414
KINATHUKADAVU,S22122,88240,Tamilaga Vettri Kazhagam,99950,11710
NATHAM,S22131,73839,All India Anna Dravida Munnetra Kazhagam,85708,11869
MADURAI WEST,S22194,76319,Tamilaga Vettri Kazhagam,88250,11931
RADHAPURAM,S22228,57634,Tamilaga Vettri Kazhagam,69947,12313
GINGEE,S2270,65556,Pattali Makkal Katchi,78201,12645
TIRUPPUR,S22114,60892,Tamilaga Vettri Kazhagam,73793,12901
SALEM,S2289,71676,Tamilaga Vettri Kazhagam,85710,14034
UTHIRAMERUR,S2236,70694,Tamilaga Vettri Kazhagam,84917,14223
ROYAPURAM,S2217,44842,Tamilaga Vettri Kazhagam,59091,14249
PERAMBALUR,S22147,76489,Tamilaga Vettri Kazhagam,90882,14393
GANGAVALLI,S2281,58763,All India Anna Dravida Munnetra Kazhagam,73167,14404
THOUSAND LIGHTS,S2220,43824,Tamilaga Vettri Kazhagam,58965,15141
MADURAI EAST,S22189,102230,Tamilaga Vettri Kazhagam,118777,16547
GOBICHETTIPALAYAM,S22106,65992,Tamilaga Vettri Kazhagam,82612,16620
DHARAPURAM,S22101,64373,All India Anna Dravida Munnetra Kazhagam,81100,16727
THANJAVUR,S22174,70750,Tamilaga Vettri Kazhagam,87705,16955
VILLIVAKKAM,S2214,49143,Tamilaga Vettri Kazhagam,66445,17302
MUSIRI,S22145,53839,Tamilaga Vettri Kazhagam,71281,17442
MADURAI NORTH,S22191,54815,Tamilaga Vettri Kazhagam,72853,18038
JAYANKONDAM,S22150,70502,Pattali Makkal Katchi,88992,18490
METTUR,S2285,67393,All India Anna Dravida Munnetra Kazhagam,86498,19105
MADURAI CENTRAL,S22193,44286,Tamilaga Vettri Kazhagam,63414,19128
ANNA NAGAR,S2221,50012,Tamilaga Vettri Kazhagam,71375,21363
MADURAI SOUTH,S22192,40886,Tamilaga Vettri Kazhagam,62415,21529
COIMBATORE,S22118,70508,Tamilaga Vettri Kazhagam,92500,21992
ERODE,S2299,74586,Tamilaga Vettri Kazhagam,96836,22250
THIRU-VI-KA-NAGAR,S2215,46792,Tamilaga Vettri Kazhagam,69125,22333
ARIYALUR,S22149,70721,All India Anna Dravida Munnetra Kazhagam,95219,24498
THIRUVALLUR,S224,67430,Tamilaga Vettri Kazhagam,92190,24760
KALASAPAKKAM,S2265,62889,All India Anna Dravida Munnetra Kazhagam,89629,26740
VIRUGAMPAKKAM,S2222,49006,Tamilaga Vettri Kazhagam,76092,27086
TIRUCHIRAPPALLI,S22141,63965,Tamilaga Vettri Kazhagam,91381,27416
SAIDAPET,S2223,52691,Tamilaga Vettri Kazhagam,81205,28514
MYLAPORE,S2225,41098,Tamilaga Vettri Kazhagam,70070,28972
OTTAPIDARAM,S22217,52542,Tamilaga Vettri Kazhagam,81625,29083
ALANDUR,S2228,82596,Tamilaga Vettri Kazhagam,112205,29609
KILPENNATHUR,S2264,60038,All India Anna Dravida Munnetra Kazhagam,90503,30465
PAPPIREDDIPATTI,S2260,68715,All India Anna Dravida Munnetra Kazhagam,101829,33114
SALEM,S2290,58002,Tamilaga Vettri Kazhagam,91371,33369
SRIRANGAM,S22139,69645,Tamilaga Vettri Kazhagam,103235,33590
TAMBARAM,S2231,83346,Tamilaga Vettri Kazhagam,118967,35621
CHENGALPATTU,S2232,101495,Tamilaga Vettri Kazhagam,137136,35641
THOOTHUKKUDI,S22214,62805,Tamilaga Vettri Kazhagam,100536,37731
THIRUPARANKUNDRAM,S22195,72763,Tamilaga Vettri Kazhagam,114316,41553
NANNILAM,S22169,61738,All India Anna Dravida Munnetra Kazhagam,103462,41724
TIRUPPATTUR,S2250,56835,Tamilaga Vettri Kazhagam,105098,48263
DR.RADHAKRISHNAN NAGAR,S2211,48132,Tamilaga Vettri Kazhagam,97800,49668
