constituency,constituency_code,runner_up_votes,winning_party,winning_votes,vote_difference
TIRUKKOYILUR,S2276,72748,All India Anna Dravida Munnetra Kazhagam,73033,285
KULITHALAI,S22137,67559,Dravida Munnetra Kazhagam,68138,579
PALANI,S22127,66293,All India Anna Dravida Munnetra Kazhagam,66986,693
KOVILPATTI,S22218,60800,Dravida Munnetra Kazhagam,61643,843
VIKRAVANDI,S2275,68817,Pattali Makkal Katchi,69727,910
UDHAGAMANDALAM,S22108,47512,Bharatiya Janata Party,48488,976
PAPANASAM,S22172,68219,Indian Union Muslim League,69284,1065
DINDIGUL,S22132,73358,Dravida Munnetra Kazhagam,74489,1131
KILLIYOOR,S22234,65123,Indian National Congress,66434,1311
THIRUMAYAM,S22181,56709,Dravida Munnetra Kazhagam,58201,1492
KARUR,S22135,69721,All India Anna Dravida Munnetra Kazhagam,71542,1821
PUDUKKOTTAI,S22180,64958,Dravida Munnetra Kazhagam,66825,1867
YERCAUD,S2283,85583,All India Anna Dravida Munnetra Kazhagam,87772,2189
COIMBATORE,S22120,57453,Dravida Munnetra Kazhagam,59724,2271
KILVELUR,S22164,53830,Communist Party of India (Marxist),56108,2278
VRIDDHACHALAM,S22152,66964,Desiya Murpokku Dravida Kazhagam,69351,2387
TIRUVANNAMALAI,S2263,85818,Dravida Munnetra Kazhagam,88273,2455
TITTAKUDI,S22151,60477,Dravida Munnetra Kazhagam,63106,2629
MELUR,S22188,57356,Indian National Congress,60080,2724
LALGUDI,S22143,58056,All India Anna Dravida Munnetra Kazhagam,60795,2739
COLACHAL,S22231,63374,Indian National Congress,66207,2833
VANIYAMBADI,S2247,70199,Indian Union Muslim League,73181,2982
PARAMAKUDI,S22209,55613,Dravida Munnetra Kazhagam,59161,3548
VILUPPURAM,S2274,68863,Dravida Munnetra Kazhagam,72982,4119
BARGUR,S2252,66999,All India Anna Dravida Munnetra Kazhagam,71240,4241
TIRUCHIRAPPALLI,S22140,83449,Dravida Munnetra Kazhagam,88235,4786
