candidate,party,constituency,vote_share
N. SUBRAMANIAN,Tamilaga Vettri Kazhagam,GANDHARVAKOTTAI,35.07678172988581178600
V. MUTHURAJA,Dravida Munnetra Kazhagam,PUDUKKOTTAI,35.10121967874439273400
SENTHILKUMAR. I.P,Dravida Munnetra Kazhagam,DINDIGUL,35.13234350828208127400
KAMARAJ. S,Amma Makkal Munnettra Kazagam,MANNARGUDI,35.24781040700669757900
D.VELAZHAGAN,All India Anna Dravida Munnetra Kazhagam,ANAIKATTU,35.27307020220231326100
THAMIMUN ANSARI. M,Dravida Munnetra Kazhagam,CHIDAMBARAM,35.47505926159543405900
KEERTHANA S,Tamilaga Vettri Kazhagam,SIVAKASI,35.50540779363053375200
GAJENDRAN. S.,Tamilaga Vettri Kazhagam,PENNAGARAM,35.52780037259583847200
AUSTIN,Dravida Munnetra Kazhagam,NAGERCOIL,35.60220093743631546800
SENTHILSELVAN.R,Dravida Munnetra Kazhagam,SIRKAZHI,35.64465597062579821200
M. RAJU,Dravida Munnetra Kazhagam,COONOOR,35.69458392859668727100
REDDIARPATTI V. NARAYANAN,Tamilaga Vettri Kazhagam,NANGUNERI,35.79044881314493909300
JEGADESHWARI. K,Tamilaga Vettri Kazhagam,RAJAPALAYAM,35.81466506392743962400
VETRIVEL. S,All India Anna Dravida Munnetra Kazhagam,SANKARI,35.82835272931630698300
SIVAKUMAR. K,Tamilaga Vettri Kazhagam,PERAMBALUR,35.82912155928942575300
NATHAM VISWANATHAN R,All India Anna Dravida Munnetra Kazhagam,NATHAM,35.84009366898051350700
M.R.K.PANNEERSELVAM,Dravida Munnetra Kazhagam,KURINJIPADI,35.84464748907531605600
GOWTHAM D,Dravida Munnetra Kazhagam,VANUR,35.84913517143020731900
ANNADURAI K,Dravida Munnetra Kazhagam,PATTUKKOTTAI,35.89920814171814199000
GANESAN C.V,Dravida Munnetra Kazhagam,TITTAKUDI,35.90586842973701878800
RAVISANKAR.M,Tamilaga Vettri Kazhagam,THURAIYUR,35.92931582314857991800
RAJENDRAN. T. M,Dravida Munnetra Kazhagam,KADAYANALLUR,35.96829930930700920500
SIVA.V.MEYYANATHAN,Dravida Munnetra Kazhagam,ALANGUDI,35.97513339206462658500
JAMAL MOHAMED YOUNOOS. Y.N,Indian National Congress,MAYILADUTHURAI,36.08757249510508805500
S.P.VELUMANI,All India Anna Dravida Munnetra Kazhagam,THONDAMUTHUR,36.09219142212888079200
GANESHKUMAR A,Pattali Makkal Katchi,GINGEE,36.09521259900670199200
S.VELU,All India Anna Dravida Munnetra Kazhagam,CHENGAM,36.14783220871398164700
G.KAPIL,Tamilaga Vettri Kazhagam,SHOLINGUR,36.16251005631536605000
K.SINDU,Tamilaga Vettri Kazhagam,GUDIYATTAM,36.17052855820775637800
DURAI. CHANDRASEKARAN,Dravida Munnetra Kazhagam,THIRUVAIYARU,36.20937279108193650900
KARUPPANAN. K.C,All India Anna Dravida Munnetra Kazhagam,BHAVANI,36.27875942646755279100
VASANTHAVEL G R,Dravida Munnetra Kazhagam,ULUNDURPETTAI,36.33589420004280411200
KUTTY (ALIAS) SUDHAKAR. A,Dravida Munnetra Kazhagam,VALPARAI,36.34290804421960899000
KAMALI.S,Tamilaga Vettri Kazhagam,AVANASHI,36.35967184801381692600
MANIAN. O.S,All India Anna Dravida Munnetra Kazhagam,VEDARANYAM,36.47728953987276224300
RAMACHANDRAN. K.K.S.S.R,Dravida Munnetra Kazhagam,ARUPPUKKOTTAI,36.49061447316058807400
ARUNMOZHITHEVAN . A,All India Anna Dravida Munnetra Kazhagam,BHUVANAGIRI,36.51874005113115623900
LOGESH TAMILSELVAN D,Tamilaga Vettri Kazhagam,RASIPURAM,36.54875903849912057800
KARTHIKEYAN K,Dravida Munnetra Kazhagam,RISHIVANDIYAM,36.64739884393063583800
VEERAMANI K.C.,All India Anna Dravida Munnetra Kazhagam,JOLARPET,36.90962345453009265800
NIVEDHA M MURUGAN,Dravida Munnetra Kazhagam,POOMPUHAR,36.97543360507741970800
LATHA. T,Communist Party of India (Marxist),KILVELUR,37.00152337490190388900
R.V. RANJITHKUMAR,Tamilaga Vettri Kazhagam,KANCHEEPURAM,37.08635619953149802900
MOHAN. K,All India Anna Dravida Munnetra Kazhagam,PANRUTI,37.19652507271062358000
NALLATHAMBI. A,All India Anna Dravida Munnetra Kazhagam,GANGAVALLI,37.20122636377040761900
M.H.JAWAHIRULLAH,Dravida Munnetra Kazhagam,NAGAPATTINAM,37.20775015529386886600
B.RAJKUMAR,Tamilaga Vettri Kazhagam,CUDDALORE,37.21858618117639643200
MUNIRATHINAM.J,Tamilaga Vettri Kazhagam,UTHIRAMERUR,37.28272561631506157700
VIGNESH K,Tamilaga Vettri Kazhagam,KINATHUKADAVU,37.30632994546818604300
G.HARI,All India Anna Dravida Munnetra Kazhagam,TIRUTTANI,37.34076499803180931200
RAJESH KUMAR. S,Indian National Congress,KILLIYOOR,37.42043777529937927400
VENKATACHALAM. G,All India Anna Dravida Munnetra Kazhagam,METTUR,37.42800891369723718700
R JAYARAMAKRISHNAN,Dravida Munnetra Kazhagam,MADATHUKULAM,37.42808726739584274000
SAMINATHAN. T,Dravida Munnetra Kazhagam,VEDASANDUR,37.49569639026457268500
KATHARBATCHA MUTHURAMALINGAM,Dravida Munnetra Kazhagam,RAMANATHAPURAM,37.51936222514058659100
DILIP C S,Tamilaga Vettri Kazhagam,NAMAKKAL,37.56494867700192667300
SENGOTTAIYAN.K.A,Tamilaga Vettri Kazhagam,GOBICHETTIPALAYAM,37.59756425018318185700
M.VIGNESH,Tamilaga Vettri Kazhagam,MUSIRI,37.68669934070349633300
RAJENDRAN.R,All India Anna Dravida Munnetra Kazhagam,NEYVELI,37.75980566417822016800
VINOTH,Tamilaga Vettri Kazhagam,KUMBAKONAM,37.76021662313719465400
SIVASANKAR. S.S,Dravida Munnetra Kazhagam,KUNNAM,37.83536453137875699400
VILWANATHAN. A.C.,Dravida Munnetra Kazhagam,AMBUR,37.88755726439790575900
SELVAM P,Tamilaga Vettri Kazhagam,VIRUDHUNAGAR,37.92661709328375995000
RAMACHANDRAN. T,Communist Party of India,THALLI,38.02397536405055421200
K.S.SRI GIRI PRASATH,Tamilaga Vettri Kazhagam,SINGANALLUR,38.07711970610723285700
V SENTHILBALAJI,Dravida Munnetra Kazhagam,COIMBATORE,38.16254416961130742000
CHELLASWAMY. R,Communist Party of India (Marxist),PADMANABHAPURAM,38.18116363434964415300
MANIMARAN.M,Dravida Munnetra Kazhagam,THIRUMANGALAM,38.22452160360204346700
GOVI.CHEZHIAAN,Dravida Munnetra Kazhagam,THIRUVIDAIMARUDUR,38.26431962631135615300
M.M.VINOTH KANNAN,Tamilaga Vettri Kazhagam,VELLORE,38.33157505235478436100
ANAND N,Tamilaga Vettri Kazhagam,THIYAGARAYANAGAR,38.55205782211337435000
PANNEERSELVAM.O,Dravida Munnetra Kazhagam,BODINAYAKANUR,38.61975814493174030500
SEENIVASA SETHUPATHY. R,Tamilaga Vettri Kazhagam,TIRUPPATTUR,38.65143016086412312800
MARIMUTHU.K,Communist Party of India,THIRUTHURAIPOONDI,38.76982672878605454600
JAYASANKARAN. A.P.,All India Anna Dravida Munnetra Kazhagam,ATTUR,38.81159503783077927600
KATHIRAVAN. S,Dravida Munnetra Kazhagam,MANACHANALLUR,38.82495948136142625600
MUKUNDHAN.P,Tamilaga Vettri Kazhagam,KRISHNAGIRI,38.82770515377029381200
VAITHILINGAM G.,Pattali Makkal Katchi,JAYANKONDAM,38.93799114409226945800
MUKKUR N. SUBRAMANIAN,All India Anna Dravida Munnetra Kazhagam,CHEYYAR,38.94505099519252370000
ANITHA R. RADHAKRISHNAN,Dravida Munnetra Kazhagam,TIRUCHENDUR,39.08787960225745767300
ELANGO. R,Dravida Munnetra Kazhagam,ARAVAKURICHI,39.11408343365842344200
THENRAL KUMAR. E,Tamilaga Vettri Kazhagam,KILVAITHINANKUPPAM,39.13013713057948728800
SOWMIYA ANBUMANI,Pattali Makkal Katchi,DHARMAPURI,39.27965160387125438500
C.VIJAYALAKSHMI,Tamilaga Vettri Kazhagam,KUMARAPALAYAM,39.53702441020046365700
BALAKRISHNAREDDY. P,All India Anna Dravida Munnetra Kazhagam,HOSUR,39.55322749036973035200
MOHAMED FARVAS. J,Tamilaga Vettri Kazhagam,ARANTHANGI,40.08318283806709352600
VELU. E.V,Dravida Munnetra Kazhagam,TIRUVANNAMALAI,40.11205729190333808900
KANIMOZHI SANTHOSH,Tamilaga Vettri Kazhagam,KAVUNDAMPALAYAM,40.23890700594245462100
K.RAMKUMAR,Tamilaga Vettri Kazhagam,PALLADAM,40.29613240580172350800
RAJENDRAN S,All India Anna Dravida Munnetra Kazhagam,ARIYALUR,40.37132511935147419200
PRAVEEN T.T,Indian National Congress,VILAVANCODE,40.44830129139583940700
V. GANDHIRAJ,Tamilaga Vettri Kazhagam,ARAKKONAM,40.46067785455742020400
RAMESH,Tamilaga Vettri Kazhagam,SRIRANGAM,40.48669529580171382600
JEGANATHMISHRA PLA,Tamilaga Vettri Kazhagam,CUMBUM,40.55296475348333602400
SABARI IYNGARAN G.,Tamilaga Vettri Kazhagam,PERIYAKULAM,40.55508998196099598000
SATHYABAMA.P,All India Anna Dravida Munnetra Kazhagam,DHARAPURAM,40.56135718001040291300
S.VIJAYAKUMAR,Tamilaga Vettri Kazhagam,GUMMIDIPOONDI,40.56390363062419900100
SIVAKUMAR. K,Tamilaga Vettri Kazhagam,SALEM,40.67637343862713087100
DR. T. ARUNKUMAR,Tamilaga Vettri Kazhagam,THIRUVALLUR,40.71492924903280513000
THANGAPANDI SR,Tamilaga Vettri Kazhagam,MADURAI WEST,40.78039583554756634600
V. SAMPATHKUMAR,Tamilaga Vettri Kazhagam,COIMBATORE,40.90947286485721488300
BALAMURUGAN. S,Tamilaga Vettri Kazhagam,TIRUPPUR,41.03851757927636335300
RAMACHANDRAN.S,All India Anna Dravida Munnetra Kazhagam,KILPENNATHUR,41.17703262204831885000
THAHIRA,Tamilaga Vettri Kazhagam,RANIPET,41.23680091206036971000
MANI. R,All India Anna Dravida Munnetra Kazhagam,OMALUR,41.40100841327977751500
THANGAM THENARASU,Dravida Munnetra Kazhagam,TIRUCHULI,41.42620689655172413800
ARUNRAJ K G,Tamilaga Vettri Kazhagam,TIRUCHENGODU,41.59646717803287952200
P .MATHANRAJA,Tamilaga Vettri Kazhagam,OTTAPIDARAM,41.62056323521163387200
AGRI KRISHNAMURTHY. S S,All India Anna Dravida Munnetra Kazhagam,KALASAPAKKAM,41.85786939526542659300
B.VIJAYARAJ,Tamilaga Vettri Kazhagam,THIRUPORUR,41.95549695322950051300
VIJAYAKUMAR (A) NAVALPATTU S. VIJI,Tamilaga Vettri Kazhagam,THIRUVERUMBUR,42.06186821984895801600
S. THIYAGARAJAN,Tamilaga Vettri Kazhagam,CHENGALPATTU,42.32461961050584858500
D.SARATHKUMAR,Tamilaga Vettri Kazhagam,TAMBARAM,42.66971295761614582000
MADHAR BADHURUDEEN,Tamilaga Vettri Kazhagam,MADURAI CENTRAL,42.67831424225700940900
KALAIVANAN POONDI  K,Dravida Munnetra Kazhagam,THIRUVARUR,42.87228915662650602400
M.HARISH,Tamilaga Vettri Kazhagam,ALANDUR,42.89673892265932637500
M.VIJAY BALAJI,Tamilaga Vettri Kazhagam,ERODE,42.93364850141271629300
MARAGATHAM VETRIVEL,All India Anna Dravida Munnetra Kazhagam,PAPPIREDDIPATTI,43.03464189568973168100
DHRAVIDAMANI.M,Dravida Munnetra Kazhagam,GUDALUR,43.36786982365892846500
KUMAR. R,Tamilaga Vettri Kazhagam,VELACHERY,43.51919487054622189800
SHANMUGAM C VE,All India Anna Dravida Munnetra Kazhagam,MAILAM,43.52212492270942443000
V.K.RAMKUMAR,Tamilaga Vettri Kazhagam,ANNA NAGAR,43.69746355738678454000
KARTHIKEYAN S,Tamilaga Vettri Kazhagam,MADURAI EAST,43.73780222855585750800
ANANTH MOGHAN K.K.,Tamilaga Vettri Kazhagam,ERODE,43.73803071364046973800
VIJAY TAMILAN PARTHIBAN. A,Tamilaga Vettri Kazhagam,SALEM,43.94907215899798943700
SABARINATHAN.R,Tamilaga Vettri Kazhagam,VIRUGAMPAKKAM,44.02682389154723400300
M.M.GOPISON,Tamilaga Vettri Kazhagam,MADURAI SOUTH,44.10860547126209338300
R. VIJAYSARAVANAN,Tamilaga Vettri Kazhagam,THANJAVUR,44.11764705882352941200
M.ABDUL WAHAB,Dravida Munnetra Kazhagam,PALAYAMKOTTAI,44.15014948510685416900
DR.PRABHU. TK,Tamilaga Vettri Kazhagam,KARAIKUDI,44.20958969236741441200
R. VAITHILINGAM,Dravida Munnetra Kazhagam,ORATHANADU,44.42254126899602670700
THENNARASU.K,Tamilaga Vettri Kazhagam,SRIPERUMBUDUR,44.58361523220412699900
KAMARAJ. R,All India Anna Dravida Munnetra Kazhagam,NANNILAM,44.70282228098373688700
PRABHAKAR.J.C.D,Tamilaga Vettri Kazhagam,THOUSAND LIGHTS,44.73009467168345673000
NIRMALKUMAR. R.,Tamilaga Vettri Kazhagam,THIRUPARANKUNDRAM,44.74802909193395598600
UDHAYANIDHI STALIN,Dravida Munnetra Kazhagam,CHEPAUK-THIRUVALLIKENI,44.75739123638456455500
I. PERIASAMY,Dravida Munnetra Kazhagam,ATHOOR,44.79241766905722585500
K.N.NEHRU,Dravida Munnetra Kazhagam,TIRUCHIRAPPALLI,44.93829801321130447600
RAJMOHAN,Tamilaga Vettri Kazhagam,EGMORE,45.01578446274365698400
A.KALLANAI,Tamilaga Vettri Kazhagam,MADURAI NORTH,45.02629773610793505600
V. S. BABU,Tamilaga Vettri Kazhagam,KOLATHUR,45.09456618002618839300
L.E. JOTHIMANI,Viduthalai Chiruthaigal Katchi,KATTUMANNARKOIL,45.33088528777839865900
P K SEKARBABU,Dravida Munnetra Kazhagam,HARBOUR,45.42570918070305755800
ANBALAGAN. K.P.,All India Anna Dravida Munnetra Kazhagam,PALACODU,45.63986912726352566200
SAKKARAPANI. R,Dravida Munnetra Kazhagam,ODDANCHATRAM,46.17456255207713367500
K.V. VIJAY DAMU,Tamilaga Vettri Kazhagam,ROYAPURAM,46.39828512202016395000
VENKATARAMANAN. P,Tamilaga Vettri Kazhagam,MYLAPORE,46.52907818372577924800
S.M.SUKUMAR,All India Anna Dravida Munnetra Kazhagam,ARCOT,46.77349348498135402500
AADHAV ARJUNA,Tamilaga Vettri Kazhagam,VILLIVAKKAM,46.97353165738200944500
J.KAMATCHI,Tamilaga Vettri Kazhagam,PALLAVARAM,47.09969437071035015200
M. R. PALLAVI,Tamilaga Vettri Kazhagam,THIRU-VI-KA-NAGAR,48.03582969083340861600
RHEVANTH CHARAN,Tamilaga Vettri Kazhagam,MADURAVOYAL,48.25633657028451575100
DR.RAVI.M.S,Tamilaga Vettri Kazhagam,PONNERI,48.69036544557554702200
SRINATH,Tamilaga Vettri Kazhagam,THOOTHUKKUDI,49.11094610965649302400
ECR P SARAVANAN,Tamilaga Vettri Kazhagam,SHOZHINGANALLUR,49.26994489095563330700
V.SATHYABAMA,Tamilaga Vettri Kazhagam,TIRUPPUR,49.87569128928060366600
C. JOSEPH VIJAY,Tamilaga Vettri Kazhagam,TIRUCHIRAPPALLI,50.07370145704218792000
ARUL PRAKASAM. M,Tamilaga Vettri Kazhagam,SAIDAPET,50.62624297853504654000
BALAMURUGAN.G,Tamilaga Vettri Kazhagam,AMBATTUR,51.28699237651258144700
LAKSHMANAN.S,Tamilaga Vettri Kazhagam,SALEM,51.36664007474179525400
DR.THIRUPATHI. N,Tamilaga Vettri Kazhagam,TIRUPPATTUR,51.79154860170013551800
VIJAYABASKAR. C,All India Anna Dravida Munnetra Kazhagam,VIRALIMALAI,51.86959655945194462600
R.RAMESH KUMAR,Tamilaga Vettri Kazhagam,AVADI,52.13335067412320631200
PRAKASAM.R,Tamilaga Vettri Kazhagam,POONAMALLEE,52.22147403316348002900
M.L.VIJAYPRABHU,Tamilaga Vettri Kazhagam,MADAVARAM,52.61410284034718423900
SENTHIL KUMAR. N,Tamilaga Vettri Kazhagam,THIRUVOTTIYUR,53.14986865487135903600
N. MARIE WILSON,Tamilaga Vettri Kazhagam,DR.RADHAKRISHNAN NAGAR,53.97172279063607165300
EDAPPADI PALANISWAMI. K,All India Anna Dravida Munnetra Kazhagam,EDAPPADI,57.66718422693146134000
C. JOSEPH VIJAY,Tamilaga Vettri Kazhagam,PERAMBUR,58.89159621105370283400
