constituency_code,candidate,party,constituency,state,winner_votes
S22125,JAYAKUMAR M.,Dravida Munnetra Kazhagam,UDUMALAIPETTAI,TAMIL NADU,68549
S22130,AYYANAR.R,Tamilaga Vettri Kazhagam,NILAKKOTTAI,TAMIL NADU,68580
S22205,KEERTHANA S,Tamilaga Vettri Kazhagam,SIVAKASI,TAMIL NADU,68709
S2293,P CHANDRASEKAR,Tamilaga Vettri Kazhagam,SENTHAMANGALAM,TAMIL NADU,68815
S2273,GOWTHAM D,Dravida Munnetra Kazhagam,VANUR,TAMIL NADU,68873
S22232,CHELLASWAMY. R,Communist Party of India (Marxist),PADMANABHAPURAM,TAMIL NADU,68938
S2215,M. R. PALLAVI,Tamilaga Vettri Kazhagam,THIRU-VI-KA-NAGAR,TAMIL NADU,69125
S22223,PAUL MANOJ PANDIAN,Dravida Munnetra Kazhagam,ALANGULAM,TAMIL NADU,69170
S2235,MARAGATHAM KUMARAVEL.K,All India Anna Dravida Munnetra Kazhagam,MADURANTAKAM,TAMIL NADU,69284
S22172,A.M. SHAHJAHAN,Indian Union Muslim League,PAPANASAM,TAMIL NADU,69284
S22152,PREMALLATHA VIJAYAKANT,Desiya Murpokku Dravida Kazhagam,VRIDDHACHALAM,TAMIL NADU,69351
S22210,RAJEEV,Tamilaga Vettri Kazhagam,TIRUVADANAI,TAMIL NADU,69551
S2275,SIVAKUMAR C,Pattali Makkal Katchi,VIKRAVANDI,TAMIL NADU,69727
S22158,THAMIMUN ANSARI. M,Dravida Munnetra Kazhagam,CHIDAMBARAM,TAMIL NADU,69739
S2298,M.VIJAY BALAJI,Tamilaga Vettri Kazhagam,ERODE,TAMIL NADU,69747
S2240,DR M SUDHAKAR,Tamilaga Vettri Kazhagam,KATPADI,TAMIL NADU,69868
S22230,AUSTIN,Dravida Munnetra Kazhagam,NAGERCOIL,TAMIL NADU,69880
S22228,DR.SATHISH CHRISTOPHER,Tamilaga Vettri Kazhagam,RADHAPURAM,TAMIL NADU,69947
S22187,ELANGOVAN.D,Tamilaga Vettri Kazhagam,MANAMADURAI,TAMIL NADU,69971
S2225,VENKATARAMANAN. P,Tamilaga Vettri Kazhagam,MYLAPORE,TAMIL NADU,70070
S2251,N ELAIYARAJA,Tamilaga Vettri Kazhagam,UTHANGARAI,TAMIL NADU,70201
S22103,JAYAKUMAR. S,All India Anna Dravida Munnetra Kazhagam,PERUNDURAI,TAMIL NADU,70302
S22126,R JAYARAMAKRISHNAN,Dravida Munnetra Kazhagam,MADATHUKULAM,TAMIL NADU,70458
S22233,PRAVEEN T.T,Indian National Congress,VILAVANCODE,TAMIL NADU,70755
S22134,ELANGO. R,Dravida Munnetra Kazhagam,ARAVAKURICHI,TAMIL NADU,70827
S22155,B.RAJKUMAR,Tamilaga Vettri Kazhagam,CUDDALORE,TAMIL NADU,70856
S22102,NSN NATARAJ,All India Anna Dravida Munnetra Kazhagam,KANGAYAM,TAMIL NADU,71122
S2252,E.C. GOVINDARASAN,All India Anna Dravida Munnetra Kazhagam,BARGUR,TAMIL NADU,71240
S22145,M.VIGNESH,Tamilaga Vettri Kazhagam,MUSIRI,TAMIL NADU,71281
S2221,V.K.RAMKUMAR,Tamilaga Vettri Kazhagam,ANNA NAGAR,TAMIL NADU,71375
S22160,SENTHILSELVAN.R,Dravida Munnetra Kazhagam,SIRKAZHI,TAMIL NADU,71449
S22135,M.R. VIJAYABHASKAR,All India Anna Dravida Munnetra Kazhagam,KARUR,TAMIL NADU,71542
S22107,V.P.TAMILSELVI,Tamilaga Vettri Kazhagam,BHAVANISAGAR,TAMIL NADU,72391
S22215,ANITHA R. RADHAKRISHNAN,Dravida Munnetra Kazhagam,TIRUCHENDUR,TAMIL NADU,72723
S22191,A.KALLANAI,Tamilaga Vettri Kazhagam,MADURAI NORTH,TAMIL NADU,72853
S2274,LAKSHMANAN R,Dravida Munnetra Kazhagam,VILUPPURAM,TAMIL NADU,72982
S2243,M.M.VINOTH KANNAN,Tamilaga Vettri Kazhagam,VELLORE,TAMIL NADU,73032
S2276,PALANISAMY S,All India Anna Dravida Munnetra Kazhagam,TIRUKKOYILUR,TAMIL NADU,73033
S2281,NALLATHAMBI. A,All India Anna Dravida Munnetra Kazhagam,GANGAVALLI,TAMIL NADU,73167
S2247,SYED FAROOQ BASHA SSB,Indian Union Muslim League,VANIYAMBADI,TAMIL NADU,73181
S22183,MOHAMED FARVAS. J,Tamilaga Vettri Kazhagam,ARANTHANGI,TAMIL NADU,73244
S22186,KULANTHAI RANI A,Tamilaga Vettri Kazhagam,SIVAGANGA,TAMIL NADU,73737
S2238,V. GANDHIRAJ,Tamilaga Vettri Kazhagam,ARAKKONAM,TAMIL NADU,73776
S22114,BALAMURUGAN. S,Tamilaga Vettri Kazhagam,TIRUPPUR,TAMIL NADU,73793
S22166,MARIMUTHU.K,Communist Party of India,THIRUTHURAIPOONDI,TAMIL NADU,74062
S2248,VILWANATHAN. A.C.,Dravida Munnetra Kazhagam,AMBUR,TAMIL NADU,74102
S2245,THENRAL KUMAR. E,Tamilaga Vettri Kazhagam,KILVAITHINANKUPPAM,TAMIL NADU,74305
S22198,MAHARAJAN.A,Dravida Munnetra Kazhagam,ANDIPATTI,TAMIL NADU,74324
S22132,SENTHILKUMAR. I.P,Dravida Munnetra Kazhagam,DINDIGUL,TAMIL NADU,74489
S2254,SRINIVASAN.P.S,Dravida Munnetra Kazhagam,VEPPANAHALLI,TAMIL NADU,74691
S2292,LOGESH TAMILSELVAN D,Tamilaga Vettri Kazhagam,RASIPURAM,TAMIL NADU,74808
S22227,REDDIARPATTI V. NARAYANAN,Tamilaga Vettri Kazhagam,NANGUNERI,TAMIL NADU,74952
S22229,THALAVAI SUNDARAM. N,All India Anna Dravida Munnetra Kazhagam,KANNIYAKUMARI,TAMIL NADU,75045
S22208,THANGAM THENARASU,Dravida Munnetra Kazhagam,TIRUCHULI,TAMIL NADU,75085
