party,silver_medals
Dravida Munnetra Kazhagam,75
Tamilaga Vettri Kazhagam,75
All India Anna Dravida Munnetra Kazhagam,43
Indian National Congress,10
Bharatiya Janata Party,8
Pattali Makkal Katchi,4
Viduthalai Chiruthaigal Katchi,4
Desiya Murpokku Dravida Kazhagam,4
Independent,1
Communist Party of India (Marxist),1
Communist Party of India,1
Amma Makkal Munnettra Kazagam,1
