constituency_code,constituency,winner,winner_party,winner_votes,runner_up,runner_up_party,runner_up_votes,vote_difference
S22190,SHOLAVANDAN,KARUPPAIAH.M.V,Tamilaga Vettri Kazhagam,63907,VENKATESAN.A,Dravida Munnetra Kazhagam,61229,2678
S22188,MELUR,P.VISWANATHAN,Indian National Congress,60080,A.MADURAIVEERAN,Tamilaga Vettri Kazhagam,57356,2724
S22143,LALGUDI,LEEMAROSE MARTIN,All India Anna Dravida Munnetra Kazhagam,60795,KU PA KRISHNAN,Tamilaga Vettri Kazhagam,58056,2739
S22231,COLACHAL,THARAHAI CUTHBERT,Indian National Congress,66207,PREM ALEX LAWRENCE,Tamilaga Vettri Kazhagam,63374,2833
S22125,UDUMALAIPETTAI,JAYAKUMAR M.,Dravida Munnetra Kazhagam,68549,RADHAKRISHNAN K.,All India Anna Dravida Munnetra Kazhagam,65667,2882
S22130,NILAKKOTTAI,AYYANAR.R,Tamilaga Vettri Kazhagam,68580,NAGAJOTHI.S,Dravida Munnetra Kazhagam,65655,2925
S2247,VANIYAMBADI,SYED FAROOQ BASHA SSB,Indian Union Muslim League,73181,SYED BHURHANUDEEN,Tamilaga Vettri Kazhagam,70199,2982
S22177,PERAVURANI,ASHOKKUMAR. N,Dravida Munnetra Kazhagam,60919,GOVI.ELANGO,All India Anna Dravida Munnetra Kazhagam,57757,3162
S2258,PENNAGARAM,GAJENDRAN. S.,Tamilaga Vettri Kazhagam,81240,SELVAM. V.,Pattali Makkal Katchi,78075,3165
S2261,HARUR,SAMPATHKUMAR. V,All India Anna Dravida Munnetra Kazhagam,75523,SHANMUGAM. A,Dravida Munnetra Kazhagam,72194,3329
S2269,VANDAVASI,AMBETHKUMAR. S,Dravida Munnetra Kazhagam,63805,RANI. P,All India Anna Dravida Munnetra Kazhagam,60472,3333
S2279,SANKARAPURAM,RAKESH R,All India Anna Dravida Munnetra Kazhagam,80250,UDHAYASURIYAN T,Dravida Munnetra Kazhagam,76810,3440
S22136,KRISHNARAYAPURAM,SATHYA. M,Tamilaga Vettri Kazhagam,62378,DR. DHIVYA. S,All India Anna Dravida Munnetra Kazhagam,58875,3503
S22209,PARAMAKUDI,ADVOCATE. KATHIRAVAN. K.K,Dravida Munnetra Kazhagam,59161,GOPIRAJAN. G,Tamilaga Vettri Kazhagam,55613,3548
S2291,VEERAPANDI,PALANIVEL. M.S,Tamilaga Vettri Kazhagam,79907,SRI BALAJI SUGUMAR. S,All India Anna Dravida Munnetra Kazhagam,75836,4071
S2274,VILUPPURAM,LAKSHMANAN R,Dravida Munnetra Kazhagam,72982,MOHANRAJ N,Tamilaga Vettri Kazhagam,68863,4119
S2252,BARGUR,E.C. GOVINDARASAN,All India Anna Dravida Munnetra Kazhagam,71240,E. MURALIDHARAN,Tamilaga Vettri Kazhagam,66999,4241
S22107,BHAVANISAGAR,V.P.TAMILSELVI,Tamilaga Vettri Kazhagam,72391,A.BANNARI,All India Anna Dravida Munnetra Kazhagam,67822,4569
S22123,POLLACHI,K. NITHYANANDHAN,Dravida Munnetra Kazhagam,62013,POLLACHI V. JAYARAMAN,All India Anna Dravida Munnetra Kazhagam,57386,4627
S22140,TIRUCHIRAPPALLI,K.N.NEHRU,Dravida Munnetra Kazhagam,88235,G.RAMAMOORTHI,Tamilaga Vettri Kazhagam,83449,4786
S22116,SULUR,NM.SUKUMAR,Tamilaga Vettri Kazhagam,90531,V.P.KANDASAMY,All India Anna Dravida Munnetra Kazhagam,85741,4790
S2278,RISHIVANDIYAM,KARTHIKEYAN K,Dravida Munnetra Kazhagam,89711,ASHOK KUMAR G,Tamilaga Vettri Kazhagam,84849,4862
