constituency_code,constituency,winner,winner_party,winner_votes,runner_up,runner_up_party,runner_up_votes,vote_difference
S22193,MADURAI CENTRAL,MADHAR BADHURUDEEN,Tamilaga Vettri Kazhagam,63414,PALANIVEL THIAGA RAJAN,Dravida Munnetra Kazhagam,44286,19128
S22121,SINGANALLUR,K.S.SRI GIRI PRASATH,Tamilaga Vettri Kazhagam,84163,V.SRINIDHI,Indian National Congress,65024,19139
S22199,PERIYAKULAM,SABARI IYNGARAN G.,Tamilaga Vettri Kazhagam,85656,SAKTHIVEL P.,Viduthalai Chiruthaigal Katchi,66335,19321
S22134,ARAVAKURICHI,ELANGO. R,Dravida Munnetra Kazhagam,70827,KARTHIKEYAN. P,Tamilaga Vettri Kazhagam,51445,19382
S2245,KILVAITHINANKUPPAM,THENRAL KUMAR. E,Tamilaga Vettri Kazhagam,74305,JEGAN MOORTHY. M,All India Anna Dravida Munnetra Kazhagam,54050,20255
S2259,DHARMAPURI,SOWMIYA ANBUMANI,Pattali Makkal Katchi,93713,SIVAN. M.,Tamilaga Vettri Kazhagam,72817,20896
S22233,VILAVANCODE,PRAVEEN T.T,Indian National Congress,70755,MICHAEL KUMAR K,Tamilaga Vettri Kazhagam,49785,20970
S2268,CHEYYAR,MUKKUR N. SUBRAMANIAN,All India Anna Dravida Munnetra Kazhagam,86680,DUSI K MOHAN,Tamilaga Vettri Kazhagam,65599,21081
S2221,ANNA NAGAR,V.K.RAMKUMAR,Tamilaga Vettri Kazhagam,71375,N.CHITRARASU,Dravida Munnetra Kazhagam,50012,21363
S22192,MADURAI SOUTH,M.M.GOPISON,Tamilaga Vettri Kazhagam,62415,M.BOOMINATHAN,Dravida Munnetra Kazhagam,40886,21529
S22118,COIMBATORE,V. SAMPATHKUMAR,Tamilaga Vettri Kazhagam,92500,DURAI. SENTHAMIL SELVAN B.E,Dravida Munnetra Kazhagam,70508,21992
S2299,ERODE,ANANTH MOGHAN K.K.,Tamilaga Vettri Kazhagam,96836,S. MUTHUSAMY,Dravida Munnetra Kazhagam,74586,22250
S2215,THIRU-VI-KA-NAGAR,M. R. PALLAVI,Tamilaga Vettri Kazhagam,69125,K. S. RAVICHANDRAN,Dravida Munnetra Kazhagam,46792,22333
S22129,ATHOOR,I. PERIASAMY,Dravida Munnetra Kazhagam,106240,N. KALAISELVI,Tamilaga Vettri Kazhagam,83872,22368
S22109,GUDALUR,DHRAVIDAMANI.M,Dravida Munnetra Kazhagam,65590,PON.JAYASEELAN,All India Anna Dravida Munnetra Kazhagam,42757,22833
S2238,ARAKKONAM,V. GANDHIRAJ,Tamilaga Vettri Kazhagam,73776,EZHIL CAROLINE,Viduthalai Chiruthaigal Katchi,50655,23121
S22196,THIRUMANGALAM,MANIMARAN.M,Dravida Munnetra Kazhagam,88291,UDHAYAKUMAR.R.B,All India Anna Dravida Munnetra Kazhagam,64484,23807
S2298,ERODE,M.VIJAY BALAJI,Tamilaga Vettri Kazhagam,69747,GOPINATH PALANIYAPPAN,Indian National Congress,45781,23966
S22149,ARIYALUR,RAJENDRAN S,All India Anna Dravida Munnetra Kazhagam,95219,LATHA BALU,Dravida Munnetra Kazhagam,70721,24498
S224,THIRUVALLUR,DR. T. ARUNKUMAR,Tamilaga Vettri Kazhagam,92190,V.G. RAAJENDRAN,Dravida Munnetra Kazhagam,67430,24760
S2265,KALASAPAKKAM,AGRI KRISHNAMURTHY. S S,All India Anna Dravida Munnetra Kazhagam,89629,SARAVANAN. P.S.T,Dravida Munnetra Kazhagam,62889,26740
S2222,VIRUGAMPAKKAM,SABARINATHAN.R,Tamilaga Vettri Kazhagam,76092,PRABHAKARA RAJA.A.M.V,Dravida Munnetra Kazhagam,49006,27086
S22141,TIRUCHIRAPPALLI,C. JOSEPH VIJAY,Tamilaga Vettri Kazhagam,91381,S. INIGO IRUDAYARAJ,Dravida Munnetra Kazhagam,63965,27416
S2255,HOSUR,BALAKRISHNAREDDY. P,All India Anna Dravida Munnetra Kazhagam,109867,VENDARKARASAN.S,Tamilaga Vettri Kazhagam,82064,27803
S221,GUMMIDIPOONDI,S.VIJAYAKUMAR,Tamilaga Vettri Kazhagam,94320,SUDHAKAR.V,All India Anna Dravida Munnetra Kazhagam,66375,27945
S2296,TIRUCHENGODU,ARUNRAJ K G,Tamilaga Vettri Kazhagam,79500,SRMT SEKAR (A) CHANDRASEKAR R,All India Anna Dravida Munnetra Kazhagam,51328,28172
S2223,SAIDAPET,ARUL PRAKASAM. M,Tamilaga Vettri Kazhagam,81205,SUBRAMANIAN. MA,Dravida Munnetra Kazhagam,52691,28514
S2225,MYLAPORE,VENKATARAMANAN. P,Tamilaga Vettri Kazhagam,70070,VELU. DHA,Dravida Munnetra Kazhagam,41098,28972
S22217,OTTAPIDARAM,P .MATHANRAJA,Tamilaga Vettri Kazhagam,81625,P.M.RAMAJEYAM,Dravida Munnetra Kazhagam,52542,29083
S2228,ALANDUR,M.HARISH,Tamilaga Vettri Kazhagam,112205,T.M.ANBARASAN,Dravida Munnetra Kazhagam,82596,29609
S2271,MAILAM,SHANMUGAM C VE,All India Anna Dravida Munnetra Kazhagam,82353,VIJAY NIRANJAN A,Tamilaga Vettri Kazhagam,52312,30041
S2264,KILPENNATHUR,RAMACHANDRAN.S,All India Anna Dravida Munnetra Kazhagam,90503,PITCHANDI.K,Dravida Munnetra Kazhagam,60038,30465
S22159,KATTUMANNARKOIL,L.E. JOTHIMANI,Viduthalai Chiruthaigal Katchi,85179,A. SOZHAN,Pattali Makkal Katchi,52116,33063
S2260,PAPPIREDDIPATTI,MARAGATHAM VETRIVEL,All India Anna Dravida Munnetra Kazhagam,101829,PALANIAPPAN. P,Dravida Munnetra Kazhagam,68715,33114
S2226,VELACHERY,KUMAR. R,Tamilaga Vettri Kazhagam,80430,ASHOK. M.K,All India Anna Dravida Munnetra Kazhagam,47125,33305
S2290,SALEM,VIJAY TAMILAN PARTHIBAN. A,Tamilaga Vettri Kazhagam,91371,LOGANATHAN. M,Dravida Munnetra Kazhagam,58002,33369
S22139,SRIRANGAM,RAMESH,Tamilaga Vettri Kazhagam,103235,S. DURAIRAJ,Dravida Munnetra Kazhagam,69645,33590
S22175,ORATHANADU,R. VAITHILINGAM,Dravida Munnetra Kazhagam,86759,DR. K. ARVIND,Tamilaga Vettri Kazhagam,51731,35028
S2231,TAMBARAM,D.SARATHKUMAR,Tamilaga Vettri Kazhagam,118967,R.S.KIRUTHIKA DEVI,Dravida Munnetra Kazhagam,83346,35621
S2232,CHENGALPATTU,S. THIYAGARAJAN,Tamilaga Vettri Kazhagam,137136,KARTHIKDHANDAPANI,Dravida Munnetra Kazhagam,101495,35641
S22214,THOOTHUKKUDI,SRINATH,Tamilaga Vettri Kazhagam,100536,P. GEETHA JEEVAN,Dravida Munnetra Kazhagam,62805,37731
S22115,PALLADAM,K.RAMKUMAR,Tamilaga Vettri Kazhagam,121297,K.P.PARAMASIVAM,All India Anna Dravida Munnetra Kazhagam,83400,37897
S2257,PALACODU,ANBALAGAN. K.P.,All India Anna Dravida Munnetra Kazhagam,102807,GOPI. R.,Tamilaga Vettri Kazhagam,63765,39042
S2233,THIRUPORUR,B.VIJAYARAJ,Tamilaga Vettri Kazhagam,110095,R. PANNEERDOSS,Viduthalai Chiruthaigal Katchi,70744,39351
S22195,THIRUPARANKUNDRAM,NIRMALKUMAR. R.,Tamilaga Vettri Kazhagam,114316,KIRUTHIGA THANGAPANDI,Dravida Munnetra Kazhagam,72763,41553
S22169,NANNILAM,KAMARAJ. R,All India Anna Dravida Munnetra Kazhagam,103462,MOHAMED MUBARAK,Dravida Munnetra Kazhagam,61738,41724
S22117,KAVUNDAMPALAYAM,KANIMOZHI SANTHOSH,Tamilaga Vettri Kazhagam,146466,ARUNKUMAR PRG,All India Anna Dravida Munnetra Kazhagam,104326,42140
S2242,ARCOT,S.M.SUKUMAR,All India Anna Dravida Munnetra Kazhagam,105608,G.VIJAY MOHAN,Tamilaga Vettri Kazhagam,62888,42720
S22128,ODDANCHATRAM,SAKKARAPANI. R,Dravida Munnetra Kazhagam,93099,VIDIYAL S. SEKAR,Bharatiya Janata Party,49850,43249
S22184,KARAIKUDI,DR.PRABHU. TK,Tamilaga Vettri Kazhagam,101358,MANGUDI. S,Indian National Congress,55284,46074
S2250,TIRUPPATTUR,DR.THIRUPATHI. N,Tamilaga Vettri Kazhagam,105098,NALLATHAMBI. A,Dravida Munnetra Kazhagam,56835,48263
S2211,DR.RADHAKRISHNAN NAGAR,N. MARIE WILSON,Tamilaga Vettri Kazhagam,97800,J. JOHN EBENEZER,Dravida Munnetra Kazhagam,48132,49668
S2210,THIRUVOTTIYUR,SENTHIL KUMAR. N,Tamilaga Vettri Kazhagam,110067,SUNDARARAJ. L,Communist Party of India (Marxist),56503,53564
S2212,PERAMBUR,C. JOSEPH VIJAY,Tamilaga Vettri Kazhagam,120365,R.D. SHEKAR,Dravida Munnetra Kazhagam,66650,53715
S2229,SRIPERUMBUDUR,THENNARASU.K,Tamilaga Vettri Kazhagam,147611,K. SELVAPERUNTHAGAI,Indian National Congress,93365,54246
S2230,PALLAVARAM,J.KAMATCHI,Tamilaga Vettri Kazhagam,133611,D.MURUGESAN,Desiya Murpokku Dravida Kazhagam,78918,54693
S222,PONNERI,DR.RAVI.M.S,Tamilaga Vettri Kazhagam,110439,DURAI CHANDRASEKAR,Indian National Congress,54671,55768
S228,AMBATTUR,BALAMURUGAN.G,Tamilaga Vettri Kazhagam,133339,DR A.P. POORNIMA,Dravida Munnetra Kazhagam,74558,58781
S227,MADURAVOYAL,RHEVANTH CHARAN,Tamilaga Vettri Kazhagam,141725,GANAPATHY. K,Dravida Munnetra Kazhagam,80216,61509
S22179,VIRALIMALAI,VIJAYABASKAR. C,All India Anna Dravida Munnetra Kazhagam,105773,MURUGESAN. P,Tamilaga Vettri Kazhagam,43700,62073
S22113,TIRUPPUR,V.SATHYABAMA,Tamilaga Vettri Kazhagam,131401,M.S.M.ANANDAN,All India Anna Dravida Munnetra Kazhagam,61409,69992
S225,POONAMALLEE,PRAKASAM.R,Tamilaga Vettri Kazhagam,161309,KRISHNASWAMY.A,Dravida Munnetra Kazhagam,88569,72740
S2288,SALEM,LAKSHMANAN.S,Tamilaga Vettri Kazhagam,120407,KARTHE.M,Pattali Makkal Katchi,45540,74867
S226,AVADI,R.RAMESH KUMAR,Tamilaga Vettri Kazhagam,180384,S.M.NASAR,Dravida Munnetra Kazhagam,104073,76311
S229,MADAVARAM,M.L.VIJAYPRABHU,Tamilaga Vettri Kazhagam,190462,S.SUDHARSANAM,Dravida Munnetra Kazhagam,95477,94985
S2227,SHOZHINGANALLUR,ECR P SARAVANAN,Tamilaga Vettri Kazhagam,220382,S. ARAVIND RAMESH,Dravida Munnetra Kazhagam,123602,96780
S2286,EDAPPADI,EDAPPADI PALANISWAMI. K,All India Anna Dravida Munnetra Kazhagam,148933,PREMKUMAR. K,Independent,50823,98110
