party,party_votes,vote_share
Tamilaga Vettri Kazhagam,17226209,34.92451289704686273100
Dravida Munnetra Kazhagam,11929144,24.18521355910224938400
All India Anna Dravida Munnetra Kazhagam,10462146,21.21101357285211428300
Naam Tamilar Katchi,1972537,3.99913259478055371700
Indian National Congress,1661312,3.36815328143404724800
Bharatiya Janata Party,1467024,2.97425269879619344900
Pattali Makkal Katchi,1070745,2.17083442804789161900
Desiya Murpokku Dravida Kazhagam,589500,1.19515561159214575800
Viduthalai Chiruthaigal Katchi,540056,1.09491256823411004100
Independent,524744,1.06386893341697868300
Amma Makkal Munnettra Kazagam,425345,0.86234684243029896100
Communist Party of India,326488,0.66192360528837401900
Communist Party of India (Marxist),293817,0.59568623635482525900
None of the Above,199801,0.40507766980784107600
Indian Union Muslim League,142465,0.28883434131547929700
All India Puratchi Thalaivar Makkal Munnettra Kazhagam,133473,0.27060391000176161300
Puthiya Tamilagam,93652,0.18987059090216731900
Tamizhaga Vaazhvurimai Katchi,74809,0.15166818684918885800
Bahujan Samaj Party,53369,0.10820061040722854400
Aanaithinthiya Jananayaka Pathukappu Kazhagam,22964,0.04655734260322652300
Republican Party of India (Athawale),11047,0.02239674985794475700
Naadaalum Makkal Katchi,9715,0.01969624557526326700
Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,5624,0.01140212919354406700
Samaniya Makkal Nala Katchi,5144,0.01042897449708226900
Anti Corruption Dynamic Party,4558,0.009240914805151824195700
Naam Indiar Party,4474,0.009070612733271009533000
All India Forward Bloc,4455,0.009032092026536063359300
Party for the Rights of Other backward Classes,4101,0.008314390437895487281000
Thamizhaka Padaippalar Makkal Katchi,4020,0.008150170582867558856200
Communist Party of India (Marxist-Leninist) (Liberation),3983,0.008075156575015295254800
Vishwa Tamil Kazhagam,3576,0.007250002488640395639300
Ganasangam Party of India,3235,0.006558657173028993258700
Anna Puratchi Thalaivar Amma Dravida Munnetra Kazhagam,3034,0.006151148643885615315900
Puthiya Makkal Tamil Desam Katchi,2651,0.005374652292333805604000
Thakkam Katchi,2416,0.004898211972191050297700
Desiya Makkal Sakthi Katchi,2279,0.004620457402575912097900
Indhu Dravida Makkal Katchi,2112,0.004281880664431911518500
Tamilar Makkal Katchi,2056,0.004168345949844701743400
Rashtriya Samaj Dal (R),1760,0.003568233887026592932100
Republican Party of India,1692,0.003430370305027838205200
Tamilaga Makkal Nala Katchi,1555,0.003152615735412700005300
Nam Naadu Nam Makkal Nam Ethirkaalam Katchi,1466,0.002972176635443741612700
Anaithinthiya Anna Dravida Makkal Seyal katchi,1462,0.002964067012973226628800
All India Jananayaka Makkal Kazhagam,1415,0.002868778948944675567600
All India Youth Development Party,1203,0.002438968958007381418900
Anna Makkal Katchi,1197,0.002426804524301608943000
Thamizh Desiya Munnetra Kazhagam,1109,0.002248392829950279296400
Vanchit Bahujan Aaghadi,1027,0.002082145569304722125700
Makkal Arasial Katchi,1008,0.002043624862569775952000
Tamizhaga Murpokku Makkal Katchi,998,0.002023350806393488492200
Ezhuchi Tamilargal Munnetra Kazhagam,802,0.001625979305338254279300
Communist Party of India (Marxist-Leninist) Red Star,790,0.001601650437926709327500
Bahujan Dravida Party,780,0.001581376381750421867600
Republican Party of India (A),763,0.001546910486250733185900
Namadhu Makkal Katchi,756,0.001532718646927331964000
Samata Party,712,0.001443512799751667140700
Socialist Unity Centre Of India (COMMUNIST),642,0.001301594406517654921800
Tamil Telugu National Party,642,0.001301594406517654921800
Vada Tamil Nadu Munnetra Katchi,635,0.001287402567194253699900
Nationalist Janshakti Party,588,0.001192114503165702638700
Jebamani Janata,586,0.001188059691930445146700
All India Uzhavargal Uzhaippalargal Katchi,578,0.001171840446989415178800
Mannin Maithargal Kazhagam,524,0.001062360543637462895700
Our Mahathma National Party,508,0.001029922053755402959900
Thamizh Perarasu Katchi,505,0.001023839836902516722000
Viro Ke Vir Indian Party,498,0.001009647997579115500100
Dravida Jananayaga Makkal Katchi,486,0.000985319130167570548300
New Generation Peoples Party,476,0.000965045073991283088500
Makkal Nalvaazhvuk Katchi,461,0.000934633989726851898700
Indian National League,457,0.000926524367256336914800
Akila Inthiya Makkal Marumalarchi Kazhakam,425,0.000861647387492217043300
MAKKAL SAKTHI KATCHI,424,0.000859619981874588297300
Rashtriya Janata Dal,402,0.000815017058286755885600
Tamil Nadu Ilangyar Katchi,355,0.000719728994258204824400
Ahimsa Socialist Party,321,0.000650797203258827460900
Tamil Manila Murpokku Dravida Kazhagam,319,0.000646742392023569968900
Democratic National Allegiance,311,0.000630523147082540001100
Makkal Munnetra Katchi,305,0.000618358713376767525200
Anna MGR Dravida Makkal Kalgam,295,0.000598084657200480065300
Parivartan Rajniti Party,291,0.000589975034729965081400
Makkal Nala Kazhagam,285,0.000577810601024192605500
Ahila India Dhayaga Makkal Munnetra Katchi,283,0.000573755789788935113500
National Maha Sabha Party,278,0.000563618761700791383600
Desa Makkal Munnetrak Kazhagam,278,0.000563618761700791383600
Bharat Jan Chikitsa Party,276,0.000559563950465533891600
Periyar Ambedkar Munnetra Kazhagam (PAMK),274,0.000555509139230276399700
Kamarajar Deseeya Congress,244,0.000494686970701414020100
Vidial Valarchi Perani,235,0.000476440320142755306300
Anaithindia Samudaya Munnetra Kazhagam,224,0.000454138858348839100400
India Suyarajya Party,224,0.000454138858348839100400
