party
Aanaithinthiya Jananayaka Pathukappu Kazhagam
Ahila India Dhayaga Makkal Munnetra Katchi
Ahimsa Socialist Party
Akila Inthiya Makkal Marumalarchi Kazhakam
All India Anna Dravida Munnetra Kazhagam
All India Forward Bloc
All India Jananayaka Makkal Kazhagam
All India Majlis-E-Inquilab-E-Millat
All India Puratchi Thalaivar Makkal Munnettra Kazhagam
All India Uzhavargal Uzhaippalargal Katchi
All India Youth Development Party
ALL PENSIONERS PARTY
Amma Makkal Munnettra Kazagam
Anaithindia Samudaya Munnetra Kazhagam
Anaithinthiya Anna Dravida Makkal Seyal katchi
Anna Makkal Katchi
Anna MGR Dravida Makkal Kalgam
Anna Puratchi Thalaivar Amma Dravida Munnetra Kazhagam
Anti Corruption Dynamic Party
Bahujan Dravida Party
Bahujan Samaj Party
Bharatha Makkal Katchi
Bharatiya Janata Party
Bharat Jan Chikitsa Party
Communist Party of India
Communist Party of India (Marxist)
Communist Party of India (Marxist-Leninist) (Liberation)
Communist Party of India (Marxist-Leninist) Red Star
Democratic National Allegiance
Desa Makkal Munnetrak Kazhagam
Desiya Makkal Sakthi Katchi
Desiya Murpokku Dravida Kazhagam
Dravida Jananayaga Makkal Katchi
Dravida Munnetra Kazhagam
Ezhuchi Tamilargal Munnetra Kazhagam
Ganasangam Party of India
Independent
Indhia Kudiarasu Katchi
Indhu Dravida Makkal Katchi
Indian Christian Front
Indian National Congress
Indian National League
Indian Union Muslim League
India Suyarajya Party
Jebamani Janata
Kamarajar Deseeya Congress
Makkal Arasial Katchi
Makkalatchi Katchi
Makkal Munnetra Katchi
Makkal Murasu Katchi
Makkal Nala Kazhagam
Makkal Nalvaazhvuk Katchi
MAKKAL SAKTHI KATCHI
Makkal Sananayaga Kudiyarasu Katchi
Mannin Maithargal Kazhagam
MGR Makkal Katchi
Naadaalum Makkal Katchi
Naam Indiar Party
Naam Tamilar Katchi
Namadhu Makkal Katchi
Namathu Kongu Munnetra Kalagam
Nam Naadu Nam Makkal Nam Ethirkaalam Katchi
Nationalist Janshakti Party
National Maha Sabha Party
New Generation Peoples Party
None of the Above
Our Mahathma National Party
Parivartan Rajniti Party
Party for the Rights of Other backward Classes
Pattali Makkal Katchi
Periyar Ambedkar Munnetra Kazhagam (PAMK)
Proutist Sarva Samaj
Puthiya Makkal Tamil Desam Katchi
Puthiya Tamilagam
Rashtriya Janata Dal
Rashtriya Samaj Dal (R)
Republican Party of India
Republican Party of India (A)
Republican Party of India (Athawale)
Samaniya Makkal Nala Katchi
Samata Party
Socialist Unity Centre Of India (COMMUNIST)
Tamilaga Makkal Nala Katchi
Tamilaga Vettri Kazhagam
Tamilar Makkal Katchi
Tamil Manila Murpokku Dravida Kazhagam
Tamil Nadu Ilangyar Katchi
Tamilnadu Mahatma Gandhi Makkal Katchi
Tamil Telugu National Party
Tamizhaga Murpokku Makkal Katchi
Tamizhaga Vaazhvurimai Katchi
Thakkam Katchi
Thamizhaga Dravidar Katchi
Thamizhaga Munnetra Congress
Thamizhaka Padaippalar Makkal Katchi
Thamizh Desiya Munnetra Kazhagam
Thamizh Perarasu Katchi
Vada Tamil Nadu Munnetra Katchi
Vanchit Bahujan Aaghadi
Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi
Vidial Valarchi Perani
Viduthalai Chiruthaigal Katchi
Viduthalai Kalam Katchi
Viro Ke Vir Indian Party
Vishwa Tamil Kazhagam
