party,total_cost,party_votes,cost_per_vote
Tamilaga Vettri Kazhagam,932000000,17226209,54.1036045713830594
Indian Union Muslim League,8000000,142465,56.1541431228722844
Dravida Munnetra Kazhagam,704000000,11929144,59.0151313455517009
Viduthalai Chiruthaigal Katchi,32000000,540056,59.2531144918304768
Communist Party of India,20000000,326488,61.2579941682389552
All India Anna Dravida Munnetra Kazhagam,688000000,10462146,65.7608869155525071
Pattali Makkal Katchi,72000000,1070745,67.2429009708193828
Indian National Congress,112000000,1661312,67.4165960397565298
Desiya Murpokku Dravida Kazhagam,40000000,589500,67.8541136556403732
Communist Party of India (Marxist),20000000,293817,68.0695807254175218
Bharatiya Janata Party,132000000,1467024,89.9780780682524621
Amma Makkal Munnettra Kazagam,44000000,425345,103.4454384088210747
Naam Tamilar Katchi,936000000,1972537,474.5158138985479106
All India Puratchi Thalaivar Makkal Munnettra Kazhagam,312000000,133473,2337.5514148928996876
Republican Party of India,4000000,1692,2364.0661938534278960
Puthiya Tamilagam,240000000,93652,2562.6788536283261436
All India Forward Bloc,12000000,4455,2693.6026936026936027
None of the Above,936000000,199801,4684.6612379317420834
Aanaithinthiya Jananayaka Pathukappu Kazhagam,116000000,22964,5051.3847761713987110
Republican Party of India (A),4000000,763,5242.4639580602883355
Republican Party of India (Athawale),64000000,11047,5793.4280800217253553
Nationalist Janshakti Party,4000000,588,6802.7210884353741497
Mannin Maithargal Kazhagam,4000000,524,7633.5877862595419847
Dravida Jananayaga Makkal Katchi,4000000,486,8230.4526748971193416
Indian National League,4000000,457,8752.7352297592997812
Tamizhaga Vaazhvurimai Katchi,656000000,74809,8768.9983825475544386
Bahujan Samaj Party,476000000,53369,8919.0353950795405573
Naadaalum Makkal Katchi,88000000,9715,9058.1574884199691199
Rashtriya Janata Dal,4000000,402,9950.2487562189054726
Namadhu Makkal Katchi,8000000,756,10582.010582010582
Thamizh Desiya Munnetra Kazhagam,12000000,1109,10820.559062218215
Nam Naadu Nam Makkal Nam Ethirkaalam Katchi,16000000,1466,10914.051841746248
Makkal Arasial Katchi,12000000,1008,11904.761904761905
Anti Corruption Dynamic Party,56000000,4558,12286.090390522159
Vishwa Tamil Kazhagam,44000000,3576,12304.250559284116
Tamil Manila Murpokku Dravida Kazhagam,4000000,319,12539.184952978056
Vada Tamil Nadu Munnetra Katchi,8000000,635,12598.425196850394
Party for the Rights of Other backward Classes,52000000,4101,12679.834186783711
Communist Party of India (Marxist-Leninist) (Liberation),52000000,3983,13055.485814712528
All India Youth Development Party,16000000,1203,13300.083125519534
Jebamani Janata,8000000,586,13651.877133105802
Parivartan Rajniti Party,4000000,291,13745.704467353952
All India Uzhavargal Uzhaippalargal Katchi,8000000,578,13840.830449826990
Ahila India Dhayaga Makkal Munnetra Katchi,4000000,283,14134.275618374558
Periyar Ambedkar Munnetra Kazhagam (PAMK),4000000,274,14598.540145985401
Indhu Dravida Makkal Katchi,32000000,2112,15151.515151515152
Communist Party of India (Marxist-Leninist) Red Star,12000000,790,15189.873417721519
Bahujan Dravida Party,12000000,780,15384.615384615385
Tamilar Makkal Katchi,32000000,2056,15564.202334630350
Vanchit Bahujan Aaghadi,16000000,1027,15579.357351509250
Our Mahathma National Party,8000000,508,15748.031496062992
Thamizh Perarasu Katchi,8000000,505,15841.584158415842
Rashtriya Samaj Dal (R),28000000,1760,15909.090909090909
Thamizhaka Padaippalar Makkal Katchi,64000000,4020,15920.398009950249
Ganasangam Party of India,52000000,3235,16074.188562596600
Kamarajar Deseeya Congress,4000000,244,16393.442622950820
Anna Makkal Katchi,20000000,1197,16708.437761069340
New Generation Peoples Party,8000000,476,16806.722689075630
Independent,8836000000,524744,16838.687055021115
Vidial Valarchi Perani,4000000,235,17021.276595744681
Anna Puratchi Thalaivar Amma Dravida Munnetra Kazhagam,52000000,3034,17139.090309822017
India Suyarajya Party,4000000,224,17857.142857142857
Anaithindia Samudaya Munnetra Kazhagam,4000000,224,17857.142857142857
Puthiya Makkal Tamil Desam Katchi,48000000,2651,18106.374952847982
Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,104000000,5624,18492.176386913229
MAKKAL SAKTHI KATCHI,8000000,424,18867.924528301887
Viduthalai Kalam Katchi,4000000,211,18957.345971563981
Anaithinthiya Anna Dravida Makkal Seyal katchi,28000000,1462,19151.846785225718
Desiya Makkal Sakthi Katchi,44000000,2279,19306.713470820535
Samaniya Makkal Nala Katchi,100000000,5144,19440.124416796267
All India Jananayaka Makkal Kazhagam,28000000,1415,19787.985865724382
Ezhuchi Tamilargal Munnetra Kazhagam,16000000,802,19950.124688279302
Namathu Kongu Munnetra Kalagam,4000000,200,20000.000000000000
Tamilaga Makkal Nala Katchi,32000000,1555,20578.778135048232
Thamizhaga Munnetra Congress,4000000,186,21505.376344086022
Bharatha Makkal Katchi,4000000,183,21857.923497267760
Samata Party,16000000,712,22471.910112359551
Tamil Nadu Ilangyar Katchi,8000000,355,22535.211267605634
All India Majlis-E-Inquilab-E-Millat,4000000,168,23809.523809523810
Viro Ke Vir Indian Party,12000000,498,24096.385542168675
Thakkam Katchi,60000000,2416,24834.437086092715
Socialist Unity Centre Of India (COMMUNIST),16000000,642,24922.118380062305
Tamil Telugu National Party,16000000,642,24922.118380062305
Ahimsa Socialist Party,8000000,321,24922.118380062305
Makkal Munnetra Katchi,8000000,305,26229.508196721311
Makkal Sananayaga Kudiyarasu Katchi,4000000,149,26845.637583892617
Tamizhaga Murpokku Makkal Katchi,28000000,998,28056.112224448898
Makkal Nala Kazhagam,8000000,285,28070.175438596491
Akila Inthiya Makkal Marumalarchi Kazhakam,12000000,425,28235.294117647059
National Maha Sabha Party,8000000,278,28776.978417266187
Desa Makkal Munnetrak Kazhagam,8000000,278,28776.978417266187
Bharat Jan Chikitsa Party,8000000,276,28985.507246376812
Naam Indiar Party,132000000,4474,29503.799731783639
MGR Makkal Katchi,4000000,131,30534.351145038168
Proutist Sarva Samaj,4000000,130,30769.230769230769
Thamizhaga Dravidar Katchi,4000000,120,33333.333333333333
Makkal Nalvaazhvuk Katchi,16000000,461,34707.158351409978
Democratic National Allegiance,12000000,311,38585.209003215434
Anna MGR Dravida Makkal Kalgam,12000000,295,40677.966101694915
Makkal Murasu Katchi,4000000,94,42553.191489361702
Indian Christian Front,4000000,85,47058.823529411765
Indhia Kudiarasu Katchi,4000000,82,48780.487804878049
Tamilnadu Mahatma Gandhi Makkal Katchi,4000000,71,56338.028169014085
ALL PENSIONERS PARTY,4000000,55,72727.272727272727
Makkalatchi Katchi,4000000,46,86956.521739130435
