candidate,party,constituency,runner_up_vote_percentage
MATHI. MANIKANDAN,Tamilaga Vettri Kazhagam,THIRUVAIYARU,32.360
VIJAYAPRABHAKAR,Desiya Murpokku Dravida Kazhagam,VIRUDHUNAGAR,32.330
MOORTHIY K S,Dravida Munnetra Kazhagam,PARAMATHI-VELUR,32.320
G.BALASUBRAMANI,Tamilaga Vettri Kazhagam,KULITHALAI,32.310
A  BHUVANENTHIRAN,All India Anna Dravida Munnetra Kazhagam,KURINJIPADI,32.300
SHAHUL HAMEED,Tamilaga Vettri Kazhagam,RAMANATHAPURAM,32.280
RADHAKRISHNAN K.,All India Anna Dravida Munnetra Kazhagam,UDUMALAIPETTAI,32.260
INDIRANI.T,Dravida Munnetra Kazhagam,DHARAPURAM,32.200
SURESH P,Tamilaga Vettri Kazhagam,VANUR,32.190
ARJUNAN. P,All India Anna Dravida Munnetra Kazhagam,TINDIVANAM,32.190
RAJEEVGANDHI S,All India Anna Dravida Munnetra Kazhagam,KALLAKURICHI,32.180
SRI BALAJI SUGUMAR. S,All India Anna Dravida Munnetra Kazhagam,VEERAPANDI,32.150
MATHIYALAGAN  V.P,Tamilaga Vettri Kazhagam,KARUR,32.150
ABDUR RAHMAN. A.R,Viduthalai Chiruthaigal Katchi,PANRUTI,32.140
PANDIYAN.S,Tamilaga Vettri Kazhagam,THIRUTHURAIPOONDI,32.010
VIJAY.S,Tamilaga Vettri Kazhagam,VRIDDHACHALAM,32.010
A.P.NANDAKUMAR,Dravida Munnetra Kazhagam,ANAIKATTU,32.000
SARAVANAN. P,Desiya Murpokku Dravida Kazhagam,POLUR,31.990
MOHANRAJ N,Tamilaga Vettri Kazhagam,VILUPPURAM,31.970
PUGAZHENDI. M,Dravida Munnetra Kazhagam,VEDARANYAM,31.960
IBRAHIM.R,Tamilaga Vettri Kazhagam,UDHAGAMANDALAM,31.950
SENTHILKUMAR. K,Tamilaga Vettri Kazhagam,SANKARI,31.920
PREM ALEX LAWRENCE,Tamilaga Vettri Kazhagam,COLACHAL,31.840
DR. PRAVEEN KUMAR. M,Tamilaga Vettri Kazhagam,PALANI,31.780
K.B.PRADAP,Desiya Murpokku Dravida Kazhagam,GUDIYATTAM,31.760
BERVIN KINGS G,Tamilaga Vettri Kazhagam,NAGERCOIL,31.750
POLLACHI V. JAYARAMAN,All India Anna Dravida Munnetra Kazhagam,POLLACHI,31.670
SIVABALAN.M,Dravida Munnetra Kazhagam,ANTHIYUR,31.640
T M  TAMILSELVAM,All India Anna Dravida Munnetra Kazhagam,UTHANGARAI,31.630
RANI. P,All India Anna Dravida Munnetra Kazhagam,VANDAVASI,31.630
A.BANNARI,All India Anna Dravida Munnetra Kazhagam,BHAVANISAGAR,31.600
T.M.ANBARASAN,Dravida Munnetra Kazhagam,ALANDUR,31.580
C CHANDRASEKARAN,All India Anna Dravida Munnetra Kazhagam,SENTHAMANGALAM,31.550
S.PRABAKARAN,Tamilaga Vettri Kazhagam,THIRUVIDAIMARUDUR,31.510
SELVABHARATHI. R.,Tamilaga Vettri Kazhagam,ATTUR,31.460
V. RAMU,All India Anna Dravida Munnetra Kazhagam,KATPADI,31.450
SAKTHIVEL P.,Viduthalai Chiruthaigal Katchi,PERIYAKULAM,31.410
KU PA KRISHNAN,Tamilaga Vettri Kazhagam,LALGUDI,31.350
V.P.KANDASAMY,All India Anna Dravida Munnetra Kazhagam,SULUR,31.340
KARTHIKDHANDAPANI,Dravida Munnetra Kazhagam,CHENGALPATTU,31.320
EZHIL KATHARINE EZHILMALAI,Tamilaga Vettri Kazhagam,MADURANTAKAM,31.320
E. MURALIDHARAN,Tamilaga Vettri Kazhagam,BARGUR,31.310
BALASUBRAMANIAN.S,Tamilaga Vettri Kazhagam,KOVILPATTI,31.300
MAHESH.R,Dravida Munnetra Kazhagam,KANNIYAKUMARI,31.290
SABA.RAJENDRAN,Dravida Munnetra Kazhagam,NEYVELI,31.260
DURAI. SENTHAMIL SELVAN B.E,Dravida Munnetra Kazhagam,COIMBATORE,31.180
SARANYA. A,All India Anna Dravida Munnetra Kazhagam,KUNNAM,31.090
DR. DHIVYA. S,All India Anna Dravida Munnetra Kazhagam,KRISHNARAYAPURAM,31.090
CHINTHAMANI.C,Tamilaga Vettri Kazhagam,THIRUMAYAM,31.050
SUNDAR.K,Dravida Munnetra Kazhagam,UTHIRAMERUR,31.040
MOHAN RAJA.M.G.K,Tamilaga Vettri Kazhagam,CHEYYUR,30.990
MANI GOUNDER,Tamilaga Vettri Kazhagam,KANGAYAM,30.950
MAHALAKSHMI GOVARTHANAN,Dravida Munnetra Kazhagam,ARANI,30.890
SELVAKUMAR K,Dravida Munnetra Kazhagam,NATHAM,30.880
KANNAN KA.SO.KA.,Dravida Munnetra Kazhagam,JAYANKONDAM,30.850
V. SOMASUNDARAM,All India Anna Dravida Munnetra Kazhagam,KANCHEEPURAM,30.800
M.SUGUMAR,Tamilaga Vettri Kazhagam,NAGAPATTINAM,30.740
E.SAROJA,All India Anna Dravida Munnetra Kazhagam,THURAIYUR,30.720
P. GEETHA JEEVAN,Dravida Munnetra Kazhagam,THOOTHUKKUDI,30.680
K BHARATHIDHASAN,Tamilaga Vettri Kazhagam,CHENGAM,30.680
ASHOKKUMAR.K,All India Anna Dravida Munnetra Kazhagam,KRISHNAGIRI,30.640
N.CHITRARASU,Dravida Munnetra Kazhagam,ANNA NAGAR,30.620
S.KIRTHIKA,Bharatiya Janata Party,MODAKKURICHI,30.550
SIVAN. M.,Tamilaga Vettri Kazhagam,DHARMAPURI,30.520
RM. KARUMANICKAM,Indian National Congress,TIRUVADANAI,30.430
SATHISH RAJU (ALIAS) K.P.R. SATHISH,Tamilaga Vettri Kazhagam,THONDAMUTHUR,30.400
PALANISAMY. A   M.COM.,Pattali Makkal Katchi,MAYILADUTHURAI,30.330
GINGEE MASTHAN K S,Dravida Munnetra Kazhagam,GINGEE,30.260
THOPPU VENKATACHALAM (ALIAS) N.D. VENKATACHALAM,Dravida Munnetra Kazhagam,PERUNDURAI,30.200
DR. JAYALAKSHMI. S.T,Dravida Munnetra Kazhagam,PERAMBALUR,30.150
DR. SRIDHARAN. A,Tamilaga Vettri Kazhagam,VALPARAI,30.110
S.M.NASAR,Dravida Munnetra Kazhagam,AVADI,30.080
A.MADURAIVEERAN,Tamilaga Vettri Kazhagam,MELUR,30.070
NALLASIVAM.N,Dravida Munnetra Kazhagam,GOBICHETTIPALAYAM,30.030
