candidate,party,constituency_count
MURUGAN. S,Independent,4
RAJASEKAR. S,Independent,3
VELU. K,Independent,3
VENKATESAN. M,Independent,3
AGNI AALVAR,Independent,2
A. RAMESH,Independent,2
ARJUNAN. M,Independent,2
A.SARAVANAN,Independent,2
A.VIJAY,Independent,2
C. JOSEPH VIJAY,Tamilaga Vettri Kazhagam,2
DHANASEKAR,Independent,2
D.SARAVANAN,Independent,2
E. RAAMADASAN,Makkal Nalvaazhvuk Katchi,2
GOPALAKRISHNAN,Independent,2
GUNASEKARAN.P,Independent,2
KANDASAMY S,Independent,2
KANNAN. M,Independent,2
KARTHICK.M,Independent,2
KARTHICK S,Independent,2
KARTHIKEYAN. P,Independent,2
KOTHANDAPANI. B,Independent,2
MANIKANDAN C,Independent,2
MANIKANDAN P,Independent,2
MARIMUTHU. S,Independent,2
M. ARUMUGASAMY,Independent,2
MOHAMMAD SIDDIQ M H,Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,2
MOHAN. R,Independent,2
MOHAN RAJ. R,Independent,2
M. RAVICHANDRAN,Independent,2
MURUGAN. P,Independent,2
MUTHUKUMAR D,Independent,2
NALLAKKANNU ALIAS KARTHIC.K,Independent,2
PRASANTH. D,Independent,2
P.RAVICHANDRAN,Independent,2
RAJASEKAR. R,Independent,2
RAJKUMAR S,Independent,2
RAMESH P,Independent,2
RAMESH R,Independent,2
RAMESH. S,Independent,2
R.KARTHIKEYAN,Tamizhaga Vaazhvurimai Katchi,2
R.MANOHARAN,All India Anna Dravida Munnetra Kazhagam,2
R. RAJKUMAR,Independent,2
SAKTHIVEL. S,Independent,2
SANTHOSH. S,Independent,2
SARAVANAN. M,Independent,2
SARAVANAN. P,Independent,2
SARAVANAN. V,Tamizhaga Vaazhvurimai Katchi,2
SELVAKUMAR. S,Independent,2
SELVI. K,Independent,2
SENTHILKUMAR,Independent,2
SENTHILKUMAR. M,Independent,2
SIVAKUMAR. K,Tamilaga Vettri Kazhagam,2
S. RAJENDRAN,Independent,2
SUNDAR C,Independent,2
SURESH R,Independent,2
SURESH. V,Independent,2
VENKATACHALAM,Independent,2
VENKATESAN.C,Independent,2
VETRIVEL G,Independent,2
VIGNESH. M,Independent,2
VIJAYAKUMAR G,Independent,2
VIJAYAKUMAR. N,Independent,2
VIJENDRAN. G,Independent,2
V.SUDHAKAR,Independent,2
AADHAV ARJUNA,Tamilaga Vettri Kazhagam,1
AADIRAJARAM,All India Anna Dravida Munnetra Kazhagam,1
AADITHIYAN A,Anna Puratchi Thalaivar Amma Dravida Munnetra Kazhagam,1
A. AJESHKANNAN,Independent,1
AALANGATTUR ANANDHI,Naam Tamilar Katchi,1
